  0: whisper='Bạn' (40-230ms)  |  script='Bạn' (phrase 0)
 90: whisper='tiếng' (22740-23000ms)  |  script='tiếng' (phrase 12)
 91: whisper='để' (23000-23260ms)  |  script='để' (phrase 12)
 92: whisper='chọn.' (23260-23600ms)  |  script='chọn' (phrase 12)
 93: whisper='Còn' (23600-23790ms)  |  script='Còn' (phrase 13)
 94: whisper='2' (23790-23850ms)  |  script='2' (phrase 13)
 95: whisper='tiếng' (23850-24150ms)  |  script='tiếng' (phrase 13)
 96: whisper='nữa' (24150-24300ms)  |  script='nữa' (phrase 13)
 97: whisper='hết' (24300-24490ms)  |  script='hết' (phrase 13)
 98: whisper='giờ' (24490-24680ms)  |  script='giờ' (phrase 13)
 99: whisper='thì' (24680-24830ms)  |  script='thì' (phrase 14)
100: whisper='chỉ' (24830-25020ms)  |  script='chỉ' (phrase 14)
101: whisper='còn' (25020-25200ms)  |  script='còn' (phrase 14)
102: whisper='đúng' (25200-25390ms)  |  script='đúng' (phrase 14)
103: whisper='một' (25390-25580ms)  |  script='1' (phrase 14)
104: whisper='cách' (25580-25820ms)  |  script='cách' (phrase 14)
105: whisper='khả' (25820-25990ms)  |  script='khả' (phrase 14)
106: whisper='thí,' (25990-26340ms)  |  script='thi' (phrase 14)
107: whisper='cách' (26340-26530ms)  |  script='cách' (phrase 15)
108: whisper='nhạy' (26530-27040ms)  |  script='nhanh' (phrase 15)
109: whisper='nhất.' (27040-27080ms)  |  script='nhất' (phrase 15)
110: whisper='Và' (27220-27220ms)  |  script='Và' (phrase 16)
111: whisper='đây' (27220-27460ms)  |  script='đây' (phrase 16)
112: whisper='mới' (27460-27700ms)  |  script='mới' (phrase 16)
113: whisper='là' (27700-27840ms)  |  script='là' (phrase 16)
114: whisper='cú' (27840-28000ms)  |  script='cú' (phrase 16)
115: whisper='lừa' (28000-28200ms)  |  script='lừa' (phrase 16)
116: whisper='thật,' (28200-28600ms)  |  script='thật' (phrase 16)
117: whisper='bạn' (28600-28850ms)  |  script='bạn' (phrase 17)
118: whisper='không' (28850-29110ms)  |  script='không' (phrase 17)
119: whisper='làm' (29110-29300ms)  |  script='làm' (phrase 17)
120: whisper='tốt' (29300-29530ms)  |  script='tốt' (phrase 17)
121: whisper='hơn' (29530-29720ms)  |  script='hơn' (phrase 17)
122: whisper='vào' (29720-29940ms)  |  script='vào' (phrase 17)
123: whisper='phút' (29940-30230ms)  |  script='phút' (phrase 17)
124: whisper='chót.' (30230-30560ms)  |  script='chót' (phrase 17)
125: whisper='Bạn' (30560-30810ms)  |  script='Bạn' (phrase 18)
126: whisper='chỉ' (30810-31070ms)  |  script='chỉ' (phrase 18)
127: whisper='đang' (31070-31330ms)  |  script='đang' (phrase 18)
128: whisper='so' (31330-31430ms)  |  script='so' (phrase 18)
129: whisper='bản' (31430-31680ms)  |  script='bản' (phrase 18)
130: whisper='tập' (31680-31930ms)  |  script='tập' (phrase 18)
131: whisper='trung' (31930-32200ms)  |  script='trung' (phrase 18)
132: whisper='100%' (32200-32760ms)  |  script='100%' (phrase 18)
133: whisper='với' (32760-33070ms)  |  script='với' (phrase 19)
134: whisper='bạn' (33070-33380ms)  |  script='bản' (phrase 19)
135: whisper='làm' (33380-33630ms)  |  script='làm' (phrase 19)
136: whisper='sớm.' (33630-34000ms)  |  script='sớm' (phrase 19)
137: whisper='Mà' (34000-34170ms)  |  script='mà' (phrase 20)
138: whisper='thật' (34170-34470ms)  |  script='thật' (phrase 20)
139: whisper='ra' (34470-34500ms)  |  script='ra' (phrase 20)
140: whisper='vừa' (34500-34730ms)  |  script='vừa' (phrase 20)
141: whisper='làm' (34730-34920ms)  |  script='làm' (phrase 20)
142: whisper='vừa' (34920-35150ms)  |  script='vừa' (phrase 20)
143: whisper='lớp' (35150-35380ms)  |  script='lướt' (phrase 20)
144: whisper='điện' (35380-35710ms)  |  script='điện' (phrase 20)
145: whisper='thoại,' (35710-36120ms)  |  script='thoại' (phrase 20)
146: whisper='đứng' (36120-36480ms)  |  script='đứng' (phrase 21)
147: whisper='dậy' (36480-36730ms)  |  script='dậy' (phrase 21)
148: whisper='phá' (36730-36930ms)  |  script='pha' (phrase 21)
149: whisper='trả' (36930-37180ms)  |  script='trà' (phrase 21)
150: whisper='5' (37180-37330ms)  |  script='5' (phrase 21)
151: whisper='lần,' (37330-37640ms)  |  script='lần' (phrase 21)
152: whisper='Deadly' (37640-37970ms)  |  script='Deadline' (phrase 22)
153: whisper='không' (37970-38300ms)  |  script='không' (phrase 22)
154: whisper='làm' (38300-38450ms)  |  script='làm' (phrase 22)
155: whisper='bạn' (38450-38700ms)  |  script='bạn' (phrase 22)
156: whisper='giỏi' (38700-39000ms)  |  script='giỏi' (phrase 22)
157: whisper='hơn.' (39000-39400ms)  |  script='hơn' (phrase 22)
158: whisper='Nó' (39400-39540ms)  |  script='nó' (phrase 23)
159: whisper='chỉ' (39540-39790ms)  |  script='chỉ' (phrase 23)
160: whisper='làm' (39790-39970ms)  |  script='làm' (phrase 23)
161: whisper='bạn' (39970-40210ms)  |  script='bạn' (phrase 23)
162: whisper='ngừng' (40210-40580ms)  |  script='ngừng' (phrase 23)
163: whisper='tự' (40580-40730ms)  |  script='tự' (phrase 23)
164: whisper='phá' (40730-41240ms)  |  script='phá' (phrase 23)
165: whisper='mình.' (41240-41240ms)  |  script='mình' (phrase 23)
166: whisper='Nhưng' (41240-41510ms)  |  script='Nhưng' (phrase 24)
167: whisper='"Cottyzole"' (41510-41990ms)  |  script='cortisol' (phrase 24)
168: whisper='không' (41990-42260ms)  |  script='không' (phrase 24)
169: whisper='miễn' (42260-42520ms)  |  script='miễn' (phrase 24)
170: whisper='phí' (42520-42700ms)  |  script='phí' (phrase 24)
171: whisper='đâu.' (42700-43120ms)  |  script='đâu' (phrase 24)
172: whisper='Dùng' (43120-43370ms)  |  script='dùng' (phrase 25)
173: whisper='liên' (43370-43620ms)  |  script='liên' (phrase 25)
174: whisper='tục' (43620-43980ms)  |  script='tục' (phrase 25)
175: whisper='là' (43980-44020ms)  |  script='là' (phrase 25)
176: whisper='cách' (44020-44270ms)  |  script='cách' (phrase 25)
177: whisper='nhang' (44270-44520ms)  |  script='nhanh' (phrase 25)
178: whisper='nhất' (44520-44820ms)  |  script='nhất' (phrase 25)
179: whisper='để' (44820-45070ms)  |  script='để' (phrase 25)
180: whisper='burnout' (45070-45600ms)  |  script='burnout' (phrase 25)
181: whisper='Môn' (45600-45770ms)  |  script='Muốn' (phrase 26)
182: whisper='có' (45770-45900ms)  |  script='có' (phrase 26)
183: whisper='cảm' (45900-46120ms)  |  script='cảm' (phrase 26)
184: whisper='giác' (46120-46340ms)  |  script='giác' (phrase 26)
185: whisper='tập' (46340-46620ms)  |  script='tập' (phrase 26)
186: whisper='trung' (46620-46780ms)  |  script='trung' (phrase 26)
187: whisper='đó' (46780-46960ms)  |  script='đó' (phrase 26)
188: whisper='mà' (46960-47090ms)  |  script='mà' (phrase 27)
189: whisper='không' (47090-47360ms)  |  script='không' (phrase 27)
190: whisper='cần' (47360-47580ms)  |  script='cần' (phrase 27)
191: whisper='đợi' (47580-47840ms)  |  script='đợi' (phrase 27)
192: whisper='sát' (47840-48140ms)  |  script='sát' (phrase 27)
193: whisper='nút.' (48140-48440ms)  |  script='nút' (phrase 27)
194: whisper='Tự' (48440-48650ms)  |  script='Tự' (phrase 28)
195: whisper='tạo' (48650-48920ms)  |  script='tạo' (phrase 28)
196: whisper='Deadly' (48920-49250ms)  |  script='deadline' (phrase 28)
197: whisper='giả,' (49250-49680ms)  |  script='giả' (phrase 28)
198: whisper='và' (49680-49850ms)  |  script='và' (phrase 29)
199: whisper='tự' (49850-49980ms)  |  script='tự' (phrase 29)
200: whisper='cách' (49980-50240ms)  |  script='cắt' (phrase 29)
201: whisper='bất' (50240-50410ms)  |  script='bớt' (phrase 29)
202: whisper='lựa' (50410-50620ms)  |  script='lựa' (phrase 29)
203: whisper='chọn' (50620-50870ms)  |  script='chọn' (phrase 29)
204: whisper='của' (50870-51090ms)  |  script='của' (phrase 29)
205: whisper='mình,' (51090-51440ms)  |  script='mình' (phrase 29)
206: whisper='y' (51440-51600ms)  |  script='y' (phrase 30)
207: whisper='như' (51600-51770ms)  |  script='như' (phrase 30)
208: whisper='Deadly' (51770-52170ms)  |  script='deadline' (phrase 30)
209: whisper='thật' (52170-52570ms)  |  script='thật' (phrase 30)
210: whisper='đang' (52570-53180ms)  |  script='đang' (phrase 30)
211: whisper='làm.' (53180-53440ms)  |  script='làm' (phrase 30)
212: whisper='Hẹn' (53440-53770ms)  |  script='Hẹn' (phrase 31)
213: whisper='dở' (53770-54040ms)  |  script='giờ' (phrase 31)
214: whisper='25' (54040-54470ms)  |  script='25' (phrase 31)
215: whisper='phút,' (54470-54840ms)  |  script='phút' (phrase 31)
216: whisper='chọn' (54920-55110ms)  |  script='chọn' (phrase 32)
217: whisper='đúng' (55110-55320ms)  |  script='đúng' (phrase 32)
218: whisper='một' (55320-55530ms)  |  script='1' (phrase 32)
219: whisper='cách' (55530-55740ms)  |  script='cách' (phrase 32)
220: whisper='để' (55740-55950ms)  |  script='để' (phrase 32)
221: whisper='bắt' (55950-56140ms)  |  script='bắt' (phrase 32)
222: whisper='đầu,' (56140-56630ms)  |  script='đầu' (phrase 32)
223: whisper='không' (56630-56950ms)  |  script='không' (phrase 33)
224: whisper='cho' (56950-57080ms)  |  script='cho' (phrase 33)
225: whisper='phép' (57080-57370ms)  |  script='phép' (phrase 33)
226: whisper='đổi' (57370-57880ms)  |  script='đổi' (phrase 33)
227: whisper='ý,' (57880-57880ms)  |  script='ý' (phrase 33)
228: whisper='não' (57880-58070ms)  |  script='Não' (phrase 34)
229: whisper='bạn' (58070-58290ms)  |  script='bạn' (phrase 34)
230: whisper='không' (58290-58580ms)  |  script='không' (phrase 34)
231: whisper='cần' (58580-58820ms)  |  script='cần' (phrase 34)
232: whisper='một' (58820-59060ms)  |  script='một' (phrase 34)
233: whisper='con' (59060-59200ms)  |  script='con' (phrase 34)
234: whisper='hồ' (59200-59370ms)  |  script='hổ' (phrase 34)
235: whisper='thật' (59370-59660ms)  |  script='thật' (phrase 34)
236: whisper='để' (59660-59900ms)  |  script='để' (phrase 35)
237: whisper='chạy' (59900-60260ms)  |  script='chạy' (phrase 35)
238: whisper='nhang.' (60260-60520ms)  |  script='nhanh' (phrase 35)
239: whisper='Nó' (60520-60730ms)  |  script='Nó' (phrase 36)
240: whisper='chỉ' (60730-61030ms)  |  script='chỉ' (phrase 36)
241: whisper='cần' (61030-61350ms)  |  script='cần' (phrase 36)
242: whisper='tin' (61350-61540ms)  |  script='tin' (phrase 36)
243: whisper='là' (61540-61730ms)  |  script='là' (phrase 36)
244: whisper='có' (61730-61930ms)  |  script='có' (phrase 36)
245: whisper='hồ' (61930-62170ms)  |  script='hổ' (phrase 36)
246: whisper='thôi.' (62170-62760ms)  |  script='thôi' (phrase 36)
