  0: whisper='Bạn' (40-200ms)  |  script='Bạn'
109: whisper='làm,' (24090-24450ms)  |  script='chỉ'
110: whisper='dù' (24450-24560ms)  |  script='là'
111: whisper='chỉ' (24560-24830ms)  |  script='một'
112: whisper='là' (24830-24990ms)  |  script='câu'
113: whisper='một' (24990-25260ms)  |  script='nhắn'
114: whisper='câu' (25260-25470ms)  |  script='tin'
115: whisper='nhắn' (25470-26000ms)  |  script='não'
116: whisper='tin.' (26000-26060ms)  |  script='bạn'
117: whisper='Não' (26080-26220ms)  |  script='đã'
118: whisper='bạn' (26220-26430ms)  |  script='coi'
119: whisper='đã' (26430-26600ms)  |  script='như'
120: whisper='coi' (26600-26720ms)  |  script='tín'
121: whisper='như' (26720-26890ms)  |  script='hiệu'
122: whisper='tin' (26890-27020ms)  |  script='đã'
123: whisper='hiệu' (27020-27270ms)  |  script='xử'
124: whisper='đã' (27270-27440ms)  |  script='lý'
125: whisper='sử' (27440-27610ms)  |  script='được'
126: whisper='lý' (27610-27730ms)  |  script='gửi'
127: whisper='được' (27730-28070ms)  |  script='đi'
128: whisper='gửi' (28070-28410ms)  |  script='dù'
129: whisper='đi,' (28410-28530ms)  |  script='thực'
130: whisper='dù' (28530-28610ms)  |  script='tế'
131: whisper='thực' (28610-28880ms)  |  script='chưa'
132: whisper='tế' (28880-29040ms)  |  script='làm'
133: whisper='chưa' (29040-29250ms)  |  script='gì'
134: whisper='làm' (29250-29420ms)  |  script='cả'
135: whisper='gì' (29420-29550ms)  |  script='Phần'
136: whisper='cả.' (29550-30000ms)  |  script='nguy'
137: whisper='Phần' (30000-30240ms)  |  script='hiểm'
138: whisper='quý' (30240-30400ms)  |  script='là'
139: whisper='hiểm' (30400-30640ms)  |  script='dopamine'
140: whisper='là' (30640-30760ms)  |  script='không'
141: whisper='đô' (30760-30920ms)  |  script='phân'
142: whisper='bà' (30920-31040ms)  |  script='biệt'
143: whisper='mình' (31040-31240ms)  |  script='được'
144: whisper='không' (31240-31540ms)  |  script='hẹn'
145: whisper='phân' (31540-31680ms)  |  script='làm'
146: whisper='biệt' (31680-31920ms)  |  script='với'
147: whisper='được' (31920-32240ms)  |  script='đã'
148: whisper='hẹn' (32240-32440ms)  |  script='làm'
149: whisper='làm' (32440-32600ms)  |  script='Cả'
150: whisper='với' (32600-32800ms)  |  script='hai'
151: whisper='đã' (32800-33120ms)  |  script='đều'
152: whisper='làm.' (33120-33340ms)  |  script='cho'
153: whisper='Cả' (33340-33510ms)  |  script='bạn'
154: whisper='hai' (33510-33640ms)  |  script='cảm'
155: whisper='đều' (33640-33910ms)  |  script='giác'
156: whisper='cho' (33910-34040ms)  |  script='nhẹ'
157: whisper='bạn' (34040-34260ms)  |  script='nhõm'
158: whisper='cảm' (34260-34480ms)  |  script='y'
159: whisper='giác' (34480-34700ms)  |  script='hệt'
160: whisper='nhẹ' (34700-34920ms)  |  script='nhau'
161: whisper='nhỏ' (34920-35140ms)  |  script='Thế'
162: whisper='như' (35140-35340ms)  |  script='nên'
163: whisper='hẹn' (35340-35530ms)  |  script='bạn'
164: whisper='nhau.' (35530-35820ms)  |  script='có'
165: whisper='Thế' (35820-36040ms)  |  script='thể'
166: whisper='nên' (36040-36220ms)  |  script='hẹn'
167: whisper='bạn' (36220-36450ms)  |  script='để'
168: whisper='có' (36450-36580ms)  |  script='tuần'
169: whisper='thể' (36580-36810ms)  |  script='sau'
170: whisper='hẹn' (36810-37020ms)  |  script='để'
171: whisper='để' (37020-37250ms)  |  script='mai'
172: whisper='tuần' (37250-37580ms)  |  script='tính'
173: whisper='sau' (37580-37650ms)  |  script='lát'
174: whisper='để' (37650-37880ms)  |  script='nữa'
175: whisper='mai' (37880-38010ms)  |  script='làm'
176: whisper='tính,' (38010-38450ms)  |  script='cả'
177: whisper='lát' (38450-38540ms)  |  script='chục'
178: whisper='nữa' (38540-38720ms)  |  script='lần'
179: whisper='làm' (38720-38900ms)  |  script='một'
180: whisper='cả' (38900-39080ms)  |  script='ngày'
181: whisper='chục' (39080-39350ms)  |  script='cảm'
182: whisper='lần' (39350-39570ms)  |  script='thấy'
183: whisper='một' (39570-39800ms)  |  script='mình'
184: whisper='ngày.' (39800-40320ms)  |  script='đã'
185: whisper='Cảm' (40320-40490ms)  |  script='kiểm'
186: whisper='thấy' (40490-40710ms)  |  script='soát'
187: whisper='mình' (40710-40890ms)  |  script='được'
188: whisper='đã' (40890-41020ms)  |  script='mọi'
189: whisper='kiểm' (41020-41260ms)  |  script='thứ'
190: whisper='soát' (41260-41420ms)  |  script='trong'
191: whisper='được' (41420-41730ms)  |  script='khi'
192: whisper='mọi' (41730-41880ms)  |  script='chẳng'
193: whisper='thứ,' (41880-42300ms)  |  script='có'
194: whisper='trong' (42300-42410ms)  |  script='việc'
195: whisper='khi' (42410-42520ms)  |  script='nào'
196: whisper='chẳng' (42520-42760ms)  |  script='thực'
197: whisper='có' (42760-42870ms)  |  script='sự'
198: whisper='việc' (42870-43100ms)  |  script='nhúc'
199: whisper='nào' (43100-43250ms)  |  script='nhích'
200: whisper='thực' (43250-43480ms)  |  script='Điều'
201: whisper='sự' (43480-43630ms)  |  script='buồn'
202: whisper='nhúc' (43630-43810ms)  |  script='cười'
203: whisper='nhất.' (43810-44240ms)  |  script='là'
204: whisper='Đều' (44240-44480ms)  |  script='một'
205: whisper='buồn' (44480-44720ms)  |  script='câu'
206: whisper='cười' (44720-45000ms)  |  script='hẹn'
207: whisper='là' (45000-45300ms)  |  script='nghe'
208: whisper='một' (45300-45320ms)  |  script='rất'
209: whisper='câu' (45320-45480ms)  |  script='có'
210: whisper='hẹn' (45480-45730ms)  |  script='trách'
211: whisper='nghe' (45730-45840ms)  |  script='nhiệm'
212: whisper='rất' (45840-46110ms)  |  script='tao'
213: whisper='có' (46110-46160ms)  |  script='sẽ'
214: whisper='chắc' (46160-46400ms)  |  script='để'
215: whisper='nhiệm,' (46400-46810ms)  |  script='tao'
216: whisper='tao' (46810-46960ms)  |  script='mai'
217: whisper='sẽ,' (46960-47430ms)  |  script='tao'
218: whisper='để' (47430-47490ms)  |  script='nên'
219: whisper='tao,' (47490-47730ms)  |  script='bạn'
220: whisper='mai' (47730-47880ms)  |  script='còn'
221: whisper='tao' (47880-48080ms)  |  script='được'
222: whisper='nên' (48080-48230ms)  |  script='người'
223: whisper='bạn' (48230-48470ms)  |  script='khác'
224: whisper='còn' (48470-48670ms)  |  script='tin'
225: whisper='được' (48670-49060ms)  |  script='là'
226: whisper='người' (49060-49450ms)  |  script='người'
227: whisper='khác' (49450-49690ms)  |  script='chu'
228: whisper='tin' (49690-50040ms)  |  script='đáo'
229: whisper='là' (50040-50040ms)  |  script='đáng'
230: whisper='người' (50040-50360ms)  |  script='tin'
231: whisper='chú' (50360-50520ms)  |  script='cậy'
232: whisper='đáo,' (50520-50930ms)  |  script='Trong'
233: whisper='đáng' (50930-51220ms)  |  script='khi'
234: whisper='tin' (51220-51410ms)  |  script='thực'
235: whisper='cợi.' (51410-52000ms)  |  script='chất'
236: whisper='Trong' (52080-52200ms)  |  script='câu'
237: whisper='khi' (52200-52320ms)  |  script='nói'
238: whisper='thực' (52320-52570ms)  |  script='đó'
239: whisper='chất,' (52570-52930ms)  |  script='chỉ'
240: whisper='câu' (52930-53060ms)  |  script='đang'
241: whisper='nói' (53060-53230ms)  |  script='mua'
242: whisper='đó' (53230-53400ms)  |  script='thời'
243: whisper='chỉ' (53400-53630ms)  |  script='gian'
244: whisper='đang' (53630-53820ms)  |  script='để'
245: whisper='mua' (53820-53940ms)  |  script='trì'
246: whisper='thời' (53940-54190ms)  |  script='hoãn'
247: whisper='gian' (54190-54350ms)  |  script='thêm'
248: whisper='để' (54350-54630ms)  |  script='một'
249: whisper='chỉ' (54630-54770ms)  |  script='nhịp'
250: whisper='hoãn' (54770-54970ms)  |  script='nữa'
251: whisper='thêm' (54970-55180ms)  |  script='Cách'
252: whisper='một' (55180-55400ms)  |  script='nhận'
253: whisper='nhiệp' (55400-55660ms)  |  script='diện'
254: whisper='nữa.' (55660-56140ms)  |  script='nếu'
255: whisper='Cách' (56140-56370ms)  |  script='bạn'
256: whisper='nhận' (56370-56600ms)  |  script='thấy'
257: whisper='diện,' (56600-56970ms)  |  script='mình'
258: whisper='nếu' (56970-57140ms)  |  script='nói'
259: whisper='bạn' (57140-57350ms)  |  script='để'
260: whisper='thấy' (57350-57600ms)  |  script='mai'
261: whisper='mình' (57600-57810ms)  |  script='lát'
262: whisper='nói' (57810-57980ms)  |  script='tuần'
263: whisper='để' (57980-58190ms)  |  script='sau'
264: whisper='mai' (58190-58320ms)  |  script='tính'
265: whisper='trên' (58320-58550ms)  |  script='về'
266: whisper='lát' (58550-58710ms)  |  script='cùng'
267: whisper='trên' (58710-58910ms)  |  script='một'
268: whisper='tuần' (58910-59290ms)  |  script='việc'
269: whisper='sau' (59290-59330ms)  |  script='từ'
270: whisper='tính' (59330-59500ms)  |  script='hai'
271: whisper='về' (59500-59720ms)  |  script='lần'
272: whisper='cùng' (59720-59880ms)  |  script='trở'
273: whisper='một' (59880-60090ms)  |  script='lên'
274: whisper='việc' (60090-60340ms)  |  script='mà'
275: whisper='từ' (60340-60510ms)  |  script='chưa'
276: whisper='2' (60510-60650ms)  |  script='từng'
277: whisper='lần' (60650-60850ms)  |  script='thử'
278: whisper='trở' (60850-61380ms)  |  script='làm'
279: whisper='lên.' (61380-61380ms)  |  script='ngay'
280: whisper='Mà' (61380-61510ms)  |  script='dù'
281: whisper='chưa' (61510-61770ms)  |  script='chỉ'
282: whisper='từng' (61770-62010ms)  |  script='5'
283: whisper='thử' (62010-62230ms)  |  script='phút'
284: whisper='làm' (62230-62410ms)  |  script='thì'
285: whisper='ngay,' (62410-62680ms)  |  script='bạn'
286: whisper='dù' (62680-62810ms)  |  script='không'
287: whisper='chỉ' (62810-63040ms)  |  script='đang'
288: whisper='5' (63040-63200ms)  |  script='lên'
289: whisper='phút' (63200-63570ms)  |  script='kế'
290: whisper='thì' (63570-63690ms)  |  script='hoạch'
291: whisper='bạn' (63690-63800ms)  |  script='bạn'
292: whisper='không' (63800-64070ms)  |  script='đang'
293: whisper='đang' (64070-64300ms)  |  script='trốn'
294: whisper='lên' (64300-64480ms)  |  script='việc'
295: whisper='kế' (64480-64650ms)  |  script='bằng'
296: whisper='hoạch,' (64650-65210ms)  |  script='lời'
297: whisper='bạn' (65210-65370ms)  |  script='hứa'
298: whisper='đang' (65370-65570ms)  |  script='Cách'
299: whisper='chốn' (65570-65780ms)  |  script='thoát'
300: whisper='việc' (65780-66010ms)  |  script='rất'
301: whisper='bằng' (66010-66230ms)  |  script='đơn'
302: whisper='lời' (66230-66410ms)  |  script='giản'
303: whisper='hứa.' (66410-66780ms)  |  script='đừng'
304: whisper='Cách' (66780-67050ms)  |  script='hẹn'
305: whisper='thoát' (67050-67280ms)  |  script='làm'
306: whisper='rất' (67280-67480ms)  |  script='làm'
307: whisper='đơn' (67480-67700ms)  |  script='ngay'
308: whisper='giản,' (67700-68060ms)  |  script='phần'
309: whisper='đừng' (68060-68370ms)  |  script='nhỏ'
310: whisper='hẹn' (68370-68580ms)  |  script='nhất'
311: whisper='làm,' (68580-68850ms)  |  script='có'
312: whisper='làm' (68850-69030ms)  |  script='thể'
313: whisper='ngay' (69030-69230ms)  |  script='làm'
314: whisper='phần' (69230-69480ms)  |  script='lúc'
315: whisper='nhỏ' (69480-69750ms)  |  script='này'
316: whisper='nhất' (69750-69970ms)  |  script='Không'
317: whisper='có' (69970-70100ms)  |  script='có'
318: whisper='thể' (70100-70320ms)  |  script='để'
319: whisper='làm' (70320-70540ms)  |  script='mai'
320: whisper='lúc' (70540-70670ms)  |  script='chỉ'
321: whisper='này.' (70670-71140ms)  |  script='có'
322: whisper='Không' (71140-71450ms)  |  script='làm'
323: whisper='có' (71450-71600ms)  |  script='luôn'
324: whisper='để' (71600-71860ms)  |  script='5'
325: whisper='mai,' (71860-72290ms)  |  script='phút'
326: whisper='chỉ' (72290-72370ms)  |  script='xong'
327: whisper='có' (72370-72520ms)  |  script='tính'
328: whisper='làm' (72520-72720ms)  |  script='tiếp'
329: whisper='luôn' (72720-72980ms)  |  script='Hẹn'
330: whisper='5' (72980-73160ms)  |  script='không'
331: whisper='phút,' (73160-73480ms)  |  script='phải'
332: whisper='sống' (73480-73790ms)  |  script='là'
333: whisper='tính' (73790-74350ms)  |  script='làm'
334: whisper='tiếp,' (74350-74450ms)  |  script='Nói'
335: whisper='hẹn' (74450-74700ms)  |  script='ra'
336: whisper='không' (74700-75010ms)  |  script='không'
337: whisper='phải' (75010-75520ms)  |  script='xóa'
338: whisper='làm.' (75520-75780ms)  |  script='được'
339: whisper='Nói' (75780-75980ms)  |  script='việc'
340: whisper='ra' (75980-76070ms)  |  script='còn'
341: whisper='không' (76070-76390ms)  |  script='dang'
342: whisper='soát' (76390-76640ms)  |  script='dở'
343: whisper='được' (76640-77050ms)  |  script='trong'
344: whisper='việc' (77050-77360ms)  |  script='thực'
345: whisper='còn' (77360-77550ms)  |  script='tế'
346: whisper='dăng' (77550-77820ms)  |  script='---'
347: whisper='dở' (77820-78010ms)  |  script='---'
348: whisper='trong' (78010-78290ms)  |  script='---'
349: whisper='thực' (78290-78290ms)  |  script='---'
350: whisper='tế.' (78290-79020ms)  |  script='---'
