  0: whisper='ái' (40-120ms)  |  script='Isaac'
117: whisper='một' (27970-28180ms)  |  script='người'
118: whisper='người' (28180-28630ms)  |  script='cực'
119: whisper='cực' (28630-28730ms)  |  script='kỳ'
120: whisper='kỳ,' (28730-29010ms)  |  script='rảnh'
121: whisper='dành' (29010-29300ms)  |  script='theo'
122: whisper='theo' (29300-29350ms)  |  script='kiểu'
123: whisper='kiểu' (29350-29600ms)  |  script='bác'
124: whisper='bắt' (29600-29810ms)  |  script='học'
125: whisper='học.' (29810-30300ms)  |  script='Ông'
126: whisper='Ông' (30300-30460ms)  |  script='từng'
127: whisper='từng' (30460-30710ms)  |  script='tự'
128: whisper='tự' (30710-30890ms)  |  script='chọc'
129: whisper='trọc' (30890-31130ms)  |  script='một'
130: whisper='một' (31130-31340ms)  |  script='cây'
131: whisper='cây' (31340-31510ms)  |  script='kim'
132: whisper='kim' (31510-31650ms)  |  script='vào'
133: whisper='vào' (31650-31810ms)  |  script='mắt'
134: whisper='mắt' (31810-32020ms)  |  script='mình'
135: whisper='mình,' (32020-32350ms)  |  script='đúng'
136: whisper='đúng' (32350-32560ms)  |  script='nghĩa'
137: whisper='nhiệm' (32560-32940ms)  |  script='đen'
138: whisper='đen,' (32940-33400ms)  |  script='chỉ'
139: whisper='chỉ' (33400-33450ms)  |  script='để'
140: whisper='để' (33450-33660ms)  |  script='nghiên'
141: whisper='nghiên' (33660-33960ms)  |  script='cứu'
142: whisper='cứu' (33960-34170ms)  |  script='xem'
143: whisper='xem' (34170-34300ms)  |  script='áp'
144: whisper='áp' (34300-34420ms)  |  script='lực'
145: whisper='lực' (34420-34810ms)  |  script='lên'
146: whisper='lên' (34810-34820ms)  |  script='mắt'
147: whisper='mắt' (34820-34990ms)  |  script='ảnh'
148: whisper='ảnh' (34990-35180ms)  |  script='hưởng'
149: whisper='hưởng' (35180-35450ms)  |  script='thế'
150: whisper='thế' (35450-35630ms)  |  script='nào'
151: whisper='nào' (35630-35820ms)  |  script='đến'
152: whisper='đến' (35820-36050ms)  |  script='cách'
153: whisper='cách' (36050-36250ms)  |  script='con'
154: whisper='con' (36250-36370ms)  |  script='người'
155: whisper='người' (36370-36680ms)  |  script='nhìn'
156: whisper='nhìn' (36680-36870ms)  |  script='màu'
157: whisper='màu' (36870-37060ms)  |  script='sắc'
158: whisper='xác.' (37060-37340ms)  |  script='Không'
159: whisper='Không' (37340-37680ms)  |  script='ai'
160: whisper='ai' (37680-37720ms)  |  script='bảo'
161: whisper='bảo' (37720-37950ms)  |  script='ông'
162: whisper='ông' (37950-38140ms)  |  script='làm'
163: whisper='làm' (38140-38330ms)  |  script='cả'
164: whisper='cả,' (38330-38800ms)  |  script='ông'
165: whisper='ông' (38800-38840ms)  |  script='tự'
166: whisper='tự' (38840-38980ms)  |  script='nguyện'
167: whisper='nguyện,' (38980-39580ms)  |  script='Và'
168: whisper='và' (39580-39810ms)  |  script='đây'
169: whisper='đây' (39810-39820ms)  |  script='mới'
170: whisper='mới' (39820-40060ms)  |  script='là'
171: whisper='là' (40060-40200ms)  |  script='phần'
172: whisper='phần' (40200-40480ms)  |  script='hài'
173: whisper='hai' (40480-40620ms)  |  script='nhất'
174: whisper='nhất,' (40620-41260ms)  |  script='Newton'
175: whisper='Newton' (41260-41380ms)  |  script='dành'
176: whisper='dành' (41380-41580ms)  |  script='phần'
177: whisper='phần' (41580-41820ms)  |  script='lớn'
178: whisper='lớn' (41820-42020ms)  |  script='cuộc'
179: whisper='cuộc' (42020-42270ms)  |  script='đời'
180: whisper='đời' (42270-42500ms)  |  script='không'
181: whisper='không' (42500-42740ms)  |  script='phải'
182: whisper='phải' (42740-42980ms)  |  script='để'
183: whisper='để' (42980-43180ms)  |  script='nghiên'
184: whisper='nghiên' (43180-43460ms)  |  script='cứu'
185: whisper='cứu' (43460-43660ms)  |  script='vật'
186: whisper='vật' (43660-43900ms)  |  script='lý'
187: whisper='lý,' (43900-44170ms)  |  script='mà'
188: whisper='mà' (44170-44320ms)  |  script='để'
189: whisper='để' (44320-44590ms)  |  script='nghiên'
190: whisper='nghiên' (44590-45170ms)  |  script='cứu'
191: whisper='cứu.' (45170-45260ms)  |  script='giả'
192: whisper='Giả' (45260-45490ms)  |  script='kim'
193: whisper='kim' (45490-45630ms)  |  script='thuật'
194: whisper='thuật,' (45630-46230ms)  |  script='Ông'
195: whisper='ông' (46230-46310ms)  |  script='cực'
196: whisper='cực' (46310-46490ms)  |  script='kỳ'
197: whisper='kỳ' (46490-46670ms)  |  script='tin'
198: whisper='tin' (46670-46760ms)  |  script='vào'
199: whisper='vào' (46760-46950ms)  |  script='việc'
200: whisper='việc' (46950-47280ms)  |  script='biến'
201: whisper='biến' (47280-47500ms)  |  script='chì'
202: whisper='trì' (47500-47690ms)  |  script='thành'
203: whisper='thành' (47690-47960ms)  |  script='vàng'
204: whisper='vàng,' (47960-48430ms)  |  script='và'
205: whisper='và' (48430-48520ms)  |  script='viết'
206: whisper='viết' (48520-48790ms)  |  script='hàng'
207: whisper='hàng' (48790-49010ms)  |  script='ngàn'
208: whisper='ngàn' (49010-49230ms)  |  script='trang'
209: whisper='trang' (49230-49460ms)  |  script='ghi'
210: whisper='ghi' (49460-49580ms)  |  script='chú'
211: whisper='chú' (49580-49760ms)  |  script='bí'
212: whisper='bí' (49760-49890ms)  |  script='mật'
213: whisper='mật' (49890-50110ms)  |  script='về'
214: whisper='về' (50110-50420ms)  |  script='nó'
215: whisper='nó.' (50420-50620ms)  |  script='bí'
216: whisper='Bi' (50700-50740ms)  |  script='mật'
217: whisper='mật' (50740-50910ms)  |  script='đến'
218: whisper='đến' (50910-51170ms)  |  script='mức'
219: whisper='mức' (51170-51380ms)  |  script='mãi'
220: whisper='mãi' (51380-51540ms)  |  script='sau'
221: whisper='sau' (51540-51670ms)  |  script='khi'
222: whisper='khi' (51670-51800ms)  |  script='ông'
223: whisper='ông' (51800-51970ms)  |  script='chết'
224: whisper='chết,' (51970-52600ms)  |  script='người'
225: whisper='người' (52600-52650ms)  |  script='ta'
226: whisper='ta' (52650-52770ms)  |  script='mới'
227: whisper='mới' (52770-52950ms)  |  script='phát'
228: whisper='phát' (52950-53160ms)  |  script='hiện'
229: whisper='hiện' (53160-53420ms)  |  script='ra'
230: whisper='ra' (53420-53500ms)  |  script='ông'
231: whisper='ông' (53500-53670ms)  |  script='là'
232: whisper='là' (53670-53800ms)  |  script='một'
233: whisper='một' (53800-54020ms)  |  script='nhà'
234: whisper='nhà' (54020-54190ms)  |  script='giả'
235: whisper='giả' (54190-54400ms)  |  script='kim'
236: whisper='kim,' (54400-54780ms)  |  script='hơn'
237: whisper='hơn' (54780-54910ms)  |  script='là'
238: whisper='là' (54910-54920ms)  |  script='nhà'
239: whisper='nhà' (54920-55080ms)  |  script='khoa'
240: whisper='khoa' (55080-55250ms)  |  script='học'
241: whisper='học,' (55250-55800ms)  |  script='như'
242: whisper='như' (55800-55960ms)  |  script='sách'
243: whisper='sách' (55960-56170ms)  |  script='giáo'
244: whisper='giáo' (56170-56390ms)  |  script='khoa'
245: whisper='khoa' (56390-56560ms)  |  script='vẽ'
246: whisper='vẽ,' (56560-57010ms)  |  script='Ông'
247: whisper='ông' (57010-57080ms)  |  script='còn'
248: whisper='còn' (57080-57160ms)  |  script='từng'
249: whisper='từng' (57160-57380ms)  |  script='là'
250: whisper='là' (57380-57490ms)  |  script='Giám'
251: whisper='giám' (57490-57670ms)  |  script='đốc'
252: whisper='đốc' (57670-57900ms)  |  script='Sở'
253: whisper='sở' (57900-58030ms)  |  script='Đúc'
254: whisper='đúc' (58030-58280ms)  |  script='tiền'
255: whisper='tiền' (58280-58430ms)  |  script='Hoàng'
256: whisper='hoàng' (58430-58650ms)  |  script='gia'
257: whisper='giả' (58650-58830ms)  |  script='Anh'
258: whisper='anh,' (58830-59230ms)  |  script='và'
259: whisper='và' (59230-59400ms)  |  script='ở'
260: whisper='ở' (59400-59570ms)  |  script='vị'
261: whisper='vị' (59570-59830ms)  |  script='trí'
262: whisper='trí' (59830-60220ms)  |  script='đó'
263: whisper='đó,' (60220-60480ms)  |  script='Newton'
264: whisper='Newton' (60480-60860ms)  |  script='biến'
265: whisper='biến' (60860-61250ms)  |  script='thành'
266: whisper='thành.' (61250-61900ms)  |  script='thợ'
267: whisper='Thượng' (61900-62300ms)  |  script='săn'
268: whisper='xanh' (62300-62470ms)  |  script='tiền'
269: whisper='tiền' (62470-62740ms)  |  script='giả'
270: whisper='giả,' (62740-63220ms)  |  script='Ông'
271: whisper='ông' (63220-63230ms)  |  script='đích'
272: whisper='đích' (63230-63510ms)  |  script='thân'
273: whisper='thân' (63510-63720ms)  |  script='cải'
274: whisper='cải' (63720-63940ms)  |  script='trang'
275: whisper='trang' (63940-64160ms)  |  script='đi'
276: whisper='đi' (64160-64290ms)  |  script='điều'
277: whisper='điều' (64290-64600ms)  |  script='tra'
278: whisper='tra,' (64600-64860ms)  |  script='bắt'
279: whisper='bắt' (64860-65060ms)  |  script='tận'
280: whisper='tận' (65060-65260ms)  |  script='tay'
281: whisper='tay' (65260-65390ms)  |  script='và'
282: whisper='và' (65390-65610ms)  |  script='đưa'
283: whisper='đưa' (65610-65780ms)  |  script='nhiều'
284: whisper='nhiều' (65780-66050ms)  |  script='kẻ'
285: whisper='kẻ' (66050-66270ms)  |  script='làm'
286: whisper='làm' (66270-66400ms)  |  script='tiền'
287: whisper='tiền' (66400-66670ms)  |  script='giả'
288: whisper='giả' (66670-66890ms)  |  script='lên'
289: whisper='lên' (66890-67070ms)  |  script='giá'
290: whisper='giá' (67070-67250ms)  |  script='treo'
291: whisper='chau' (67250-67430ms)  |  script='cổ'
292: whisper='cổ,' (67430-67970ms)  |  script='Từ'
293: whisper='từng' (67970-68040ms)  |  script='người'
294: whisper='người' (68040-68360ms)  |  script='phát'
295: whisper='phát' (68360-68520ms)  |  script='minh'
296: whisper='mình' (68520-68700ms)  |  script='ra'
297: whisper='ra' (68700-68770ms)  |  script='lực'
298: whisper='lực,' (68770-69090ms)  |  script='hấp'
299: whisper='hấp' (69090-69220ms)  |  script='dẫn'
300: whisper='dẫn' (69220-69380ms)  |  script='đến'
301: whisper='đến' (69380-69600ms)  |  script='cảnh'
302: whisper='cảnh' (69600-69770ms)  |  script='sát'
303: whisper='sát' (69770-69900ms)  |  script='trưởng'
304: whisper='trưởng' (69900-70200ms)  |  script='phá'
305: whisper='và' (70200-70300ms)  |  script='án'
306: whisper='án' (70300-70410ms)  |  script='tiền'
307: whisper='tiền' (70410-70570ms)  |  script='giả'
308: whisper='giả,' (70570-71080ms)  |  script='sự'
309: whisper='sự' (71080-71140ms)  |  script='nghiệp'
310: whisper='nghiệp' (71140-71350ms)  |  script='của'
311: whisper='của' (71350-71520ms)  |  script='ông'
312: whisper='ông' (71520-71660ms)  |  script='đúng'
313: whisper='đúng' (71660-71870ms)  |  script='là'
314: whisper='là' (71870-71970ms)  |  script='không'
315: whisper='không' (71970-72180ms)  |  script='ai'
316: whisper='ai' (72180-72250ms)  |  script='đoán'
317: whisper='đoán' (72250-72450ms)  |  script='trước'
318: whisper='trước' (72450-72730ms)  |  script='được'
319: whisper='được,' (72730-73140ms)  |  script='Và'
320: whisper='và' (73290-73320ms)  |  script='có'
321: whisper='có' (73320-73480ms)  |  script='lẽ'
322: whisper='lẽ' (73480-73640ms)  |  script='câu'
323: whisper='câu' (73640-73840ms)  |  script='chuyện'
324: whisper='chuyện' (73840-74260ms)  |  script='hài'
325: whisper='hai' (74260-74450ms)  |  script='nhất'
326: whisper='nhất' (74450-74770ms)  |  script='về'
327: whisper='về' (74770-74930ms)  |  script='Newton'
328: whisper='Newton' (74930-75380ms)  |  script='là'
329: whisper='là' (75380-75590ms)  |  script='ông'
330: whisper='ông' (75590-75620ms)  |  script='chưa'
331: whisper='chưa' (75620-75850ms)  |  script='từng'
332: whisper='từng,' (75850-76410ms)  |  script='có'
333: whisper='có' (76410-76670ms)  |  script='bạn'
334: whisper='bạn' (76670-76720ms)  |  script='gái'
335: whisper='gái,' (76720-76970ms)  |  script='chưa'
336: whisper='chưa' (76970-77230ms)  |  script='từng'
337: whisper='từng' (77230-77590ms)  |  script='kết'
338: whisper='kết' (77590-77830ms)  |  script='hôn'
339: whisper='hôn' (77830-78000ms)  |  script='và'
340: whisper='và' (78000-78150ms)  |  script='được'
341: whisper='được' (78150-78720ms)  |  script='cho'
342: whisper='cho' (78720-78770ms)  |  script='là'
343: whisper='là' (78770-78870ms)  |  script='qua'
344: whisper='qua' (78870-79020ms)  |  script='đời'
345: whisper='đời' (79020-79330ms)  |  script='mà'
346: whisper='mà' (79330-79480ms)  |  script='vẫn'
347: whisper='vẫn' (79480-79740ms)  |  script='còn'
348: whisper='còn' (79740-80010ms)  |  script='trinh'
349: whisper='chân' (80010-80200ms)  |  script='trắng'
350: whisper='trắng' (80200-80560ms)  |  script='theo'
351: whisper='theo' (80560-80770ms)  |  script='ghi'
352: whisper='ghi' (80770-80920ms)  |  script='chép'
353: whisper='chép' (80920-81180ms)  |  script='lịch'
354: whisper='lịch' (81180-81480ms)  |  script='sử'
355: whisper='sử.' (81480-81980ms)  |  script='Nhưng'
356: whisper='Nhưng' (81980-82350ms)  |  script='bù'
357: whisper='buồn' (82350-82530ms)  |  script='lại'
358: whisper='lại,' (82530-82850ms)  |  script='ông'
359: whisper='ông' (82850-82860ms)  |  script='có'
360: whisper='có' (82860-83190ms)  |  script='mối'
361: whisper='mối' (83190-83450ms)  |  script='quan'
362: whisper='quan' (83450-83610ms)  |  script='hệ'
363: whisper='hệ' (83610-83790ms)  |  script='tình'
364: whisper='tình' (83790-84020ms)  |  script='cảm'
365: whisper='cảm' (84020-84260ms)  |  script='sâu'
366: whisper='sau' (84260-84400ms)  |  script='đậm'
367: whisper='đậm' (84400-84670ms)  |  script='nhất'
368: whisper='nhất' (84670-84980ms)  |  script='đời'
369: whisper='đời' (84980-85230ms)  |  script='mình'
370: whisper='mình' (85230-85470ms)  |  script='với'
371: whisper='với,' (85470-85940ms)  |  script='toán'
372: whisper='toán' (85940-86330ms)  |  script='học'
373: whisper='học,' (86330-86940ms)  |  script='Vậy'
374: whisper='vợi' (86940-87110ms)  |  script='lần'
375: whisper='lên' (87110-87280ms)  |  script='tới'
376: whisper='tới' (87280-87500ms)  |  script='khi'
377: whisper='khi' (87500-87640ms)  |  script='thấy'
378: whisper='thấy' (87640-87910ms)  |  script='quả'
379: whisper='quả' (87910-88100ms)  |  script='táo'
380: whisper='táo' (88100-88270ms)  |  script='rơi'
381: whisper='rơi,' (88270-88670ms)  |  script='đừng'
382: whisper='đừng' (88670-88890ms)  |  script='nghĩ'
383: whisper='nghĩ' (88890-89160ms)  |  script='tới'
384: whisper='tới' (89160-89330ms)  |  script='lực'
385: whisper='lực' (89330-89580ms)  |  script='hấp'
386: whisper='hấp' (89580-89750ms)  |  script='dẫn'
387: whisper='dẫn,' (89750-90150ms)  |  script='hãy'
388: whisper='hãy' (90150-90280ms)  |  script='nghĩ'
389: whisper='nghĩ' (90280-90530ms)  |  script='tới'
390: whisper='tới' (90530-90740ms)  |  script='một'
391: whisper='một' (90740-90970ms)  |  script='ông'
392: whisper='ông' (90970-91150ms)  |  script='già'
393: whisper='giả' (91150-91410ms)  |  script='thế'
394: whisper='thế' (91410-91600ms)  |  script='kỷ'
395: whisper='kỷ' (91600-91770ms)  |  script='17'
396: whisper='17,' (91770-92180ms)  |  script='vừa'
397: whisper='vừa' (92180-92340ms)  |  script='chọc'
398: whisper='chóc' (92340-92570ms)  |  script='kim'
399: whisper='kim' (92570-92660ms)  |  script='vào'
400: whisper='và' (92660-92780ms)  |  script='mắt'
401: whisper='mắt' (92780-92980ms)  |  script='mình'
402: whisper='mình,' (92980-93340ms)  |  script='vừa'
403: whisper='vừa' (93340-93510ms)  |  script='cố'
404: whisper='cố' (93510-93720ms)  |  script='biến'
405: whisper='biến' (93720-93930ms)  |  script='chì'
406: whisper='trì' (93930-94090ms)  |  script='thành'
407: whisper='thành' (94090-94360ms)  |  script='vàng'
408: whisper='vàng,' (94360-94740ms)  |  script='vừa'
409: whisper='vừa' (94740-94920ms)  |  script='đi'
410: whisper='đi' (94920-95050ms)  |  script='bắt'
411: whisper='bắt' (95050-95360ms)  |  script='tiền'
412: whisper='tiền' (95360-95530ms)  |  script='giả'
413: whisper='giả,' (95530-95900ms)  |  script='tất'
414: whisper='tất' (95900-96180ms)  |  script='cả'
415: whisper='cả' (96180-96350ms)  |  script='trong'
416: whisper='trong' (96350-96460ms)  |  script='cùng'
417: whisper='cùng' (96460-96660ms)  |  script='một'
418: whisper='một' (96660-96860ms)  |  script='cuộc'
419: whisper='cuộc' (96860-97120ms)  |  script='đời'
420: whisper='đời.' (97120-97500ms)  |  script='---'
