  0: whisper='thành' (40-230ms)  |  script='Thành'
 92: whisper='Phải' (19960-20230ms)  |  script='bằng'
 93: whisper='sống' (20230-20510ms)  |  script='rễ'
 94: whisper='sót' (20510-20720ms)  |  script='cây'
 95: whisper='bằng' (20720-20950ms)  |  script='quả'
 96: whisper='dễ' (20950-21160ms)  |  script='dại'
 97: whisper='cây,' (21160-21490ms)  |  script='và'
 98: whisper='quả' (21490-21630ms)  |  script='những'
 99: whisper='dại' (21630-21990ms)  |  script='con'
100: whisper='và' (21990-22060ms)  |  script='thú'
101: whisper='những' (22060-22320ms)  |  script='nhỏ'
102: whisper='con' (22320-22470ms)  |  script='Đây'
103: whisper='thú' (22470-22640ms)  |  script='là'
104: whisper='nhỏ.' (22640-23020ms)  |  script='khởi'
105: whisper='Đây' (23100-23220ms)  |  script='đầu'
106: whisper='là' (23220-23410ms)  |  script='của'
107: whisper='khởi' (23410-23580ms)  |  script='người'
108: whisper='đầu' (23580-23830ms)  |  script='sau'
109: whisper='của' (23830-24030ms)  |  script='này'
110: whisper='người' (24030-24370ms)  |  script='chinh'
111: whisper='sau' (24370-24480ms)  |  script='phục'
112: whisper='này' (24480-24650ms)  |  script='nửa'
113: whisper='chính' (24650-24900ms)  |  script='thế'
114: whisper='phục' (24900-25130ms)  |  script='giới'
115: whisper='nửa' (25130-25530ms)  |  script='Ông'
116: whisper='thế' (25530-25610ms)  |  script='lớn'
117: whisper='giới.' (25610-25890ms)  |  script='lên'
118: whisper='Ông' (25890-26050ms)  |  script='trong'
119: whisper='lớ' (26050-26210ms)  |  script='bị'
120: whisper='lên' (26210-26370ms)  |  script='bắt'
121: whisper='trong' (26370-26570ms)  |  script='giữ'
122: whisper='bị' (26570-26730ms)  |  script='phản'
123: whisper='bắt' (26730-27010ms)  |  script='bội'
124: whisper='giữ,' (27010-27260ms)  |  script='và'
125: whisper='phản' (27260-27450ms)  |  script='mất'
126: whisper='bội' (27450-27650ms)  |  script='mát'
127: whisper='và' (27650-27770ms)  |  script='đến'
128: whisper='mất' (27770-27970ms)  |  script='cả'
129: whisper='mát' (27970-28370ms)  |  script='vợ'
130: whisper='đến' (28370-28380ms)  |  script='ông'
131: whisper='cả' (28380-28570ms)  |  script='là'
132: whisper='vừa' (28570-28740ms)  |  script='Börte'
133: whisper='ông' (28740-28900ms)  |  script='cũng'
134: whisper='là' (28900-29020ms)  |  script='từng'
135: whisper='bót' (29020-29180ms)  |  script='bị'
136: whisper='tê' (29180-29340ms)  |  script='bắt'
137: whisper='cũng' (29340-29500ms)  |  script='cóc'
138: whisper='từng' (29500-29740ms)  |  script='Nhưng'
139: whisper='bị' (29740-29900ms)  |  script='chính'
140: whisper='bắt' (29900-30100ms)  |  script='những'
141: whisper='góc.' (30100-30700ms)  |  script='năm'
142: whisper='Nhưng' (30700-30910ms)  |  script='tháng'
143: whisper='chính' (30910-31120ms)  |  script='ấy'
144: whisper='những' (31120-31370ms)  |  script='dạy'
145: whisper='năm' (31370-31540ms)  |  script='ông'
146: whisper='thằng' (31540-31760ms)  |  script='một'
147: whisper='ấy' (31760-31900ms)  |  script='điều'
148: whisper='dạy' (31900-32060ms)  |  script='sức'
149: whisper='ông' (32060-32240ms)  |  script='mạnh'
150: whisper='một' (32240-32380ms)  |  script='không'
151: whisper='điều,' (32380-32810ms)  |  script='đến'
152: whisper='sức' (32810-32990ms)  |  script='từ'
153: whisper='mạnh' (32990-33260ms)  |  script='dòng'
154: whisper='không' (33260-33410ms)  |  script='máu'
155: whisper='đến' (33410-33640ms)  |  script='mà'
156: whisper='từ' (33640-33790ms)  |  script='đến'
157: whisper='dòng' (33790-33970ms)  |  script='từ'
158: whisper='máu' (33970-34310ms)  |  script='lòng'
159: whisper='mà' (34310-34400ms)  |  script='trung'
160: whisper='đến' (34400-34580ms)  |  script='thành'
161: whisper='từ' (34580-34760ms)  |  script='Năm'
162: whisper='lòng' (34760-34980ms)  |  script='1206'
163: whisper='trung' (34980-35200ms)  |  script='sau'
164: whisper='thành,' (35200-35720ms)  |  script='khi'
165: whisper='năm' (35720-36130ms)  |  script='thống'
166: whisper='126.' (36130-37360ms)  |  script='nhất'
167: whisper='Sau' (37360-37480ms)  |  script='các'
168: whisper='khi' (37480-37640ms)  |  script='bộ'
169: whisper='thông' (37640-37840ms)  |  script='tộc'
170: whisper='nhất,' (37840-38320ms)  |  script='Mông'
171: whisper='các' (38320-38340ms)  |  script='Cổ'
172: whisper='bộ' (38340-38480ms)  |  script='vốn'
173: whisper='tộc' (38480-38680ms)  |  script='thù'
174: whisper='mông' (38680-38880ms)  |  script='địch'
175: whisper='cổ' (38880-39040ms)  |  script='nhau'
176: whisper='vốn' (39040-39240ms)  |  script='suốt'
177: whisper='thu' (39240-39360ms)  |  script='nhiều'
178: whisper='địch' (39360-39640ms)  |  script='thế'
179: whisper='nhau' (39640-39880ms)  |  script='hệ'
180: whisper='xuất' (39880-40040ms)  |  script='ông'
181: whisper='nhiều' (40040-40330ms)  |  script='được'
182: whisper='thế' (40330-40570ms)  |  script='tôn'
183: whisper='hệ.' (40570-40940ms)  |  script='làm'
184: whisper='Ông' (40940-41110ms)  |  script='Thành'
185: whisper='được' (41110-41450ms)  |  script='Cát'
186: whisper='tôn' (41450-41620ms)  |  script='Tư'
187: whisper='làm' (41620-41790ms)  |  script='Hãn'
188: whisper='thành' (41790-42140ms)  |  script='Điều'
189: whisper='cá' (42140-42180ms)  |  script='khiến'
190: whisper='tư' (42180-42300ms)  |  script='quân'
191: whisper='hãn,' (42300-42840ms)  |  script='đội'
192: whisper='điều' (42840-42970ms)  |  script='của'
193: whisper='khiến' (42970-43180ms)  |  script='ông'
194: whisper='quân' (43180-43350ms)  |  script='bất'
195: whisper='đội' (43350-43600ms)  |  script='bại'
196: whisper='của' (43600-43810ms)  |  script='không'
197: whisper='ông' (43810-43980ms)  |  script='chỉ'
198: whisper='bất' (43980-44190ms)  |  script='là'
199: whisper='bại' (44190-44400ms)  |  script='ngựa'
200: whisper='không' (44400-44660ms)  |  script='và'
201: whisper='chỉ' (44660-44870ms)  |  script='cung'
202: whisper='là' (44870-45000ms)  |  script='tên'
203: whisper='ngựa' (45000-45250ms)  |  script='Ông'
204: whisper='và' (45250-45380ms)  |  script='thăng'
205: whisper='cung' (45380-45590ms)  |  script='chức'
206: whisper='tên.' (45590-46040ms)  |  script='theo'
207: whisper='Ông' (46040-46180ms)  |  script='năng'
208: whisper='thằng' (46180-46440ms)  |  script='lực'
209: whisper='chức' (46440-46680ms)  |  script='chứ'
210: whisper='theo' (46680-46810ms)  |  script='không'
211: whisper='năng' (46810-46990ms)  |  script='theo'
212: whisper='lực' (46990-47210ms)  |  script='xuất'
213: whisper='chứ' (47210-47370ms)  |  script='thân'
214: whisper='không' (47370-47570ms)  |  script='nên'
215: whisper='theo' (47570-47790ms)  |  script='một'
216: whisper='xuất' (47790-47940ms)  |  script='người'
217: whisper='thân' (47940-48270ms)  |  script='chăn'
218: whisper='nên' (48270-48350ms)  |  script='cừu'
219: whisper='một' (48350-48460ms)  |  script='hoàn'
220: whisper='người' (48460-48760ms)  |  script='toàn'
221: whisper='tranh' (48760-48990ms)  |  script='có'
222: whisper='kiểu' (48990-49160ms)  |  script='thể'
223: whisper='hoàn' (49160-49340ms)  |  script='trở'
224: whisper='toàn' (49340-49520ms)  |  script='thành'
225: whisper='có' (49520-49680ms)  |  script='tướng'
226: whisper='thể' (49680-49820ms)  |  script='lĩnh'
227: whisper='trở' (49820-50000ms)  |  script='Ông'
228: whisper='thành' (50000-50250ms)  |  script='lập'
229: whisper='tương' (50250-50470ms)  |  script='hệ'
230: whisper='lĩnh.' (50470-50840ms)  |  script='thống'
231: whisper='Ông' (50920-51000ms)  |  script='trạm'
232: whisper='là' (51000-51130ms)  |  script='dịch'
233: whisper='pẹ' (51130-51300ms)  |  script='Yam'
234: whisper='thống' (51300-51590ms)  |  script='để'
235: whisper='chạm' (51590-51850ms)  |  script='tin'
236: whisper='dịch' (51850-52090ms)  |  script='tức'
237: whisper='giam' (52090-52310ms)  |  script='băng'
238: whisper='để' (52310-52470ms)  |  script='qua'
239: whisper='tin' (52470-52630ms)  |  script='hàng'
240: whisper='tức' (52630-52800ms)  |  script='nghìn'
241: whisper='ban' (52800-52960ms)  |  script='cây'
242: whisper='qua' (52960-53060ms)  |  script='số'
243: whisper='hàng' (53060-53270ms)  |  script='chỉ'
244: whisper='nghìn' (53270-53530ms)  |  script='trong'
245: whisper='cây' (53530-53700ms)  |  script='thời'
246: whisper='số,' (53700-54160ms)  |  script='gian'
247: whisper='chỉ' (54160-54270ms)  |  script='ngắn'
248: whisper='trong' (54270-54490ms)  |  script='ban'
249: whisper='thời' (54490-54690ms)  |  script='hành'
250: whisper='gian' (54690-54830ms)  |  script='bộ'
251: whisper='ngắn,' (54830-55320ms)  |  script='luật'
252: whisper='ban' (55320-55350ms)  |  script='Yassa'
253: whisper='hành' (55350-55660ms)  |  script='và'
254: whisper='bộ' (55660-55920ms)  |  script='cho'
255: whisper='lột' (55920-56220ms)  |  script='phép'
256: whisper='gia' (56220-56470ms)  |  script='các'
257: whisper='xa' (56470-56660ms)  |  script='tôn'
258: whisper='và' (56660-56700ms)  |  script='giáo'
259: whisper='cho' (56700-56820ms)  |  script='được'
260: whisper='phép' (56820-57020ms)  |  script='tự'
261: whisper='các' (57020-57180ms)  |  script='do'
262: whisper='tôn' (57180-57340ms)  |  script='tín'
263: whisper='giáo' (57340-57540ms)  |  script='ngưỡng'
264: whisper='được' (57540-57860ms)  |  script='trong'
265: whisper='tự' (57860-58020ms)  |  script='đế'
266: whisper='do' (58020-58100ms)  |  script='chế'
267: whisper='tính' (58100-58300ms)  |  script='Nhưng'
268: whisper='ngưỡng' (58300-58660ms)  |  script='mặt'
269: whisper='trong' (58660-58870ms)  |  script='tối'
270: whisper='đề' (58870-59060ms)  |  script='cũng'
271: whisper='chế.' (59060-59420ms)  |  script='khủng'
272: whisper='Nhưng' (59420-59690ms)  |  script='khiếp'
273: whisper='mặt' (59690-59930ms)  |  script='không'
274: whisper='tối' (59930-60170ms)  |  script='kém'
275: whisper='cũng' (60170-60360ms)  |  script='Khi'
276: whisper='khủng' (60360-60700ms)  |  script='các'
277: whisper='khí' (60700-60860ms)  |  script='thành'
278: whisper='phong' (60860-61130ms)  |  script='phố'
279: whisper='kém,' (61130-61500ms)  |  script='kháng'
280: whisper='khi' (61500-61660ms)  |  script='cự'
281: whisper='các' (61660-61680ms)  |  script='quân'
282: whisper='thành' (61680-61960ms)  |  script='Mông'
283: whisper='phố' (61960-62190ms)  |  script='Cổ'
284: whisper='kháng' (62190-62460ms)  |  script='san'
285: whisper='cư,' (62460-62770ms)  |  script='phẳng'
286: whisper='quân' (62770-62910ms)  |  script='chúng'
287: whisper='mông' (62910-63130ms)  |  script='và'
288: whisper='cổ,' (63130-63400ms)  |  script='nhiều'
289: whisper='sán' (63400-63580ms)  |  script='nhà'
290: whisper='phẳng' (63580-63910ms)  |  script='sử'
291: whisper='chúng' (63910-64440ms)  |  script='học'
292: whisper='và' (64440-64470ms)  |  script='ước'
293: whisper='nhiều' (64470-64740ms)  |  script='tính'
294: whisper='nhà' (64740-64890ms)  |  script='hàng'
295: whisper='sử' (64890-65030ms)  |  script='triệu'
296: whisper='học' (65030-65220ms)  |  script='người'
297: whisper='ước' (65220-65480ms)  |  script='đã'
298: whisper='tính' (65480-65630ms)  |  script='thiệt'
299: whisper='hàng' (65630-65820ms)  |  script='mạng'
300: whisper='triệu' (65820-66080ms)  |  script='trong'
301: whisper='người' (66080-66440ms)  |  script='các'
302: whisper='đã' (66440-66540ms)  |  script='cuộc'
303: whisper='thiệt' (66540-66830ms)  |  script='chinh'
304: whisper='mạ' (66830-66940ms)  |  script='phạt'
305: whisper='trong' (66940-67140ms)  |  script='Con'
306: whisper='các' (67140-67300ms)  |  script='số'
307: whisper='cuộc' (67300-67510ms)  |  script='chính'
308: whisper='chinh' (67510-67760ms)  |  script='xác'
309: whisper='phạt.' (67760-68220ms)  |  script='vẫn'
310: whisper='Con' (68220-68430ms)  |  script='còn'
311: whisper='số' (68430-68630ms)  |  script='tranh'
312: whisper='chính' (68630-68980ms)  |  script='cãi'
313: whisper='xác' (68980-69280ms)  |  script='Ông'
314: whisper='vẫn' (69280-69490ms)  |  script='qua'
315: whisper='còn' (69490-69690ms)  |  script='đời'
316: whisper='tranh' (69690-69970ms)  |  script='năm'
317: whisper='cãi,' (69970-70480ms)  |  script='1227'
318: whisper='ông' (70480-70520ms)  |  script='trong'
319: whisper='qua' (70520-70690ms)  |  script='chiến'
320: whisper='đời' (70690-71030ms)  |  script='dịch'
321: whisper='năm' (71030-71260ms)  |  script='chống'
322: whisper='1227' (71260-71940ms)  |  script='Tây'
323: whisper='trong' (71940-72210ms)  |  script='Hạ'
324: whisper='chiến' (72210-72620ms)  |  script='nguyên'
325: whisper='dịch' (72620-72950ms)  |  script='nhân'
326: whisper='trong' (72950-73260ms)  |  script='vẫn'
327: whisper='tây' (73260-73450ms)  |  script='chưa'
328: whisper='hạ,' (73450-73940ms)  |  script='ai'
329: whisper='nguyên' (73940-74310ms)  |  script='chắc'
330: whisper='nhân' (74310-74620ms)  |  script='chắn'
331: whisper='vẫn' (74620-74850ms)  |  script='Nơi'
332: whisper='chưa' (74850-75120ms)  |  script='chôn'
333: whisper='ai' (75120-75220ms)  |  script='cất'
334: whisper='chắc' (75220-75630ms)  |  script='ông'
335: whisper='chắn,' (75630-76020ms)  |  script='cho'
336: whisper='nơi' (76020-76270ms)  |  script='đến'
337: whisper='trôn' (76270-76610ms)  |  script='nay'
338: whisper='cất' (76610-76880ms)  |  script='vẫn'
339: whisper='ông' (76880-77100ms)  |  script='là'
340: whisper='cho' (77100-77280ms)  |  script='bí'
341: whisper='đến' (77280-77640ms)  |  script='ẩn'
342: whisper='nay' (77640-77810ms)  |  script='Theo'
343: whisper='vẫn' (77810-78300ms)  |  script='truyền'
344: whisper='là' (78300-78300ms)  |  script='thuyết'
345: whisper='bị' (78300-78540ms)  |  script='mộ'
346: whisper='ẩn.' (78540-79000ms)  |  script='ông'
347: whisper='Theo' (79160-79170ms)  |  script='được'
348: whisper='chuyển' (79170-79480ms)  |  script='giấu'
349: whisper='thuyết,' (79480-80090ms)  |  script='kín'
350: whisper='một' (80090-80120ms)  |  script='nhưng'
351: whisper='ông' (80120-80300ms)  |  script='chi'
352: whisper='được' (80300-80620ms)  |  script='tiết'
353: whisper='dấu' (80620-80860ms)  |  script='này'
354: whisper='kiến,' (80860-81350ms)  |  script='chưa'
355: whisper='nhưng' (81350-81430ms)  |  script='được'
356: whisper='chi' (81430-81470ms)  |  script='kiểm'
357: whisper='tiết' (81470-81710ms)  |  script='chứng'
358: whisper='này' (81710-81870ms)  |  script='Có'
359: whisper='chưa' (81870-82080ms)  |  script='một'
360: whisper='được' (82080-82410ms)  |  script='điều'
361: whisper='kiểm' (82410-82650ms)  |  script='còn'
362: whisper='chứng,' (82650-83330ms)  |  script='tồn'
363: whisper='có' (83330-83510ms)  |  script='tại'
364: whisper='một' (83510-83550ms)  |  script='đến'
365: whisper='điều' (83550-83860ms)  |  script='tận'
366: whisper='con' (83860-84000ms)  |  script='hôm'
367: whisper='tồn' (84000-84200ms)  |  script='nay'
368: whisper='tại' (84200-84460ms)  |  script='một'
369: whisper='đến' (84460-84720ms)  |  script='nghiên'
370: whisper='tận' (84720-84890ms)  |  script='cứu'
371: whisper='hôm' (84890-85060ms)  |  script='di'
372: whisper='nay,' (85060-85370ms)  |  script='truyền'
373: whisper='một' (85370-85590ms)  |  script='năm'
374: whisper='nghiên' (85590-85940ms)  |  script='2003'
375: whisper='cứu' (85940-86190ms)  |  script='cho'
376: whisper='dí' (86190-86340ms)  |  script='thấy'
377: whisper='chuyển' (86340-86740ms)  |  script='dòng'
378: whisper='năm' (86740-86950ms)  |  script='gen'
379: whisper='2003' (86950-87690ms)  |  script='Y'
380: whisper='cho' (87690-87740ms)  |  script='hiếm'
381: whisper='thấy' (87740-87990ms)  |  script='gặp'
382: whisper='dòng' (87990-88240ms)  |  script='có'
383: whisper='Zen' (88240-88390ms)  |  script='thể'
384: whisper='Y' (88390-88460ms)  |  script='bắt'
385: whisper='hiếm' (88460-88740ms)  |  script='nguồn'
386: whisper='gặp,' (88740-89330ms)  |  script='từ'
387: whisper='có' (89330-89440ms)  |  script='ông'
388: whisper='thể' (89440-89550ms)  |  script='hoặc'
389: whisper='bắt' (89550-89780ms)  |  script='gia'
390: whisper='nguồn' (89780-90070ms)  |  script='tộc'
391: whisper='từ' (90070-90220ms)  |  script='ông'
392: whisper='ông' (90220-90390ms)  |  script='hiện'
393: whisper='hoặc' (90390-90640ms)  |  script='diện'
394: whisper='ra' (90640-90760ms)  |  script='ở'
395: whisper='tộc' (90760-90930ms)  |  script='khoảng'
396: whisper='ông' (90930-91360ms)  |  script='16'
397: whisper='hiện' (91360-91400ms)  |  script='triệu'
398: whisper='diện' (91400-91610ms)  |  script='đàn'
399: whisper='ở' (91610-91740ms)  |  script='ông'
400: whisper='khoảng' (91740-92080ms)  |  script='trên'
401: whisper='16' (92080-92340ms)  |  script='khắp'
402: whisper='triệu' (92340-92630ms)  |  script='châu'
403: whisper='đàn' (92630-92850ms)  |  script='Á'
404: whisper='ông' (92850-93010ms)  |  script='Người'
405: whisper='trên' (93010-93300ms)  |  script='đàn'
406: whisper='khắp' (93300-93490ms)  |  script='ông'
407: whisper='châu' (93490-93960ms)  |  script='bị'
408: whisper='Á.' (93960-93960ms)  |  script='bỏ'
409: whisper='Người' (93960-94280ms)  |  script='rơi'
410: whisper='đàn' (94280-94480ms)  |  script='giữa'
411: whisper='ông' (94480-94640ms)  |  script='thảo'
412: whisper='bị' (94640-94800ms)  |  script='nguyên'
413: whisper='bỏ' (94800-94970ms)  |  script='để'
414: whisper='rơi' (94970-95120ms)  |  script='rồi'
415: whisper='giữa' (95120-95360ms)  |  script='dựng'
416: whisper='Thảo' (95360-95600ms)  |  script='nên'
417: whisper='Nguyên' (95600-96070ms)  |  script='đế'
418: whisper='để' (96070-96080ms)  |  script='chế'
419: whisper='rồi' (96080-96280ms)  |  script='lớn'
420: whisper='dựng' (96280-96560ms)  |  script='nhất'
421: whisper='nên' (96560-96680ms)  |  script='lịch'
422: whisper='đế' (96680-96920ms)  |  script='sử'
423: whisper='chế' (96920-97080ms)  |  script='và'
424: whisper='lớn' (97080-97280ms)  |  script='còn'
425: whisper='nhất' (97280-97540ms)  |  script='để'
426: whisper='lịch' (97540-97760ms)  |  script='lại'
427: whisper='sử' (97760-97960ms)  |  script='dấu'
428: whisper='và' (97960-98250ms)  |  script='vết'
429: whisper='còn' (98250-98290ms)  |  script='trong'
430: whisper='để' (98290-98520ms)  |  script='gen'
431: whisper='lại' (98520-98750ms)  |  script='của'
432: whisper='dấu' (98750-98980ms)  |  script='hàng'
433: whisper='vết' (98980-99300ms)  |  script='triệu'
434: whisper='trong' (99300-99440ms)  |  script='người'
435: whisper='Zen' (99440-99580ms)  |  script='đó'
436: whisper='của' (99580-99810ms)  |  script='chính'
437: whisper='hàng' (99810-100040ms)  |  script='là'
438: whisper='triệu' (100040-100370ms)  |  script='Thành'
439: whisper='người,' (100370-100900ms)  |  script='Cát'
440: whisper='đó' (100900-101030ms)  |  script='Tư'
441: whisper='chính' (101030-101310ms)  |  script='Hãn'
442: whisper='là' (101310-101450ms)  |  script='---'
443: whisper='thành' (101450-101730ms)  |  script='---'
444: whisper='cá' (101730-101880ms)  |  script='---'
445: whisper='tư' (101880-102000ms)  |  script='---'
446: whisper='hãn.' (102000-102560ms)  |  script='---'
