  0: whisper='Bạn' (30-200ms)  |  script='Bạn'
 50: whisper='dộ,' (11870-12160ms)  |  script='rộn'
 51: whisper='đây' (12160-12360ms)  |  script='Đây'
 52: whisper='là' (12360-12480ms)  |  script='là'
 53: whisper='cách' (12480-12680ms)  |  script='cách'
 54: whisper='nó' (12680-12800ms)  |  script='nó'
 55: whisper='hoạt' (12800-13070ms)  |  script='hoạt'
 56: whisper='động,' (13070-13420ms)  |  script='động'
 57: whisper='nảo' (13420-13590ms)  |  script='não'
 58: whisper='bạn' (13590-13800ms)  |  script='bạn'
 59: whisper='cực' (13800-14000ms)  |  script='cực'
 60: whisper='kỳ' (14000-14160ms)  |  script='kỳ'
 61: whisper='giỏi' (14160-14410ms)  |  script='giỏi'
 62: whisper='phân' (14410-14610ms)  |  script='phân'
 63: whisper='biệt' (14610-14860ms)  |  script='biệt'
 64: whisper='bệnh' (14860-15100ms)  |  script='bận'
 65: whisper='và' (15100-15220ms)  |  script='và'
 66: whisper='hiệu' (15220-15470ms)  |  script='hiệu'
 67: whisper='quả.' (15470-15900ms)  |  script='quả'
 68: whisper='Chỉ' (15900-16130ms)  |  script='chỉ'
 69: whisper='có' (16130-16270ms)  |  script='có'
 70: whisper='điều' (16270-16600ms)  |  script='điều'
 71: whisper='nó' (16600-16740ms)  |  script='nó'
 72: whisper='cố' (16740-16920ms)  |  script='cố'
 73: whisper='tình' (16920-17150ms)  |  script='tình'
 74: whisper='lở' (17150-17330ms)  |  script='lờ'
 75: whisper='đi' (17330-17470ms)  |  script='đi'
 76: whisper='sự' (17470-17660ms)  |  script='sự'
 77: whisper='khác' (17660-17900ms)  |  script='khác'
 78: whisper='biệt' (17900-18460ms)  |  script='biệt'
 79: whisper='đó,' (18460-18460ms)  |  script='đó'
 80: whisper='vì' (18460-18610ms)  |  script='vì'
 81: whisper='cảm' (18610-18790ms)  |  script='cảm'
 82: whisper='giác' (18790-18990ms)  |  script='giác'
 83: whisper='hoàn' (18990-19190ms)  |  script='hoàn'
 84: whisper='thành' (19190-19440ms)  |  script='thành'
 85: whisper='việc' (19440-19690ms)  |  script='việc'
 86: whisper='nhỏ' (19690-19900ms)  |  script='nhỏ'
 87: whisper='sướng' (19900-20220ms)  |  script='sướng'
 88: whisper='hơn' (20220-20380ms)  |  script='hơn'
 89: whisper='nhiều,' (20380-20760ms)  |  script='nhiều'
 90: whisper='so' (20760-20850ms)  |  script='so'
 91: whisper='với' (20850-21050ms)  |  script='với'
 92: whisper='đối' (21050-21290ms)  |  script='đối'
 93: whisper='mặt' (21290-21510ms)  |  script='mặt'
 94: whisper='việc' (21510-21740ms)  |  script='việc'
 95: whisper='lớn' (21740-21940ms)  |  script='lớn'
 96: whisper='đáng' (21940-22180ms)  |  script='đáng'
 97: whisper='sợ.' (22180-22540ms)  |  script='sợ'
 98: whisper='Dọn' (22540-22790ms)  |  script='Dọn'
 99: whisper='bạn' (22790-23050ms)  |  script='bàn'
100: whisper='sông,' (23050-23540ms)  |  script='xong'
101: whisper='bạn' (23540-23570ms)  |  script='bạn'
102: whisper='có' (23570-23710ms)  |  script='có'
103: whisper='cảm' (23710-23950ms)  |  script='cảm'
104: whisper='giác' (23950-24180ms)  |  script='giác'
105: whisper='"Ah,' (24180-24400ms)  |  script='à'
106: whisper='mình' (24400-24680ms)  |  script='mình'
107: whisper='vừa' (24680-24870ms)  |  script='vừa'
108: whisper='làm' (24870-25060ms)  |  script='làm'
109: whisper='được' (25060-25440ms)  |  script='được'
110: whisper='gì' (25440-25580ms)  |  script='gì'
111: whisper='đó",' (25580-26000ms)  |  script='đó'
112: whisper='nảo' (26040-26240ms)  |  script='não'
113: whisper='tiết' (26240-26500ms)  |  script='tiết'
114: whisper='ra' (26500-26580ms)  |  script='ra'
115: whisper='một' (26580-26810ms)  |  script='một'
116: whisper='chút' (26810-27040ms)  |  script='chút'
117: whisper='dopamine,' (27040-27590ms)  |  script='dopamine'
118: whisper='ý' (27590-27630ms)  |  script='y'
119: whisper='hệt' (27630-27870ms)  |  script='hệt'
120: whisper='như' (27870-27990ms)  |  script='như'
121: whisper='vừa' (27990-28210ms)  |  script='vừa'
122: whisper='hoàn' (28210-28440ms)  |  script='hoàn'
123: whisper='thành' (28440-28740ms)  |  script='thành'
124: whisper='việc' (28740-29000ms)  |  script='việc'
125: whisper='thật' (29000-29270ms)  |  script='thật'
126: whisper='sự,' (29270-29680ms)  |  script='sự'
127: whisper='vấn' (29680-29940ms)  |  script='Vấn'
128: whisper='đề' (29940-30200ms)  |  script='đề'
129: whisper='là' (30200-30360ms)  |  script='là'
130: whisper='báo' (30360-30570ms)  |  script='báo'
131: whisper='cáo' (30570-30780ms)  |  script='cáo'
132: whisper='kia' (30780-30940ms)  |  script='kia'
133: whisper='thì' (30940-31140ms)  |  script='thì'
134: whisper='vẫn' (31140-31400ms)  |  script='vẫn'
135: whisper='làm' (31400-31610ms)  |  script='nằm'
136: whisper='y' (31610-31855ms)  |  script='y'
137: whisper='nguyên' (31855-32100ms)  |  script='nguyên'
138: whisper='Con' (32100-32240ms)  |  script='còn'
139: whisper='deadline' (32240-32630ms)  |  script='deadline'
140: whisper='thì' (32630-32820ms)  |  script='thì'
141: whisper='đang' (32820-33060ms)  |  script='đang'
142: whisper='xích' (33060-33290ms)  |  script='xích'
143: whisper='lại' (33290-33530ms)  |  script='lại'
144: whisper='gần' (33530-33760ms)  |  script='gần'
145: whisper='hơn' (33760-33950ms)  |  script='hơn'
146: whisper='từng' (33950-34320ms)  |  script='từng'
147: whisper='phút,' (34320-34540ms)  |  script='phút'
148: whisper='đây' (34540-34760ms)  |  script='Đây'
149: whisper='mới' (34760-34980ms)  |  script='mới'
150: whisper='là' (34980-35110ms)  |  script='là'
151: whisper='phần' (35110-35380ms)  |  script='phần'
152: whisper='buồn' (35380-35640ms)  |  script='buồn'
153: whisper='cười,' (35640-36080ms)  |  script='cười'
154: whisper='càng' (36080-36290ms)  |  script='càng'
155: whisper='nhiều' (36290-36580ms)  |  script='nhiều'
156: whisper='việc' (36580-36830ms)  |  script='việc'
157: whisper='nhỏ' (36830-37030ms)  |  script='nhỏ'
158: whisper='giả' (37030-37230ms)  |  script='giả'
159: whisper='vừa' (37230-37440ms)  |  script='vờ'
160: whisper='bệnh' (37440-37720ms)  |  script='bận'
161: whisper='dộn.' (37720-37980ms)  |  script='rộn'
162: whisper='Bạn' (37980-38210ms)  |  script='bạn'
163: whisper='càng' (38210-38400ms)  |  script='càng'
164: whisper='có' (38400-38520ms)  |  script='có'
165: whisper='lý' (38520-38640ms)  |  script='lý'
166: whisper='do' (38640-38720ms)  |  script='do'
167: whisper='chiến' (38720-39010ms)  |  script='chính'
168: whisper='đáng' (39010-39260ms)  |  script='đáng'
169: whisper='để' (39260-39470ms)  |  script='để'
170: whisper='nói' (39470-39640ms)  |  script='nói'
171: whisper='hôm' (39640-39800ms)  |  script='hôm'
172: whisper='nay' (39800-39920ms)  |  script='nay'
173: whisper='mình' (39920-40120ms)  |  script='mình'
174: whisper='bệnh' (40120-40370ms)  |  script='bận'
175: whisper='lắm,' (40370-40760ms)  |  script='lắm'
176: whisper='mà' (40760-40970ms)  |  script='mà'
177: whisper='không' (40970-41390ms)  |  script='không'
178: whisper='ai,' (41390-41720ms)  |  script='ai'
179: whisper='kể' (41720-41840ms)  |  script='kể'
180: whisper='cả' (41840-42000ms)  |  script='cả'
181: whisper='chính' (42000-42240ms)  |  script='chính'
182: whisper='bạn' (42240-42520ms)  |  script='bạn'
183: whisper='chất' (42520-42680ms)  |  script='chất'
184: whisper='vấn' (42680-42880ms)  |  script='vấn'
185: whisper='được' (42880-43200ms)  |  script='được'
186: whisper='điều' (43200-43480ms)  |  script='điều'
187: whisper='đó,' (43480-43740ms)  |  script='đó'
188: whisper='bệnh' (43740-44040ms)  |  script='Bận'
189: whisper='dộn' (44040-44290ms)  |  script='rộn'
190: whisper='giả' (44290-44540ms)  |  script='giả'
191: whisper='vừa' (44540-44790ms)  |  script='vờ'
192: whisper='là' (44790-44940ms)  |  script='là'
193: whisper='vỏ' (44940-45190ms)  |  script='vỏ'
194: whisper='bọc' (45190-45390ms)  |  script='bọc'
195: whisper='hoàn' (45390-45690ms)  |  script='hoàn'
196: whisper='hảo,' (45690-45960ms)  |  script='hảo'
197: whisper='vì' (45960-46090ms)  |  script='vì'
198: whisper='nhìn' (46090-46310ms)  |  script='nhìn'
199: whisper='từ' (46310-46490ms)  |  script='từ'
200: whisper='ngoài' (46490-46750ms)  |  script='ngoài'
201: whisper='nó' (46750-46970ms)  |  script='nó'
202: whisper='giống' (46970-47190ms)  |  script='giống'
203: whisper='hệt' (47190-47410ms)  |  script='hệt'
204: whisper='bệnh' (47410-47670ms)  |  script='bận'
205: whisper='dộn' (47670-47880ms)  |  script='rộn'
206: whisper='thật.' (47880-48400ms)  |  script='thật'
207: whisper='Cách' (48400-48630ms)  |  script='Cách'
208: whisper='nhận' (48630-48890ms)  |  script='nhận'
209: whisper='diện,' (48890-49290ms)  |  script='diện'
210: whisper='nếu' (49290-49450ms)  |  script='nếu'
211: whisper='việc' (49450-49660ms)  |  script='việc'
212: whisper='bạn' (49660-49830ms)  |  script='bạn'
213: whisper='đang' (49830-50000ms)  |  script='đang'
214: whisper='làm' (50000-50140ms)  |  script='làm'
215: whisper='có' (50140-50240ms)  |  script='có'
216: whisper='thể' (50240-50410ms)  |  script='thể'
217: whisper='bị' (50410-50540ms)  |  script='bị'
218: whisper='hoạn' (50540-50780ms)  |  script='hoãn'
219: whisper='vô' (50780-50860ms)  |  script='vô'
220: whisper='thời' (50860-51070ms)  |  script='thời'
221: whisper='hạn' (51070-51400ms)  |  script='hạn'
222: whisper='mà' (51400-51480ms)  |  script='mà'
223: whisper='chẳng' (51480-51930ms)  |  script='chẳng'
224: whisper='ai' (51930-52065ms)  |  script='ai'
225: whisper='chết' (52065-52200ms)  |  script='chết'
226: whisper='vì' (52200-52600ms)  |  script='vì'
227: whisper='nó,' (52600-52780ms)  |  script='nó'
228: whisper='kiểu' (52860-53030ms)  |  script='kiểu'
229: whisper='sắp' (53030-53240ms)  |  script='sắp'
230: whisper='xếp' (53240-53450ms)  |  script='xếp'
231: whisper='lại' (53450-53670ms)  |  script='lại'
232: whisper='thứ' (53670-53980ms)  |  script='thư'
233: whisper='một' (53980-54110ms)  |  script='mục'
234: whisper='phai' (54110-54270ms)  |  script='file'
235: whisper='lần' (54270-54480ms)  |  script='lần'
236: whisper='thứ' (54480-54700ms)  |  script='thứ'
237: whisper='5' (54700-54830ms)  |  script='5'
238: whisper='trong' (54830-55050ms)  |  script='trong'
239: whisper='tháng,' (55050-55640ms)  |  script='tháng'
240: whisper='thì' (55640-55670ms)  |  script='thì'
241: whisper='khả' (55670-55880ms)  |  script='khả'
242: whisper='năng' (55880-56110ms)  |  script='năng'
243: whisper='cao' (56110-56210ms)  |  script='cao'
244: whisper='đó' (56210-56380ms)  |  script='đó'
245: whisper='không' (56380-56640ms)  |  script='không'
246: whisper='phải' (56640-56940ms)  |  script='phải'
247: whisper='công' (56940-57120ms)  |  script='công'
248: whisper='việc,' (57120-57540ms)  |  script='việc'
249: whisper='đó' (57540-57720ms)  |  script='đó'
250: whisper='là' (57720-57850ms)  |  script='là'
251: whisper='chuẩn' (57850-58150ms)  |  script='trốn'
252: whisper='việc' (58150-58460ms)  |  script='việc'
253: whisper='mặc' (58460-58670ms)  |  script='mặc'
254: whisper='áo' (58670-58770ms)  |  script='áo'
255: whisper='giáp' (58770-59040ms)  |  script='giáp'
256: whisper='công' (59040-59220ms)  |  script='công'
257: whisper='việc.' (59220-59580ms)  |  script='việc'
258: whisper='Cách' (59580-59850ms)  |  script='Cách'
259: whisper='thoát,' (59850-60450ms)  |  script='thoát'
260: whisper='trước' (60450-60640ms)  |  script='trước'
261: whisper='khi' (60640-60760ms)  |  script='khi'
262: whisper='làm' (60760-60920ms)  |  script='làm'
263: whisper='bất' (60920-61120ms)  |  script='bất'
264: whisper='cứ' (61120-61300ms)  |  script='cứ'
265: whisper='việc' (61300-61520ms)  |  script='việc'
266: whisper='nhỏ' (61520-61710ms)  |  script='nhỏ'
267: whisper='nào,' (61710-61940ms)  |  script='nào'
268: whisper='từ' (61940-62130ms)  |  script='tự'
269: whisper='hỏi' (62130-62360ms)  |  script='hỏi'
270: whisper='một' (62360-62600ms)  |  script='một'
271: whisper='câu' (62600-62780ms)  |  script='câu'
272: whisper='duy' (62780-62920ms)  |  script='duy'
273: whisper='nhất,' (62920-63500ms)  |  script='nhất'
274: whisper='việc' (63500-63630ms)  |  script='việc'
275: whisper='này' (63630-63740ms)  |  script='này'
276: whisper='có' (63740-63900ms)  |  script='có'
277: whisper='đang' (63900-64060ms)  |  script='đang'
278: whisper='nế' (64060-64220ms)  |  script='né'
279: whisper='việc' (64220-64470ms)  |  script='việc'
280: whisper='quan' (64470-64620ms)  |  script='quan'
281: whisper='trọng' (64620-65120ms)  |  script='trọng'
282: whisper='nhất' (65120-65160ms)  |  script='nhất'
283: whisper='trong' (65160-65340ms)  |  script='trong'
284: whisper='ngày' (65340-65540ms)  |  script='ngày'
285: whisper='không.' (65540-65980ms)  |  script='không'
286: whisper='Nếu' (65980-66240ms)  |  script='Nếu'
287: whisper='câu' (66240-66450ms)  |  script='câu'
288: whisper='trả' (66450-66710ms)  |  script='trả'
289: whisper='lời' (66710-66970ms)  |  script='lời'
290: whisper='là' (66970-67130ms)  |  script='là'
291: whisper='có,' (67130-67420ms)  |  script='có'
292: whisper='đón' (67420-67650ms)  |  script='đóng'
293: whisper='hết' (67650-67930ms)  |  script='hết'
294: whisper='táp,' (67930-68250ms)  |  script='tab'
295: whisper='quay' (68250-68340ms)  |  script='quay'
296: whisper='lại' (68340-68580ms)  |  script='lại'
297: whisper='việc' (68580-68870ms)  |  script='việc'
298: whisper='lớn,' (68870-69180ms)  |  script='lớn'
299: whisper='dù' (69180-69370ms)  |  script='dù'
300: whisper='nó' (69370-69490ms)  |  script='nó'
301: whisper='đáng' (69490-69800ms)  |  script='đáng'
302: whisper='sợ' (69800-70010ms)  |  script='sợ'
303: whisper='đến' (70010-70330ms)  |  script='đến'
304: whisper='mấy,' (70330-70740ms)  |  script='mấy'
305: whisper='bệnh' (70740-71000ms)  |  script='Bận'
306: whisper='dộn' (71000-71140ms)  |  script='rộn'
307: whisper='không' (71140-71380ms)  |  script='không'
308: whisper='phải' (71380-71640ms)  |  script='phải'
309: whisper='thánh' (71640-71850ms)  |  script='thành'
310: whisper='tích,' (71850-72180ms)  |  script='tích'
311: whisper='làm' (72180-72390ms)  |  script='Làm'
312: whisper='đúng' (72390-72630ms)  |  script='đúng'
313: whisper='việc' (72630-72900ms)  |  script='việc'
314: whisper='quan' (72900-73080ms)  |  script='quan'
315: whisper='trọng' (73080-73390ms)  |  script='trọng'
316: whisper='mới' (73390-73610ms)  |  script='mới'
317: whisper='là' (73610-73740ms)  |  script='là'
318: whisper='thánh' (73740-74050ms)  |  script='thành'
319: whisper='tích.' (74050-74420ms)  |  script='tích'
