  0: 30-200 Bạn
  1: 200-400  dọn
257: 59850-60450  thoát,
258: 60450-60640  trước
259: 60640-60760  khi
260: 60760-60920  làm
261: 60920-61120  bất
262: 61120-61300  cứ
263: 61300-61520  việc
264: 61520-61710  nhỏ
265: 61710-61940  nào,
266: 61940-62130  từ
267: 62130-62360  hỏi
268: 62360-62600  một
269: 62600-62780  câu
270: 62780-62920  duy
271: 62920-63500  nhất,
272: 63500-63630  việc
273: 63630-63740  này
274: 63740-63900  có
275: 63900-64060  đang
276: 64060-64220  nế
277: 64220-64470  việc
278: 64470-64620  quan
279: 64620-65120  trọng
280: 65120-65160  nhất
281: 65160-65340  trong
282: 65340-65540  ngày
283: 65540-65980  không.
284: 65980-66240  Nếu
285: 66240-66450  câu
286: 66450-66710  trả
287: 66710-66970  lời
288: 66970-67130  là
289: 67130-67420  có,
290: 67420-67650  đón
291: 67650-67930  hết
292: 67930-68250  táp,
293: 68250-68340  quay
294: 68340-68580  lại
295: 68580-68870  việc
296: 68870-69180  lớn,
297: 69180-69370  dù
298: 69370-69490  nó
299: 69490-69800  đáng
300: 69800-70010  sợ
301: 70010-70330  đến
302: 70330-70740  mấy,
303: 70740-71000  bệnh
304: 71000-71140  dộn
305: 71140-71380  không
306: 71380-71640  phải
307: 71640-71850  thánh
308: 71850-72180  tích,
309: 72180-72390  làm
310: 72390-72630  đúng
311: 72630-72900  việc
312: 72900-73080  quan
313: 73080-73390  trọng
314: 73390-73610  mới
315: 73610-73740  là
316: 73740-74050  thánh
317: 74050-74420  tích.
