  0: whisper='Albert' (40-390ms)  |  script='Albert'
 35: whisper='thường' (8300-8620ms)  |  script='thường'
 36: whisper='suyên' (8620-8830ms)  |  script='xuyên'
 37: whisper='đến' (8830-9040ms)  |  script='đến'
 38: whisper='mức' (9040-9220ms)  |  script='mức'
 39: whisper='đáng' (9220-9430ms)  |  script='đáng'
 40: whisper='báo' (9430-9880ms)  |  script='báo'
 41: whisper='động.' (9880-9880ms)  |  script='động'
 42: whisper='Đúng' (9880-10120ms)  |  script='Đúng'
 43: whisper='vậy,' (10120-10440ms)  |  script='vậy'
 44: whisper='bộ' (10440-10560ms)  |  script='bộ'
 45: whisper='nạo' (10560-10760ms)  |  script='não'
 46: whisper='vị' (10760-10920ms)  |  script='vĩ'
 47: whisper='đại' (10920-11220ms)  |  script='đại'
 48: whisper='nhất' (11220-11400ms)  |  script='nhất'
 49: whisper='thế' (11400-11600ms)  |  script='thế'
 50: whisper='kỳ' (11600-11760ms)  |  script='kỷ'
 51: whisper='20' (11760-12120ms)  |  script='20'
 52: whisper='lại' (12120-12280ms)  |  script='lại'
 53: whisper='sở' (12280-12460ms)  |  script='sở'
 54: whisper='hiệu' (12460-12740ms)  |  script='hữu'
 55: whisper='chi' (12740-12880ms)  |  script='trí'
 56: whisper='nhớ' (12880-13110ms)  |  script='nhớ'
 57: whisper='tệ' (13110-13450ms)  |  script='tệ'
 58: whisper='không' (13450-13620ms)  |  script='không'
 59: whisper='tưởng' (13620-13920ms)  |  script='tưởng'
 60: whisper='cho' (13920-14040ms)  |  script='cho'
 61: whisper='những' (14040-14330ms)  |  script='những'
 62: whisper='chuyện' (14330-14640ms)  |  script='chuyện'
 63: whisper='đời' (14640-14890ms)  |  script='đời'
 64: whisper='thường.' (14890-15460ms)  |  script='thường'
 65: whisper='Einstein' (15460-15820ms)  |  script='Einstein'
 66: whisper='từng' (15820-16090ms)  |  script='từng'
 67: whisper='quên' (16090-16310ms)  |  script='quên'
 68: whisper='hẳn' (16310-16520ms)  |  script='hẳn'
 69: whisper='địa' (16520-16780ms)  |  script='địa'
 70: whisper='chỉ' (16780-17000ms)  |  script='chỉ'
 71: whisper='nhà' (17000-17170ms)  |  script='nhà'
 72: whisper='mình' (17170-17520ms)  |  script='mình'
 73: whisper='đến' (17520-17730ms)  |  script='đến'
 74: whisper='mức' (17730-17950ms)  |  script='mức'
 75: whisper='phải' (17950-18220ms)  |  script='phải'
 76: whisper='gọi' (18220-18440ms)  |  script='gọi'
 77: whisper='địa' (18440-18700ms)  |  script='điện'
 78: whisper='cho' (18700-18830ms)  |  script='cho'
 79: whisper='văn' (18830-19000ms)  |  script='văn'
 80: whisper='phòng' (19000-19270ms)  |  script='phòng'
 81: whisper='của' (19270-19480ms)  |  script='của'
 82: whisper='chính' (19480-19940ms)  |  script='chính'
 83: whisper='ông' (19940-19940ms)  |  script='ông'
 84: whisper='để' (19940-20160ms)  |  script='để'
 85: whisper='hỏi.' (20160-20580ms)  |  script='hỏi'
 86: whisper='Ông' (20580-20820ms)  |  script='ông'
 87: whisper='sống' (20820-21060ms)  |  script='sống'
 88: whisper='ở' (21060-21210ms)  |  script='ở'
 89: whisper='đâu,' (21210-21600ms)  |  script='đâu'
 90: whisper='bộ' (21600-21700ms)  |  script='Bộ'
 91: whisper='nạo' (21700-21850ms)  |  script='não'
 92: whisper='tính' (21850-22000ms)  |  script='tính'
 93: whisper='ra' (22000-22060ms)  |  script='ra'
 94: whisper='được' (22060-22300ms)  |  script='được'
 95: whisper='năng' (22300-22450ms)  |  script='năng'
 96: whisper='lượng' (22450-22690ms)  |  script='lượng'
 97: whisper='bằng' (22690-22870ms)  |  script='bằng'
 98: whisper='khối' (22870-23050ms)  |  script='khối'
 99: whisper='lượng' (23050-23290ms)  |  script='lượng'
100: whisper='nhân' (23290-23440ms)  |  script='nhân'
101: whisper='bình' (23440-23590ms)  |  script='bình'
102: whisper='phương' (23590-23860ms)  |  script='phương'
103: whisper='vẫn' (23860-24220ms)  |  script='vận'
104: whisper='tốc' (24220-24470ms)  |  script='tốc'
105: whisper='án' (24470-24710ms)  |  script='ánh'
106: whisper='sáng,' (24710-24980ms)  |  script='sáng'
107: whisper='nhưng' (25050-25250ms)  |  script='nhưng'
108: whisper='lại' (25250-25470ms)  |  script='lại'
109: whisper='không' (25470-25740ms)  |  script='không'
110: whisper='nhớ' (25740-25970ms)  |  script='nhớ'
111: whisper='nổi' (25970-26180ms)  |  script='nổi'
112: whisper='số' (26180-26540ms)  |  script='số'
113: whisper='nhà.' (26540-26760ms)  |  script='nhà'
114: whisper='Ông' (26760-26850ms)  |  script='Ông'
115: whisper='còn' (26850-27030ms)  |  script='còn'
116: whisper='nổi' (27030-27250ms)  |  script='nổi'
117: whisper='tiếng' (27250-27560ms)  |  script='tiếng'
118: whisper='ghét' (27560-27910ms)  |  script='ghét'
119: whisper='đi' (27910-27950ms)  |  script='đi'
120: whisper='tất.' (27950-28370ms)  |  script='tất'
121: whisper='Đúng' (28370-28600ms)  |  script='Đúng'
122: whisper='nghĩa' (28600-28870ms)  |  script='nghĩa'
123: whisper='đen,' (28870-29260ms)  |  script='đen'
124: whisper='Einstein' (29260-29570ms)  |  script='Einstein'
125: whisper='từ' (29570-29760ms)  |  script='từ'
126: whisper='chối' (29760-30040ms)  |  script='chối'
127: whisper='mang' (30040-30260ms)  |  script='mang'
128: whisper='tất' (30260-30500ms)  |  script='tất'
129: whisper='xuất' (30500-30720ms)  |  script='suốt'
130: whisper='phần' (30720-30880ms)  |  script='phần'
131: whisper='lớn' (30880-31010ms)  |  script='lớn'
132: whisper='cuộc' (31010-31170ms)  |  script='cuộc'
133: whisper='đời' (31170-31330ms)  |  script='đời'
134: whisper='trường' (31330-31570ms)  |  script='trưởng'
135: whisper='thành,' (31570-31980ms)  |  script='thành'
136: whisper='kể' (31980-32140ms)  |  script='kể'
137: whisper='cả' (32140-32300ms)  |  script='cả'
138: whisper='trong' (32300-32510ms)  |  script='trong'
139: whisper='những' (32510-32800ms)  |  script='những'
140: whisper='dịp' (32800-33000ms)  |  script='dịp'
141: whisper='trang' (33000-33190ms)  |  script='trang'
142: whisper='chọng.' (33190-33710ms)  |  script='trọng'
143: whisper='Lý' (33710-33830ms)  |  script='Lý'
144: whisper='do' (33830-33910ms)  |  script='do'
145: whisper='ông' (33910-34110ms)  |  script='ông'
146: whisper='đưa' (34110-34360ms)  |  script='đưa'
147: whisper='ra' (34360-34480ms)  |  script='ra'
148: whisper='đơn' (34480-34710ms)  |  script='đơn'
149: whisper='giản,' (34710-35160ms)  |  script='giản'
150: whisper='đến' (35160-35310ms)  |  script='đến'
151: whisper='mức' (35310-35470ms)  |  script='mức'
152: whisper='ngưỡng' (35470-35750ms)  |  script='ngớ'
153: whisper='ngần,' (35750-36020ms)  |  script='ngẩn'
154: whisper='ông' (36020-36180ms)  |  script='ông'
155: whisper='ghét' (36180-36400ms)  |  script='ghét'
156: whisper='cảm' (36400-36570ms)  |  script='cảm'
157: whisper='giác' (36570-36750ms)  |  script='giác'
158: whisper='ngon' (36750-36900ms)  |  script='ngón'
159: whisper='trên' (36900-37090ms)  |  script='chân'
160: whisper='cái' (37090-37250ms)  |  script='cái'
161: whisper='chọc' (37250-37510ms)  |  script='chọc'
162: whisper='thủng' (37510-37730ms)  |  script='thủng'
163: whisper='lộ' (37730-37880ms)  |  script='lỗ'
164: whisper='tất' (37880-38070ms)  |  script='tất'
165: whisper='theo' (38070-38230ms)  |  script='theo'
166: whisper='thời' (38230-38460ms)  |  script='thời'
167: whisper='gian,' (38460-38740ms)  |  script='gian'
168: whisper='nên' (38740-38900ms)  |  script='nên'
169: whisper='quyết' (38900-39180ms)  |  script='quyết'
170: whisper='định,' (39180-39610ms)  |  script='định'
171: whisper='cách' (39610-39760ms)  |  script='cắt'
172: whisper='bò' (39760-39880ms)  |  script='bỏ'
173: whisper='vẫn' (39880-40090ms)  |  script='vấn'
174: whisper='để' (40090-40310ms)  |  script='đề'
175: whisper='tận' (40310-40540ms)  |  script='tận'
176: whisper='gốc,' (40540-40970ms)  |  script='gốc'
177: whisper='không' (40970-41120ms)  |  script='không'
178: whisper='mang' (41120-41310ms)  |  script='mang'
179: whisper='tất' (41310-41520ms)  |  script='tất'
180: whisper='nữa' (41520-41760ms)  |  script='nữa'
181: whisper='là' (41760-41890ms)  |  script='là'
182: whisper='sông.' (41890-42300ms)  |  script='xong'
183: whisper='Vê' (42300-42430ms)  |  script='Về'
184: whisper='tóc,' (42430-42780ms)  |  script='tóc'
185: whisper='chắc' (42780-43060ms)  |  script='chắc'
186: whisper='bạn' (43060-43210ms)  |  script='bạn'
187: whisper='từng' (43210-43460ms)  |  script='từng'
188: whisper='thấy' (43460-43730ms)  |  script='thấy'
189: whisper='bức' (43730-43950ms)  |  script='bức'
190: whisper='ảnh' (43950-44170ms)  |  script='ảnh'
191: whisper='Einstein' (44170-44750ms)  |  script='Einstein'
192: whisper='với' (44750-44800ms)  |  script='với'
193: whisper='mái' (44800-44940ms)  |  script='mái'
194: whisper='tóc' (44940-45080ms)  |  script='tóc'
195: whisper='bạc' (45080-45250ms)  |  script='bạc'
196: whisper='dựng' (45250-45480ms)  |  script='dựng'
197: whisper='đứng' (45480-45710ms)  |  script='đứng'
198: whisper='huyền' (45710-45940ms)  |  script='huyền'
199: whisper='thoại,' (45940-46360ms)  |  script='thoại'
200: whisper='sự' (46360-46530ms)  |  script='Sự'
201: whisper='thật' (46530-46850ms)  |  script='thật'
202: whisper='là' (46850-46910ms)  |  script='là'
203: whisper='ông' (46910-47080ms)  |  script='ông'
204: whisper='gần' (47080-47290ms)  |  script='gần'
205: whisper='như' (47290-47520ms)  |  script='như'
206: whisper='không' (47520-47720ms)  |  script='không'
207: whisper='bao' (47720-47850ms)  |  script='bao'
208: whisper='giờ' (47850-48070ms)  |  script='giờ'
209: whisper='chảy' (48070-48350ms)  |  script='chải'
210: whisper='tóc,' (48350-48560ms)  |  script='tóc'
211: whisper='và' (48560-48700ms)  |  script='và'
212: whisper='khi' (48700-48860ms)  |  script='khi'
213: whisper='được' (48860-49260ms)  |  script='được'
214: whisper='hỏi' (49260-49440ms)  |  script='hỏi'
215: whisper='tại' (49440-49670ms)  |  script='tại'
216: whisper='sao,' (49670-50000ms)  |  script='sao'
217: whisper='ông' (50000-50130ms)  |  script='ông'
218: whisper='chả' (50130-50360ms)  |  script='trả'
219: whisper='lời' (50360-50590ms)  |  script='lời'
220: whisper='rằng,' (50590-50900ms)  |  script='rằng'
221: whisper='cắt' (50950-51210ms)  |  script='cắt'
222: whisper='tóc' (51210-51530ms)  |  script='tóc'
223: whisper='và' (51530-51630ms)  |  script='và'
224: whisper='chạy' (51630-51840ms)  |  script='chải'
225: whisper='đầu' (51840-52160ms)  |  script='đầu'
226: whisper='là' (52160-52370ms)  |  script='là'
227: whisper='lãng' (52370-52590ms)  |  script='lãng'
228: whisper='phí' (52590-52770ms)  |  script='phí'
229: whisper='thời' (52770-53090ms)  |  script='thời'
230: whisper='gian' (53090-53300ms)  |  script='gian'
231: whisper='quý' (53300-53540ms)  |  script='quý'
232: whisper='báo' (53540-53710ms)  |  script='báu'
233: whisper='có' (53710-54140ms)  |  script='có'
234: whisper='thể' (54140-54190ms)  |  script='thể'
235: whisper='dùng' (54190-54400ms)  |  script='dùng'
236: whisper='để' (54400-54670ms)  |  script='để'
237: whisper='suy' (54670-54820ms)  |  script='suy'
238: whisper='nghĩ' (54820-55090ms)  |  script='nghĩ'
239: whisper='về' (55090-55300ms)  |  script='về'
240: whisper='vũ' (55300-55450ms)  |  script='vũ'
241: whisper='chủ.' (55450-56040ms)  |  script='trụ'
242: whisper='Tóc' (56040-56260ms)  |  script='Tóc'
243: whisper='dối' (56260-56450ms)  |  script='rối'
244: whisper='là' (56450-56590ms)  |  script='là'
245: whisper='cái' (56590-56810ms)  |  script='cái'
246: whisper='giá' (56810-56960ms)  |  script='giá'
247: whisper='ông' (56960-57150ms)  |  script='ông'
248: whisper='sẵn' (57150-57370ms)  |  script='sẵn'
249: whisper='sẵn' (57370-57570ms)  |  script='sàng'
250: whisper='chả' (57570-58020ms)  |  script='trả'
251: whisper='để' (58020-58040ms)  |  script='để'
252: whisper='dành' (58040-58270ms)  |  script='dành'
253: whisper='thời' (58270-58560ms)  |  script='thời'
254: whisper='gian' (58560-58730ms)  |  script='gian'
255: whisper='cho' (58730-58880ms)  |  script='cho'
256: whisper='vật' (58880-59110ms)  |  script='vật'
257: whisper='lý.' (59110-59440ms)  |  script='lý'
258: whisper='Đây' (59440-59710ms)  |  script='Đây'
259: whisper='là' (59710-59870ms)  |  script='là'
260: whisper='chi' (59870-60030ms)  |  script='chi'
261: whisper='tiết' (60030-60440ms)  |  script='tiết'
262: whisper='ít' (60440-60490ms)  |  script='ít'
263: whisper='i' (60490-60640ms)  |  script='ai'
264: whisper='biết' (60640-60860ms)  |  script='biết'
265: whisper='Einstein' (60860-61290ms)  |  script='Einstein'
266: whisper='từng' (61290-61600ms)  |  script='từng'
267: whisper='được' (61600-62030ms)  |  script='được'
268: whisper='mời' (62030-62290ms)  |  script='mời'
269: whisper='làm' (62290-62500ms)  |  script='làm'
270: whisper='tổng' (62500-62860ms)  |  script='Tổng'
271: whisper='thống' (62860-63180ms)  |  script='thống'
272: whisper='Israel' (63180-63500ms)  |  script='Israel'
273: whisper='vào' (63500-63730ms)  |  script='vào'
274: whisper='năm' (63730-63920ms)  |  script='năm'
275: whisper='1952' (63920-64700ms)  |  script='1952'
276: whisper='sau' (64700-64840ms)  |  script='sau'
277: whisper='khi' (64840-64940ms)  |  script='khi'
278: whisper='vị' (64940-65100ms)  |  script='vị'
279: whisper='tổng' (65100-65360ms)  |  script='tổng'
280: whisper='thống' (65360-65620ms)  |  script='thống'
281: whisper='đầu' (65620-65890ms)  |  script='đầu'
282: whisper='tiên' (65890-66080ms)  |  script='tiên'
283: whisper='qua' (66080-66180ms)  |  script='qua'
284: whisper='đời,' (66180-66720ms)  |  script='đời'
285: whisper='ông' (66720-66740ms)  |  script='Ông'
286: whisper='từ' (66740-66910ms)  |  script='từ'
287: whisper='chối' (66910-67120ms)  |  script='chối'
288: whisper='thẳng' (67120-67390ms)  |  script='thẳng'
289: whisper='thường.' (67390-67920ms)  |  script='thừng'
290: whisper='Nói' (67920-68090ms)  |  script='nói'
291: whisper='rằng,' (68090-68460ms)  |  script='rằng'
292: whisper='mình' (68460-68710ms)  |  script='mình'
293: whisper='không' (68710-68970ms)  |  script='không'
294: whisper='có' (68970-69110ms)  |  script='có'
295: whisper='năng' (69110-69410ms)  |  script='năng'
296: whisper='hiểu' (69410-69640ms)  |  script='khiếu'
297: whisper='sự' (69640-69810ms)  |  script='xử'
298: whisper='lý' (69810-69940ms)  |  script='lý'
299: whisper='con' (69940-70080ms)  |  script='con'
300: whisper='người' (70080-70650ms)  |  script='người'
301: whisper='và' (70650-70700ms)  |  script='và'
302: whisper='thành' (70700-70880ms)  |  script='thành'
303: whisper='thật' (70880-71200ms)  |  script='thật'
304: whisper='hơn' (71200-71250ms)  |  script='hơn'
305: whisper='là' (71250-71360ms)  |  script='là'
306: whisper='ông' (71360-71510ms)  |  script='ông'
307: whisper='thích' (71510-71720ms)  |  script='thích'
308: whisper='phương' (71720-72040ms)  |  script='phương'
309: whisper='trình' (72040-72250ms)  |  script='trình'
310: whisper='hơn' (72250-72410ms)  |  script='hơn'
311: whisper='chính' (72410-72630ms)  |  script='chính'
312: whisper='trị' (72630-72860ms)  |  script='trị'
313: whisper='rất' (72860-73000ms)  |  script='rất'
314: whisper='nhiều.' (73000-73420ms)  |  script='nhiều'
315: whisper='Và' (73420-73610ms)  |  script='Và'
316: whisper='một' (73610-73820ms)  |  script='một'
317: whisper='sự' (73820-74010ms)  |  script='sự'
318: whisper='thật' (74010-74320ms)  |  script='thật'
319: whisper='gây' (74320-74520ms)  |  script='gây'
320: whisper='xóc,' (74520-75000ms)  |  script='sốc'
321: whisper='Einstein' (75000-75230ms)  |  script='Einstein'
322: whisper='thì' (75230-75360ms)  |  script='thi'
323: whisper='chượt' (75360-75700ms)  |  script='trượt'
324: whisper='kỳ' (75700-75860ms)  |  script='kỳ'
325: whisper='thi' (75860-75990ms)  |  script='thi'
326: whisper='tuyển' (75990-76280ms)  |  script='tuyển'
327: whisper='xinh' (76280-76450ms)  |  script='sinh'
328: whisper='đã' (76450-76630ms)  |  script='đại'
329: whisper='học' (76630-76840ms)  |  script='học'
330: whisper='lần' (76840-77050ms)  |  script='lần'
331: whisper='đầu' (77050-77300ms)  |  script='đầu'
332: whisper='tiên.' (77300-77620ms)  |  script='tiên'
333: whisper='Không' (77890-77940ms)  |  script='Không'
334: whisper='phải' (77940-78260ms)  |  script='phải'
335: whisper='vì' (78260-78420ms)  |  script='vì'
336: whisper='mon' (78420-78580ms)  |  script='môn'
337: whisper='toán' (78580-78840ms)  |  script='toán'
338: whisper='hay' (78840-79050ms)  |  script='hay'
339: whisper='vật' (79050-79260ms)  |  script='vật'
340: whisper='lý,' (79260-79620ms)  |  script='lý'
341: whisper='ông' (79620-79720ms)  |  script='ông'
342: whisper='xuất' (79720-80030ms)  |  script='xuất'
343: whisper='sắc' (80030-80290ms)  |  script='sắc'
344: whisper='ở' (80290-80450ms)  |  script='ở'
345: whisper='hai' (80450-80610ms)  |  script='hai'
346: whisper='mon' (80610-80770ms)  |  script='môn'
347: whisper='đó,' (80770-81100ms)  |  script='đó'
348: whisper='mà' (81100-81250ms)  |  script='mà'
349: whisper='vì' (81250-81360ms)  |  script='vì'
350: whisper='ông' (81360-81530ms)  |  script='ông'
351: whisper='chượt' (81530-81940ms)  |  script='trượt'
352: whisper='các' (81940-82040ms)  |  script='các'
353: whisper='món' (82040-82250ms)  |  script='môn'
354: whisper='còn' (82250-82380ms)  |  script='còn'
355: whisper='lại' (82380-82600ms)  |  script='lại'
356: whisper='như' (82600-82770ms)  |  script='như'
357: whisper='ngôn' (82770-82980ms)  |  script='ngôn'
358: whisper='ngữ' (82980-83320ms)  |  script='ngữ'
359: whisper='và' (83320-83320ms)  |  script='và'
360: whisper='lịch' (83320-83580ms)  |  script='lịch'
361: whisper='sử' (83580-83780ms)  |  script='sử'
362: whisper='tự' (83780-83920ms)  |  script='tự'
363: whisper='nhiên.' (83920-84300ms)  |  script='nhiên'
364: whisper='Người' (84300-84580ms)  |  script='Người'
365: whisper='sau' (84580-84690ms)  |  script='sau'
366: whisper='này' (84690-84830ms)  |  script='này'
367: whisper='định' (84830-85090ms)  |  script='định'
368: whisper='nghĩa' (85090-85290ms)  |  script='nghĩa'
369: whisper='lại' (85290-85530ms)  |  script='lại'
370: whisper='cả' (85530-85610ms)  |  script='cả'
371: whisper='vũ' (85610-85700ms)  |  script='vũ'
372: whisper='chủ' (85700-85870ms)  |  script='trụ'
373: whisper='lại' (85870-86050ms)  |  script='lại'
374: whisper='tương' (86050-86290ms)  |  script='từng'
375: whisper='vị' (86290-86430ms)  |  script='bị'
376: whisper='một' (86430-86610ms)  |  script='một'
377: whisper='kỳ' (86610-86760ms)  |  script='kỳ'
378: whisper='thi' (86760-86850ms)  |  script='thi'
379: whisper='đại' (86850-87060ms)  |  script='đại'
380: whisper='học' (87060-87240ms)  |  script='học'
381: whisper='đánh' (87240-87450ms)  |  script='đánh'
382: whisper='gục.' (87450-87900ms)  |  script='gục'
383: whisper='Bộ' (87900-88100ms)  |  script='Bộ'
384: whisper='nào' (88100-88230ms)  |  script='não'
385: whisper='tính' (88230-88440ms)  |  script='tính'
386: whisper='ra' (88440-88520ms)  |  script='ra'
387: whisper='tuyết' (88520-88850ms)  |  script='thuyết'
388: whisper='tương' (88850-89100ms)  |  script='tương'
389: whisper='đối,' (89100-89630ms)  |  script='đối'
390: whisper='nhưng' (89630-89860ms)  |  script='nhưng'
391: whisper='quên' (89860-90060ms)  |  script='quên'
392: whisper='địa' (90060-90370ms)  |  script='địa'
393: whisper='chỉ' (90370-90800ms)  |  script='chỉ'
394: whisper='nhà' (90800-90830ms)  |  script='nhà'
395: whisper='ghét' (90830-91080ms)  |  script='ghét'
396: whisper='tất' (91080-91430ms)  |  script='tất'
397: whisper='và' (91430-91500ms)  |  script='và'
398: whisper='tương' (91500-91770ms)  |  script='từng'
399: whisper='trợ' (91770-91960ms)  |  script='trượt'
400: whisper='đại' (91960-92420ms)  |  script='đại'
401: whisper='học.' (92420-92460ms)  |  script='học'
402: whisper='Đó' (92460-92660ms)  |  script='đó'
403: whisper='chính' (92660-92960ms)  |  script='chính'
404: whisper='là' (92960-93110ms)  |  script='là'
405: whisper='Albert' (93110-93410ms)  |  script='Albert'
406: whisper='Einstein' (93410-93810ms)  |  script='Einstein'
407: whisper='thiên' (93810-94110ms)  |  script='thiên'
408: whisper='tài' (94110-94350ms)  |  script='tài'
409: whisper='lộn' (94350-94560ms)  |  script='lộn'
410: whisper='sộ' (94560-94760ms)  |  script='xộn'
411: whisper='nhất' (94760-95070ms)  |  script='nhất'
412: whisper='lịch' (95070-95360ms)  |  script='lịch'
413: whisper='sử' (95360-95560ms)  |  script='sử'
414: whisper='khoa' (95560-95760ms)  |  script='khoa'
415: whisper='học.' (95760-96180ms)  |  script='học'
