  0: whisper='Caligula' (50-420ms)  |  script='Caligula'
162: whisper='có' (37340-37520ms)  |  script='có'
163: whisper='mang' (37520-37800ms)  |  script='máng'
164: whisper='ăn' (37800-37950ms)  |  script='ăn'
165: whisper='bằng' (37950-38320ms)  |  script='bằng'
166: whisper='ngà' (38320-38620ms)  |  script='ngà'
167: whisper='vôi' (38620-38930ms)  |  script='voi'
168: whisper='và' (38930-39050ms)  |  script='và'
169: whisper='thậm' (39050-39470ms)  |  script='thậm'
170: whisper='chí' (39470-39750ms)  |  script='chí'
171: whisper='có' (39750-40240ms)  |  script='có'
172: whisper='cả.' (40240-40460ms)  |  script='cả'
173: whisper='Người' (40460-40830ms)  |  script='người'
174: whisper='hầu' (40830-41060ms)  |  script='hầu'
175: whisper='riêng,' (41060-41500ms)  |  script='riêng'
176: whisper='sử' (41500-41630ms)  |  script='Sử'
177: whisper='da' (41630-41750ms)  |  script='gia'
178: whisper='vẫn' (41750-41940ms)  |  script='vẫn'
179: whisper='tranh' (41940-42160ms)  |  script='tranh'
180: whisper='cãi' (42160-42330ms)  |  script='cãi'
181: whisper='liệu' (42330-42680ms)  |  script='liệu'
182: whisper='đây' (42680-42820ms)  |  script='đây'
183: whisper='là' (42820-42950ms)  |  script='là'
184: whisper='sự' (42950-43130ms)  |  script='sự'
185: whisper='thật,' (43130-43500ms)  |  script='thật'
186: whisper='hay' (43500-43650ms)  |  script='hay'
187: whisper='chỉ' (43650-43850ms)  |  script='chỉ'
188: whisper='là' (43850-43980ms)  |  script='là'
189: whisper='cách' (43980-44210ms)  |  script='cách'
190: whisper='Caligula' (44210-44550ms)  |  script='Caligula'
191: whisper='chăm' (44550-44790ms)  |  script='châm'
192: whisper='biếm' (44790-45030ms)  |  script='biếm'
193: whisper='chính' (45030-45300ms)  |  script='chính'
194: whisper='dưới' (45300-45620ms)  |  script='giới'
195: whisper='quý' (45620-45790ms)  |  script='quý'
196: whisper='tộc' (45790-46000ms)  |  script='tộc'
197: whisper='lá' (46000-46180ms)  |  script='La'
198: whisper='mãa.' (46180-46420ms)  |  script='Mã'
199: whisper='Nhưng' (46420-46720ms)  |  script='nhưng'
200: whisper='dù' (46720-46910ms)  |  script='dù'
201: whisper='thế' (46910-47130ms)  |  script='thế'
202: whisper='nào,' (47130-47580ms)  |  script='nào'
203: whisper='câu' (47580-47650ms)  |  script='câu'
204: whisper='chuyện' (47650-47960ms)  |  script='chuyện'
205: whisper='cũng' (47960-48120ms)  |  script='cũng'
206: whisper='đủ' (48120-48310ms)  |  script='đủ'
207: whisper='hoang' (48310-48500ms)  |  script='hoang'
208: whisper='đường' (48500-48850ms)  |  script='đường'
209: whisper='để' (48850-49050ms)  |  script='để'
210: whisper='đi' (49050-49160ms)  |  script='đi'
211: whisper='vào' (49160-49330ms)  |  script='vào'
212: whisper='lịch' (49330-49600ms)  |  script='lịch'
213: whisper='sử.' (49600-49860ms)  |  script='sử'
214: whisper='Caligula' (49980-50200ms)  |  script='Caligula'
215: whisper='còn' (50200-50370ms)  |  script='còn'
216: whisper='tự' (50370-50560ms)  |  script='tự'
217: whisper='sưng' (50560-50770ms)  |  script='xưng'
218: whisper='mình' (50770-50970ms)  |  script='mình'
219: whisper='là' (50970-51100ms)  |  script='là'
220: whisper='thân' (51100-51320ms)  |  script='thần'
221: whisper='sống' (51320-51580ms)  |  script='sống'
222: whisper='và' (51580-51800ms)  |  script='và'
223: whisper='giá' (51800-51920ms)  |  script='ra'
224: whisper='lệnh' (51920-52130ms)  |  script='lệnh'
225: whisper='xây' (52130-52330ms)  |  script='xây'
226: whisper='tượng' (52330-52650ms)  |  script='tượng'
227: whisper='của' (52650-52900ms)  |  script='của'
228: whisper='chính' (52900-53130ms)  |  script='chính'
229: whisper='mình' (53130-53500ms)  |  script='mình'
230: whisper='đặt' (53500-53700ms)  |  script='đặt'
231: whisper='cạnh' (53700-53910ms)  |  script='cạnh'
232: whisper='tượng' (53910-54180ms)  |  script='tượng'
233: whisper='các' (54180-54320ms)  |  script='các'
234: whisper='vị' (54320-54460ms)  |  script='vị'
235: whisper='thân' (54460-54630ms)  |  script='thần'
236: whisper='lá' (54630-54730ms)  |  script='La'
237: whisper='mãa' (54730-54940ms)  |  script='Mã'
238: whisper='để' (54940-55030ms)  |  script='để'
239: whisper='dân' (55030-55160ms)  |  script='dân'
240: whisper='chúng' (55160-55390ms)  |  script='chúng'
241: whisper='thở' (55390-55580ms)  |  script='thờ'
242: whisper='cũng.' (55580-55920ms)  |  script='cúng'
243: whisper='Ông' (55920-56080ms)  |  script='Ông'
244: whisper='thậm' (56080-56320ms)  |  script='thậm'
245: whisper='chí' (56320-56480ms)  |  script='chí'
246: whisper='từng' (56480-56720ms)  |  script='từng'
247: whisper='giá' (56720-56880ms)  |  script='ra'
248: whisper='lệnh' (56880-57120ms)  |  script='lệnh'
249: whisper='chặt' (57120-57360ms)  |  script='chặt'
250: whisper='đầu' (57360-57610ms)  |  script='đầu'
251: whisper='tượng' (57610-57920ms)  |  script='tượng'
252: whisper='thân' (57920-58240ms)  |  script='thần'
253: whisper='Zeus' (58240-58280ms)  |  script='Zeus'
254: whisper='tại' (58280-58480ms)  |  script='tại'
255: whisper='Hilap' (58480-58800ms)  |  script='Hy'
256: whisper='và' (58800-58880ms)  |  script='Lạp'
257: whisper='thay' (58880-58960ms)  |  script='và'
258: whisper='bằng' (58960-59200ms)  |  script='thay'
259: whisper='đầu' (59200-59490ms)  |  script='bằng'
260: whisper='của' (59490-59640ms)  |  script='đầu'
261: whisper='chính' (59640-59880ms)  |  script='của'
262: whisper='mình.' (59880-60260ms)  |  script='chính'
263: whisper='Một' (60260-60440ms)  |  script='mình'
264: whisper='hành' (60440-60620ms)  |  script='một'
265: whisper='động' (60620-60950ms)  |  script='hành'
266: whisper='khiến' (60950-61150ms)  |  script='động'
267: whisper='cả' (61150-61300ms)  |  script='khiến'
268: whisper='dưới' (61300-61550ms)  |  script='cả'
269: whisper='tư' (61550-61650ms)  |  script='giới'
270: whisper='tế' (61650-61810ms)  |  script='tư'
271: whisper='lẫn' (61810-61970ms)  |  script='tế'
272: whisper='dân' (61970-62110ms)  |  script='lẫn'
273: whisper='chúng' (62110-62340ms)  |  script='dân'
274: whisper='đều' (62340-62560ms)  |  script='chúng'
275: whisper='tróng' (62560-62770ms)  |  script='đều'
276: whisper='vãng.' (62770-63260ms)  |  script='choáng'
277: whisper='Một' (63260-63480ms)  |  script='váng'
278: whisper='câu' (63480-63680ms)  |  script='Một'
279: whisper='chuyện' (63680-64110ms)  |  script='câu'
280: whisper='khác' (64110-64260ms)  |  script='chuyện'
281: whisper='kể' (64260-64410ms)  |  script='khác'
282: whisper='dàng' (64410-64630ms)  |  script='kể'
283: whisper='Caligula' (64630-64980ms)  |  script='rằng'
284: whisper='từng' (64980-65250ms)  |  script='Caligula'
285: whisper='tuyên' (65250-65510ms)  |  script='từng'
286: whisper='chiến' (65510-65820ms)  |  script='tuyên'
287: whisper='với.' (65820-66300ms)  |  script='chiến'
288: whisper='Biển' (66300-66650ms)  |  script='với'
289: whisper='cả,' (66650-67100ms)  |  script='biển'
290: whisper='ông' (67100-67140ms)  |  script='cả'
291: whisper='dẫn' (67140-67370ms)  |  script='Ông'
292: whisper='quân' (67370-67600ms)  |  script='dẫn'
293: whisper='đến' (67600-67900ms)  |  script='quân'
294: whisper='bờ' (67900-68100ms)  |  script='đến'
295: whisper='biển' (68100-68400ms)  |  script='bờ'
296: whisper='eo' (68400-68500ms)  |  script='biển'
297: whisper='biển' (68500-68800ms)  |  script='Eo'
298: whisper='Manche,' (68800-69140ms)  |  script='biển'
299: whisper='giá' (69140-69300ms)  |  script='Manche'
300: whisper='lệnh' (69300-69550ms)  |  script='ra'
301: whisper='biên' (69550-69760ms)  |  script='lệnh'
302: whisper='linh' (69760-69930ms)  |  script='binh'
303: whisper='dơ' (69930-70050ms)  |  script='lính'
304: whisper='giáo' (70050-70260ms)  |  script='giơ'
305: whisper='tấn' (70260-70510ms)  |  script='giáo'
306: whisper='công' (70510-70680ms)  |  script='tấn'
307: whisper='những' (70680-70980ms)  |  script='công'
308: whisper='con' (70980-71110ms)  |  script='những'
309: whisper='sống,' (71110-71460ms)  |  script='con'
310: whisper='rồi' (71460-71680ms)  |  script='sóng'
311: whisper='bắt' (71680-71890ms)  |  script='rồi'
312: whisper='họ' (71890-72100ms)  |  script='bắt'
313: whisper='nhặt' (72100-72330ms)  |  script='họ'
314: whisper='vỏ' (72330-72520ms)  |  script='nhặt'
315: whisper='xò' (72520-72600ms)  |  script='vỏ'
316: whisper='mang' (72600-72770ms)  |  script='sò'
317: whisper='về' (72770-72940ms)  |  script='mang'
318: whisper='như' (72940-73110ms)  |  script='về'
319: whisper='chiến' (73110-73410ms)  |  script='như'
320: whisper='lợi' (73410-73670ms)  |  script='chiến'
321: whisper='phẩm.' (73670-74140ms)  |  script='lợi'
322: whisper='Cói' (74180-74310ms)  |  script='phẩm'
323: whisper='đó' (74310-74490ms)  |  script='coi'
324: whisper='là' (74490-74630ms)  |  script='đó'
325: whisper='chiến' (74630-74950ms)  |  script='là'
326: whisper='thắng' (74950-75270ms)  |  script='chiến'
327: whisper='vẻ' (75270-75450ms)  |  script='thắng'
328: whisper='vàng' (75450-75680ms)  |  script='vẻ'
329: whisper='trước' (75680-76050ms)  |  script='vang'
330: whisper='thân' (76050-76290ms)  |  script='trước'
331: whisper='biển' (76290-76870ms)  |  script='thần'
332: whisper='Neptune,' (76870-76990ms)  |  script='biển'
333: whisper='cuối' (76990-77230ms)  |  script='Neptune'
334: whisper='cùng' (77230-77600ms)  |  script='Cuối'
335: whisper='sau' (77600-77680ms)  |  script='cùng'
336: whisper='chưa' (77680-77850ms)  |  script='sau'
337: whisper='đầy' (77850-78100ms)  |  script='chưa'
338: whisper='4' (78100-78240ms)  |  script='đầy'
339: whisper='năm' (78240-78420ms)  |  script='4'
340: whisper='chị' (78420-78830ms)  |  script='năm'
341: whisper='vì' (78830-78890ms)  |  script='trị'
342: whisper='đầy' (78890-79100ms)  |  script='vì'
343: whisper='giấy' (79100-79310ms)  |  script='đầy'
344: whisper='những' (79310-79570ms)  |  script='rẫy'
345: whisper='quyết' (79570-79820ms)  |  script='những'
346: whisper='định' (79820-80060ms)  |  script='quyết'
347: whisper='kỳ' (80060-80380ms)  |  script='định'
348: whisper='lá,' (80380-80420ms)  |  script='kỳ'
349: whisper='Caligula' (80420-80790ms)  |  script='lạ'
350: whisper='bị' (80790-80950ms)  |  script='Caligula'
351: whisper='chính' (80950-81280ms)  |  script='bị'
352: whisper='đội' (81280-81480ms)  |  script='chính'
353: whisper='cạnh' (81480-81740ms)  |  script='đội'
354: whisper='vệ' (81740-82020ms)  |  script='cận'
355: whisper='của' (82020-82130ms)  |  script='vệ'
356: whisper='mình' (82130-82420ms)  |  script='của'
357: whisper='ám' (82420-82480ms)  |  script='mình'
358: whisper='sát' (82480-82650ms)  |  script='ám'
359: whisper='ngay' (82650-82830ms)  |  script='sát'
360: whisper='trong' (82830-83050ms)  |  script='ngay'
361: whisper='cung' (83050-83220ms)  |  script='trong'
362: whisper='điện,' (83220-83840ms)  |  script='cung'
363: whisper='khép' (83840-84050ms)  |  script='điện'
364: whisper='lại' (84050-84290ms)  |  script='khép'
365: whisper='chiều' (84290-84560ms)  |  script='lại'
366: whisper='đại' (84560-84810ms)  |  script='triều'
367: whisper='của' (84810-85100ms)  |  script='đại'
368: whisper='một' (85100-85230ms)  |  script='của'
369: whisper='trong' (85230-85440ms)  |  script='một'
370: whisper='những' (85440-85740ms)  |  script='trong'
371: whisper='hoàng' (85740-85990ms)  |  script='những'
372: whisper='đế' (85990-86200ms)  |  script='hoàng'
373: whisper='gây' (86200-86540ms)  |  script='đế'
374: whisper='tranh' (86540-86620ms)  |  script='gây'
375: whisper='cãi' (86620-86740ms)  |  script='tranh'
376: whisper='và' (86740-86870ms)  |  script='cãi'
377: whisper='khó' (86870-87030ms)  |  script='và'
378: whisper='đoán' (87030-87350ms)  |  script='khó'
379: whisper='nhất' (87350-87540ms)  |  script='đoán'
380: whisper='lịch' (87540-87790ms)  |  script='nhất'
381: whisper='sử' (87790-87960ms)  |  script='lịch'
382: whisper='lá' (87960-88130ms)  |  script='sử'
383: whisper='mãa.' (88130-88540ms)  |  script='La'
384: whisper='---' (0-0ms)  |  script='Mã'
