  0: whisper='Nicola' (40-300ms)  |  script='Nikola'
213: whisper='đời' (48580-48820ms)  |  script='đời'
214: whisper='mình.' (48820-49280ms)  |  script='mình'
215: whisper='Và' (49280-49440ms)  |  script='và'
216: whisper='khi' (49440-49560ms)  |  script='khi'
217: whisper='nó' (49560-49700ms)  |  script='nó'
218: whisper='chết,' (49700-50320ms)  |  script='chết'
219: whisper='Tesla' (50320-50370ms)  |  script='Tesla'
220: whisper='nói' (50370-50560ms)  |  script='nói'
221: whisper='rằng' (50560-50800ms)  |  script='rằng'
222: whisper='ông' (50800-50990ms)  |  script='ông'
223: whisper='cảm' (50990-51400ms)  |  script='cảm'
224: whisper='thấy' (51400-51520ms)  |  script='thấy'
225: whisper='như' (51520-51760ms)  |  script='như'
226: whisper='vừa' (51760-51950ms)  |  script='vừa'
227: whisper='mất' (51950-52190ms)  |  script='mất'
228: whisper='đi' (52190-52390ms)  |  script='đi'
229: whisper='một' (52390-52570ms)  |  script='một'
230: whisper='phần' (52570-52860ms)  |  script='phần'
231: whisper='bản' (52860-53100ms)  |  script='bản'
232: whisper='thân.' (53100-53520ms)  |  script='thân'
233: whisper='Về' (53560-53690ms)  |  script='Về'
234: whisper='sự' (53690-53870ms)  |  script='sự'
235: whisper='nghiệp,' (53870-54420ms)  |  script='nghiệp'
236: whisper='Tesla' (54420-54540ms)  |  script='Tesla'
237: whisper='có' (54540-54670ms)  |  script='có'
238: whisper='cuộc' (54670-54940ms)  |  script='cuộc'
239: whisper='chiến' (54940-55250ms)  |  script='chiến'
240: whisper='huyền' (55250-55650ms)  |  script='huyền'
241: whisper='thoại' (55650-55870ms)  |  script='thoại'
242: whisper='với' (55870-56150ms)  |  script='với'
243: whisper='Thomas' (56150-56360ms)  |  script='Thomas'
244: whisper='Edison,' (56360-56730ms)  |  script='Edison'
245: whisper='gọi' (56730-56960ms)  |  script='gọi'
246: whisper='là' (56960-57080ms)  |  script='là'
247: whisper='cuộc' (57080-57400ms)  |  script='Cuộc'
248: whisper='chiến' (57400-57660ms)  |  script='chiến'
249: whisper='ròng' (57660-58010ms)  |  script='dòng'
250: whisper='điện.' (58010-58520ms)  |  script='điện'
251: whisper='Edison' (58520-58810ms)  |  script='Edison'
252: whisper='ủng' (58810-59040ms)  |  script='ủng'
253: whisper='hộ' (59040-59230ms)  |  script='hộ'
254: whisper='ròng' (59230-59480ms)  |  script='dòng'
255: whisper='điện' (59480-59800ms)  |  script='điện'
256: whisper='một' (59800-60040ms)  |  script='một'
257: whisper='chiều,' (60040-60670ms)  |  script='chiều'
258: whisper='Tesla' (60670-60700ms)  |  script='Tesla'
259: whisper='ủng' (60700-60930ms)  |  script='ủng'
260: whisper='hộ' (60930-61120ms)  |  script='hộ'
261: whisper='ròng' (61120-61360ms)  |  script='dòng'
262: whisper='điện' (61360-61690ms)  |  script='điện'
263: whisper='suái' (61690-61920ms)  |  script='xoay'
264: whisper='chiều,' (61920-62600ms)  |  script='chiều'
265: whisper='và' (62600-62620ms)  |  script='và'
266: whisper='để' (62620-62800ms)  |  script='để'
267: whisper='chứng' (62800-63050ms)  |  script='chứng'
268: whisper='minh' (63050-63190ms)  |  script='minh'
269: whisper='ròng' (63190-63370ms)  |  script='dòng'
270: whisper='điện' (63370-63630ms)  |  script='điện'
271: whisper='suái' (63630-63810ms)  |  script='xoay'
272: whisper='chiều' (63810-64070ms)  |  script='chiều'
273: whisper='nguy' (64070-64200ms)  |  script='nguy'
274: whisper='hiểm.' (64200-64520ms)  |  script='hiểm'
275: whisper='Edison' (64520-64810ms)  |  script='Edison'
276: whisper='công' (64810-65050ms)  |  script='công'
277: whisper='khai,' (65050-65330ms)  |  script='khai'
278: whisper='giật' (65330-65740ms)  |  script='giật'
279: whisper='điện' (65740-65930ms)  |  script='điện'
280: whisper='chết' (65930-66210ms)  |  script='chết'
281: whisper='vòi' (66210-66420ms)  |  script='voi'
282: whisper='trước' (66420-66820ms)  |  script='trước'
283: whisper='công' (66820-67000ms)  |  script='công'
284: whisper='chúng.' (67000-67520ms)  |  script='chúng'
285: whisper='Tesla' (67520-67780ms)  |  script='Tesla'
286: whisper='thì' (67780-67950ms)  |  script='thì'
287: whisper='đáp' (67950-68120ms)  |  script='đáp'
288: whisper='chả' (68120-68330ms)  |  script='trả'
289: whisper='bằng' (68330-68590ms)  |  script='bằng'
290: whisper='cách' (68590-68810ms)  |  script='cách'
291: whisper='tự' (68810-69040ms)  |  script='tự'
292: whisper='cho' (69040-69110ms)  |  script='cho'
293: whisper='ròng' (69110-69320ms)  |  script='dòng'
294: whisper='điện' (69320-69660ms)  |  script='điện'
295: whisper='suái' (69660-69830ms)  |  script='xoay'
296: whisper='chiều,' (69830-70290ms)  |  script='chiều'
297: whisper='chạy' (70290-70490ms)  |  script='chạy'
298: whisper='qua' (70490-70590ms)  |  script='qua'
299: whisper='chính' (70590-70850ms)  |  script='chính'
300: whisper='cơ' (70850-70970ms)  |  script='cơ'
301: whisper='thể' (70970-71190ms)  |  script='thể'
302: whisper='mình' (71190-71410ms)  |  script='mình'
303: whisper='trên' (71410-71630ms)  |  script='trên'
304: whisper='sân' (71630-71800ms)  |  script='sân'
305: whisper='khấu' (71800-72220ms)  |  script='khấu'
306: whisper='để' (72220-72270ms)  |  script='để'
307: whisper='chứng' (72270-72570ms)  |  script='chứng'
308: whisper='minh' (72570-72740ms)  |  script='minh'
309: whisper='nó' (72740-72870ms)  |  script='nó'
310: whisper='ăn' (72870-73020ms)  |  script='an'
311: whisper='toàn.' (73020-73520ms)  |  script='toàn'
312: whisper='Cuối' (73520-73790ms)  |  script='Cuối'
313: whisper='đời,' (73790-74360ms)  |  script='đời'
314: whisper='Tesla' (74360-74370ms)  |  script='Tesla'
315: whisper='sống' (74370-74630ms)  |  script='sống'
316: whisper='gần' (74630-74850ms)  |  script='gần'
317: whisper='như' (74850-75030ms)  |  script='như'
318: whisper='Ấn' (75030-75200ms)  |  script='ẩn'
319: whisper='giật' (75200-75470ms)  |  script='dật'
320: whisper='trong' (75470-75740ms)  |  script='trong'
321: whisper='một' (75740-75910ms)  |  script='một'
322: whisper='phòng' (75910-76230ms)  |  script='phòng'
323: whisper='khách' (76230-76450ms)  |  script='khách'
324: whisper='sạn,' (76450-76800ms)  |  script='sạn'
325: whisper='nợ' (76800-76930ms)  |  script='nợ'
326: whisper='nền' (76930-77150ms)  |  script='nần'
327: whisper='trong' (77150-77370ms)  |  script='chồng'
328: whisper='chất.' (77370-77920ms)  |  script='chất'
329: whisper='Tinh' (77920-78190ms)  |  script='tin'
330: whisper='rằng' (78190-78360ms)  |  script='rằng'
331: whisper='mình' (78360-78580ms)  |  script='mình'
332: whisper='đã' (78580-78760ms)  |  script='đã'
333: whisper='phát' (78760-79030ms)  |  script='phát'
334: whisper='minh' (79030-79150ms)  |  script='minh'
335: whisper='ra' (79150-79240ms)  |  script='ra'
336: whisper='tiên' (79240-79520ms)  |  script='tia'
337: whisper='laser' (79520-79680ms)  |  script='laser'
338: whisper='huy' (79680-79810ms)  |  script='huỷ'
339: whisper='diệt' (79810-80080ms)  |  script='diệt'
340: whisper='và' (80080-80200ms)  |  script='và'
341: whisper='máy' (80200-80470ms)  |  script='máy'
342: whisper='liên' (80470-80600ms)  |  script='liên'
343: whisper='lạc' (80600-80810ms)  |  script='lạc'
344: whisper='với' (80810-81030ms)  |  script='với'
345: whisper='người' (81030-81390ms)  |  script='người'
346: whisper='ngoại' (81390-81700ms)  |  script='ngoài'
347: whisper='hành' (81700-81920ms)  |  script='hành'
348: whisper='tình,' (81920-82590ms)  |  script='tinh'
349: whisper='ông' (82590-82640ms)  |  script='Ông'
350: whisper='qua' (82640-82720ms)  |  script='qua'
351: whisper='đời' (82720-82970ms)  |  script='đời'
352: whisper='trong' (82970-83190ms)  |  script='trong'
353: whisper='nghèo' (83190-83440ms)  |  script='nghèo'
354: whisper='khó,' (83440-83760ms)  |  script='khó'
355: whisper='một' (83760-84120ms)  |  script='một'
356: whisper='mình,' (84120-84580ms)  |  script='mình'
357: whisper='dù' (84580-84710ms)  |  script='dù'
358: whisper='những' (84710-84910ms)  |  script='những'
359: whisper='phát' (84910-85100ms)  |  script='phát'
360: whisper='minh' (85100-85230ms)  |  script='minh'
361: whisper='của' (85230-85430ms)  |  script='của'
362: whisper='ông' (85430-85570ms)  |  script='ông'
363: whisper='đang' (85570-85760ms)  |  script='đang'
364: whisper='thắp' (85760-86000ms)  |  script='thắp'
365: whisper='sáng' (86000-86150ms)  |  script='sáng'
366: whisper='cả' (86150-86330ms)  |  script='cả'
367: whisper='thế' (86330-86490ms)  |  script='thế'
368: whisper='giới' (86490-86710ms)  |  script='giới'
369: whisper='ngoại' (86710-86980ms)  |  script='ngoài'
370: whisper='kia.' (86980-87320ms)  |  script='kia'
371: whisper='Người' (87320-87730ms)  |  script='Người'
372: whisper='đàn' (87730-87980ms)  |  script='đàn'
373: whisper='ông' (87980-88190ms)  |  script='ông'
374: whisper='sợ' (88190-88390ms)  |  script='sợ'
375: whisper='vi' (88390-88490ms)  |  script='vi'
376: whisper='khuẩn' (88490-88840ms)  |  script='khuẩn'
377: whisper='yêu' (88840-89120ms)  |  script='yêu'
378: whisper='một' (89120-89310ms)  |  script='một'
379: whisper='con' (89310-89460ms)  |  script='con'
380: whisper='chim' (89460-89820ms)  |  script='chim'
381: whisper='và' (89820-89840ms)  |  script='và'
382: whisper='suy' (89840-89970ms)  |  script='suýt'
383: whisper='thay' (89970-90210ms)  |  script='thay'
384: whisper='đổi' (90210-90480ms)  |  script='đổi'
385: whisper='cả' (90480-90690ms)  |  script='cả'
386: whisper='thế' (90690-90950ms)  |  script='thế'
387: whisper='giới' (90950-91410ms)  |  script='giới'
388: whisper='điện,' (91410-91720ms)  |  script='điện'
389: whisper='đó' (91720-91930ms)  |  script='đó'
390: whisper='chính' (91930-92290ms)  |  script='chính'
391: whisper='là' (92290-92390ms)  |  script='là'
392: whisper='Nicolas' (92390-92760ms)  |  script='Nikola'
393: whisper='Tesla.' (92760-93320ms)  |  script='Tesla'
