Total tokens: 463
[  0]   0.04s -   0.16s: ─Éi
[  1]   0.16s -   0.41s: l├¬n
[  2]   0.41s -   0.80s: field
[  3]   0.80s -   0.83s: l├á
[  4]   0.83s -   1.05s: nh├á
[  5]   1.05s -   1.31s: sß║╡n
[  6]   1.31s -   1.59s: lß║¡p
[  7]   1.59s -   1.80s: v├¡t
[  8]   1.80s -   2.19s: ma,
[  9]   2.19s -   2.27s: c├┤ng
[ 10]   2.27s -   2.42s: cß╗Ñ
[191]  44.96s -  45.24s: ß║Ñy
[192]  45.24s -  45.38s: ho├án
[193]  45.38s -  45.61s: to├án
[194]  45.61s -  45.94s: thuß╗Öc
[195]  45.94s -  46.13s: vß╗ü
[196]  46.13s -  46.32s: c├íc
[197]  46.32s -  46.51s: ├┤ng
[198]  46.51s -  46.74s: lß╗¢n
[199]  46.74s -  46.93s: nh╞░
[200]  46.93s -  47.52s: Adobe,
[201]  47.52s -  47.72s: chß║íy
[202]  47.72s -  47.96s: nß║╖ng
[203]  47.96s -  48.11s: nß╗ü
[204]  48.11s -  48.33s: tr├¬n
[205]  48.33s -  48.49s: m├íy
[206]  48.49s -  48.69s: t─⌐nh
[207]  48.69s -  48.77s: ca
[208]  48.77s -  49.23s: nh├ón
[209]  49.23s -  49.29s: v├á
[210]  49.29s -  49.56s: kh├┤ng
[211]  49.56s -  49.63s: ai
[212]  49.63s -  49.78s: tin
[213]  49.78s -  50.08s: ch├¡nh
[214]  50.08s -  50.28s: duet
[215]  50.28s -  50.53s: ─æß╗º
[216]  50.53s -  50.83s: mß║ính
[217]  50.83s -  51.08s: ─æß╗â
[218]  51.08s -  51.28s: thay
[219]  51.28s -  51.64s: thß║┐.
[220]  51.76s -  51.78s: Hai
[221]  51.78s -  52.10s: ng╞░ß╗¥i
[222]  52.10s -  52.31s: mß║Ñt
[223]  52.31s -  52.63s: khoß║úng
[224]  52.63s -  52.75s: 4
[225]  52.75s -  52.91s: n─âm
[226]  52.91s -  53.19s: chß╗ë
[227]  53.19s -  53.34s: ─æß╗â
[228]  53.34s -  53.49s: x├óy
[229]  53.49s -  53.67s: n├¬n
[230]  53.67s -  54.20s: mß╗Ång.
[231]  54.20s -  54.24s: Evan
[232]  54.24s -  54.42s: vß║┐t
[233]  54.42s -  54.56s: bß╗Ö
[234]  54.56s -  54.75s: m├íy
[235]  54.75s -  54.92s: ─æß╗ô
[236]  54.92s -  55.13s: hß╗ìa
[237]  55.13s -  55.38s: bß║▒ng
[238]  55.38s -  55.54s: x├óy
[239]  55.54s -  55.78s: cß╗Öng
[240]  55.78s -  55.97s: cß║¡u
[241]  55.97s -  56.26s: dß╗æi
[242]  56.26s -  56.38s: bi├¬n
[243]  56.38s -  56.63s: dß╗ïch
[244]  56.63s -  56.84s: ─æß╗â
[245]  56.84s -  57.15s: chß║íy
[246]  57.15s -  57.44s: ─æ╞░ß╗úc
[247]  57.44s -  57.63s: tr├¬n
[248]  57.63s -  57.87s: tr├¼nh
[249]  57.87s -  58.44s: duet.
[250]  58.44s -  58.70s: Tß║¡n
[251]  58.70s -  59.00s: dß╗Ñng
[252]  59.00s -  59.16s: web
[253]  59.16s -  59.36s: gß╗¥
[254]  59.36s -  59.56s: lß╗¥
[255]  59.56s -  59.82s: ─æß╗â
[256]  59.82s -  60.02s: vß║╜
[257]  60.02s -  60.31s: nhanh
[258]  60.31s -  60.48s: nh╞░
[259]  60.48s -  60.79s: phß║ºn
[260]  60.79s -  61.04s: mß╗üm
[261]  61.04s -  61.50s: cß║úi
[262]  61.50s -  61.56s: tr├¬n
[263]  61.56s -  61.77s: m├íy
[264]  61.77s -  62.08s: ─æß║┐n
[265]  62.08s -  62.29s: n─âm
[266]  62.29s -  63.23s: 2016,
[267]  63.23s -  63.43s: Figma
[268]  63.43s -  63.68s: mß╗¢i
[269]  63.68s -  63.78s: ra
[270]  63.78s -  64.08s: mß║»t
[271]  64.08s -  64.29s: bß║ún
[272]  64.29s -  64.68s: ch├¡nh
[273]  64.68s -  65.06s: thß╗⌐c
[274]  65.06s -  65.09s: v├á
[275]  65.09s -  65.44s: ─æiß╗âm
[276]  65.44s -  65.62s: kh├íc
[277]  65.62s -  65.95s: biß╗çt
[278]  65.95s -  66.09s: nß║▒m
[279]  66.09s -  66.20s: ß╗ƒ
[280]  66.20s -  66.37s: chß╗ù
[281]  66.37s -  66.62s: nhiß╗üu
[282]  66.62s -  66.93s: ng╞░ß╗¥i
[283]  66.93s -  67.05s: c├│
[284]  67.05s -  67.25s: thß╗â
[285]  67.25s -  67.41s: c├╣ng
[286]  67.41s -  67.59s: ch├¼nh
[287]  67.59s -  67.76s: sß╗¡a
[288]  67.76s -  67.94s: mß╗Öt
[289]  67.94s -  68.13s: bß║ún
[290]  68.13s -  68.36s: thiß║┐t
[291]  68.36s -  68.50s: kß║┐
[292]  68.50s -  68.68s: c├╣ng
[293]  68.68s -  69.20s: l├║c,
[294]  69.20s -  69.49s: giß╗æng
[295]  69.49s -  69.73s: nh╞░
[296]  69.73s -  70.16s: Google
[297]  70.16s -  70.26s: Doc
[298]  70.26s -  70.56s: d├ánh
[299]  70.56s -  70.73s: cho
[300]  70.73s -  71.40s: designer.
[301]  71.40s -  71.60s: Cß║ú
[302]  71.60s -  71.90s: ─æß╗Öi
[303]  71.90s -  72.20s: kh├┤ng
[304]  72.20s -  72.40s: c├▓n
[305]  72.40s -  72.71s: phß║úi
[306]  72.71s -  73.11s: ng╞░ß╗¥i
[307]  73.11s -  73.46s: phai
[308]  73.46s -  73.69s: qua
[309]  73.69s -  73.71s: lß║íi
[310]  73.71s -  74.06s: nß╗»a,
[311]  74.06s -  74.34s: Figma
[312]  74.34s -  74.56s: lß╗¢n
[313]  74.56s -  74.80s: rß║Ñt
[314]  74.80s -  75.32s: nhanh.
[315]  75.37s -  75.52s: N─âm
[316]  75.52s -  76.22s: 2022,
[317]  76.22s -  76.47s: Adobe
[318]  76.47s -  76.77s: c├┤ng
[319]  76.77s -  77.02s: bß╗æ
[320]  77.02s -  77.32s: th╞░╞íng
[321]  77.32s -  77.52s: vß╗Ñ
[322]  77.52s -  77.67s: m├┤
[323]  77.67s -  77.82s: lai
[324]  77.82s -  78.10s: vß╗¢i
[325]  78.10s -  78.27s: gi├í
[326]  78.27s -  78.68s: khoß║úng
[327]  78.68s -  78.97s: 20
[328]  78.97s -  79.17s: tß╗╖
[329]  79.17s -  79.37s: ─æ├┤
[330]  79.37s -  79.57s: la,
[331]  79.57s -  80.07s: nh╞░ng
[332]  80.07s -  80.12s: c├íc
[333]  80.12s -  80.22s: c╞í
[334]  80.22s -  80.42s: quan
[335]  80.42s -  80.72s: quß║ún
[336]  80.72s -  80.87s: l├╜
[337]  80.87s -  81.02s: ß╗ƒ
[338]  81.02s -  81.22s: anh
[339]  81.22s -  81.34s: v├á
[340]  81.34s -  81.57s: ch├óu
[341]  81.57s -  81.72s: ├éu
[342]  81.72s -  81.82s: lo
[343]  81.82s -  82.12s: ngß║íi
[344]  82.12s -  82.32s: vß╗ü
[345]  82.32s -  82.62s: viß╗çc
[346]  82.62s -  82.92s: ─æß╗Öc
[347]  82.92s -  83.48s: quyß╗ün
[348]  83.48s -  83.52s: v├á
[349]  83.52s -  83.92s: cuß╗æi
[350]  83.92s -  84.25s: n─âm
[351]  84.25s -  85.26s: 2023,
[352]  85.26s -  85.59s: th╞░╞íng
[353]  85.59s -  85.76s: vß╗Ñ
[354]  85.76s -  86.01s: bß╗ï
[355]  86.01s -  86.40s: hß╗ºy.
[356]  86.40s -  86.63s: Adobe
[357]  86.63s -  86.90s: phß║úi
[358]  86.90s -  87.12s: trß║ú
[359]  87.12s -  87.43s: khoß║ún
[360]  87.43s -  87.61s: ph├¡
[361]  87.61s -  87.87s: chß║Ñm
[362]  87.87s -  88.27s: giß║┐t
[363]  88.27s -  88.50s: khoß║úng
[364]  88.50s -  88.63s: 1
[365]  88.63s -  88.80s: tß╗╖
[366]  88.80s -  88.98s: ─æ├┤
[367]  88.98s -  89.25s: la,
[368]  89.25s -  89.46s: chß╗⌐
[369]  89.46s -  89.60s: ch├óu
[370]  89.60s -  89.86s: tai,
[371]  89.86s -  90.08s: ch├¡nh
[372]  90.08s -  90.45s: th╞░╞íng
[373]  90.45s -  90.62s: vß╗Ñ
[374]  90.62s -  90.90s: th├ích
[375]  90.90s -  91.11s: bß║íi
[376]  91.11s -  91.29s: ß║Ñy
[377]  91.29s -  91.61s: lß║íi
[378]  91.61s -  91.85s: chß╗⌐ng
[379]  91.85s -  92.01s: minh
[380]  92.01s -  92.19s: gi├í
[381]  92.19s -  92.41s: trß╗ï
[382]  92.41s -  92.64s: cß╗ºa
[383]  92.64s -  92.86s: Figma
[384]  92.86s -  93.08s: lß╗¢n
[385]  93.08s -  93.35s: ─æß║┐n
[386]  93.35s -  93.57s: mß╗⌐c
[387]  93.57s -  94.16s: n├áo.
[388]  94.26s -  94.47s: Th├íng
[389]  94.47s -  94.63s: 7
[390]  94.63s -  94.84s: n─âm
[391]  94.84s -  95.59s: 2025,
[392]  95.59s -  96.06s: Figma
[393]  96.06s -  96.07s: l├¬n
[394]  96.07s -  96.32s: sß║ún
[395]  96.32s -  96.69s: chß╗⌐ng
[396]  96.69s -  97.05s: qu├ín,
[397]  97.05s -  97.60s: Ng├áy
[398]  97.60s -  97.63s: ─æß║ºu
[399]  97.63s -  97.99s: ti├¬n,
[400]  97.99s -  98.36s: cß╗ò
[401]  98.36s -  98.57s: phiß║┐u
[402]  98.57s -  98.83s: t─âng
[403]  98.83s -  99.04s: h╞ín
[404]  99.04s -  99.68s: 250%,
[405]  99.68s -  99.95s: mß╗Öt
[406]  99.95s - 100.49s: trong
[407] 100.49s - 100.60s: nhß╗»ng
[408] 100.60s - 100.81s: vß╗Ñ
[409] 100.81s - 100.97s: IPO
[410] 100.97s - 101.24s: c├┤ng
[411] 101.24s - 101.58s: nghß╗ç
[412] 101.58s - 101.77s: g├óy
[413] 101.77s - 102.03s: chß╗º
[414] 102.03s - 102.13s: ├╜
[415] 102.13s - 102.50s: nhß║Ñt
[416] 102.50s - 103.12s: n─âm,
[417] 103.12s - 103.19s: v├á
[418] 103.19s - 103.47s: biß║┐n
[419] 103.47s - 103.60s: ─Éi
[420] 103.60s - 103.74s: Lan
[421] 103.74s - 104.03s: th├ánh
[422] 104.03s - 104.28s: tß╗╖
[423] 104.28s - 104.38s: ph├║
[424] 104.38s - 104.52s: ß╗ƒ
[425] 104.52s - 104.80s: tuß╗òi
[426] 104.80s - 105.08s: ngo├ái
[427] 105.08s - 105.64s: 30.
[428] 105.64s - 105.94s: Ng╞░ß╗¥i
[429] 105.94s - 106.16s: th├ính
[430] 106.16s - 106.34s: di├¬n
[431] 106.34s - 106.49s: bß╗Å
[432] 106.49s - 106.67s: hß╗ìc
[433] 106.67s - 106.92s: ─æß║íi
[434] 106.92s - 107.08s: hß╗ìc
[435] 107.08s - 107.35s: ─æß╗â
[436] 107.35s - 107.42s: l├ám
[437] 107.42s - 107.61s: mß╗Öt
[438] 107.61s - 107.80s: thß╗⌐
[439] 107.80s - 107.91s: m├á
[440] 107.91s - 107.98s: ai
[441] 107.98s - 108.20s: c┼⌐ng
[442] 108.20s - 108.34s: n├│i
[443] 108.34s - 108.74s: kh├┤ng
[444] 108.74s - 108.96s: thß╗â.
[445] 108.96s - 109.21s: Cuß╗æi
[446] 109.21s - 109.37s: c├╣ng
[447] 109.37s - 109.57s: lß║íi
[448] 109.57s - 109.71s: l├ám
[449] 109.71s - 109.85s: thay
[450] 109.85s - 110.07s: ─æß╗òi
[451] 110.07s - 110.32s: c├ích
[452] 110.32s - 110.41s: cß║ú
[453] 110.41s - 110.64s: ng├ánh
[454] 110.64s - 110.89s: thiß║┐t
[455] 110.89s - 111.03s: kß║┐
[456] 111.03s - 111.18s: l├ám
[457] 111.18s - 111.68s: viß╗çc.
[458] 111.68s - 111.86s: ─É├│
[459] 111.86s - 112.15s: ch├¡nh
[460] 112.15s - 112.29s: l├á
[461] 112.29s - 112.53s: Dylan
[462] 112.53s - 112.96s: Field.
