  0: whisper='Charles' (50-370ms)  |  script='Charles'
 56: whisper='tham' (13080-13270ms)  |  script='tham'
 57: whisper='gia' (13270-13440ms)  |  script='gia'
 58: whisper='một' (13440-13700ms)  |  script='một'
 59: whisper='hội' (13700-13960ms)  |  script='hội'
 60: whisper='kiến,' (13960-14440ms)  |  script='kín'
 61: whisper='tên' (14440-14560ms)  |  script='tên'
 62: whisper='là' (14560-14680ms)  |  script='là'
 63: whisper='hội' (14680-14880ms)  |  script='Hội'
 64: whisper='án' (14880-15010ms)  |  script='Ăn'
 65: whisper='tạp.' (15010-15360ms)  |  script='Tạp'
 66: whisper='Một' (15360-15570ms)  |  script='mục'
 67: whisper='tiêu' (15570-15770ms)  |  script='tiêu'
 68: whisper='duy' (15770-15890ms)  |  script='duy'
 69: whisper='nhất' (15890-16140ms)  |  script='nhất'
 70: whisper='của' (16140-16350ms)  |  script='của'
 71: whisper='hội' (16350-16560ms)  |  script='hội'
 72: whisper='là' (16560-16680ms)  |  script='là'
 73: whisper='niếm' (16680-16920ms)  |  script='nếm'
 74: whisper='thử,' (16920-17200ms)  |  script='thử'
 75: whisper='càng' (17200-17380ms)  |  script='càng'
 76: whisper='nhiều' (17380-17650ms)  |  script='nhiều'
 77: whisper='loại' (17650-17870ms)  |  script='loài'
 78: whisper='động' (17870-18170ms)  |  script='động'
 79: whisper='vật' (18170-18320ms)  |  script='vật'
 80: whisper='kỳ' (18320-18480ms)  |  script='kỳ'
 81: whisper='lạng' (18480-18660ms)  |  script='lạ'
 82: whisper='càng' (18660-18870ms)  |  script='càng'
 83: whisper='tốt.' (18870-19280ms)  |  script='tốt'
 84: whisper='Cú,' (19280-19680ms)  |  script='Cú'
 85: whisper='chim' (19680-20010ms)  |  script='chim'
 86: whisper='ương,' (20010-20840ms)  |  script='ưng'
 87: whisper='thậm' (20840-21080ms)  |  script='thậm'
 88: whisper='chí' (21080-21290ms)  |  script='chí'
 89: whisper='cả,' (21290-21600ms)  |  script='cả'
 90: whisper='một' (21600-21830ms)  |  script='một'
 91: whisper='con' (21830-21970ms)  |  script='con'
 92: whisper='cáo' (21970-22150ms)  |  script='cáo'
 93: whisper='giả' (22150-22380ms)  |  script='già'
 94: whisper='tất' (22380-22720ms)  |  script='tất'
 95: whisper='cả' (22720-22870ms)  |  script='cả'
 96: whisper='đều' (22870-23050ms)  |  script='đều'
 97: whisper='từng' (23050-23330ms)  |  script='từng'
 98: whisper='nằm' (23330-23540ms)  |  script='nằm'
 99: whisper='trên' (23540-23770ms)  |  script='trên'
100: whisper='bản' (23770-24010ms)  |  script='bàn'
101: whisper='ăn' (24010-24180ms)  |  script='ăn'
102: whisper='của' (24180-24360ms)  |  script='của'
103: whisper='ông,' (24360-24640ms)  |  script='ông'
104: whisper='trước' (24790-24990ms)  |  script='trước'
105: whisper='khi' (24990-25090ms)  |  script='khi'
106: whisper='nằm' (25090-25290ms)  |  script='nằm'
107: whisper='trong' (25290-25500ms)  |  script='trong'
108: whisper='sách' (25500-25700ms)  |  script='sách'
109: whisper='nghiên' (25700-25980ms)  |  script='nghiên'
110: whisper='cứu,' (25980-26470ms)  |  script='cứu'
111: whisper='trong' (26470-26560ms)  |  script='Trong'
112: whisper='chuyến' (26560-26790ms)  |  script='chuyến'
113: whisper='hành' (26790-26990ms)  |  script='hành'
114: whisper='trình' (26990-27230ms)  |  script='trình'
115: whisper='huyền' (27230-27540ms)  |  script='huyền'
116: whisper='thoại' (27540-27790ms)  |  script='thoại'
117: whisper='trên' (27790-28000ms)  |  script='trên'
118: whisper='tàu' (28000-28160ms)  |  script='tàu'
119: whisper='bí' (28160-28280ms)  |  script='Beagle'
120: whisper='gồ' (28280-28460ms)  |  script='vòng'
121: whisper='vòng' (28460-28660ms)  |  script='quanh'
122: whisper='quanh' (28660-28840ms)  |  script='thế'
123: whisper='thế' (28840-29050ms)  |  script='giới'
124: whisper='giới,' (29050-29480ms)  |  script='Darwin'
125: whisper='Darwin' (29480-29750ms)  |  script='tiếp'
126: whisper='tiếp' (29750-30020ms)  |  script='tục'
127: whisper='tục' (30020-30260ms)  |  script='truyền'
128: whisper='chuyển' (30260-30600ms)  |  script='thống'
129: whisper='thống' (30600-31100ms)  |  script='đó'
130: whisper='đó.' (31100-31280ms)  |  script='Ông'
131: whisper='Ông' (31280-31490ms)  |  script='từng'
132: whisper='từng' (31490-31780ms)  |  script='ăn'
133: whisper='ăn' (31780-31960ms)  |  script='thịt'
134: whisper='thịt' (31960-32290ms)  |  script='một'
135: whisper='một' (32290-32480ms)  |  script='con'
136: whisper='con' (32480-32650ms)  |  script='rùa'
137: whisper='rùa' (32650-32830ms)  |  script='khổng'
138: whisper='khổng' (32830-33180ms)  |  script='lồ'
139: whisper='lồ' (33180-33380ms)  |  script='Galapagos'
140: whisper='Galapagos,' (33380-33920ms)  |  script='đúng'
141: whisper='đúng' (33920-34190ms)  |  script='loài'
142: whisper='loại' (34190-34460ms)  |  script='rùa'
143: whisper='rùa' (34460-34630ms)  |  script='mà'
144: whisper='mà' (34630-34870ms)  |  script='sau'
145: whisper='sau' (34870-34910ms)  |  script='này'
146: whisper='này' (34910-35090ms)  |  script='ông'
147: whisper='ông' (35090-35270ms)  |  script='dùng'
148: whisper='dùng' (35270-35530ms)  |  script='làm'
149: whisper='làm' (35530-35670ms)  |  script='bằng'
150: whisper='bằng' (35670-35940ms)  |  script='chứng'
151: whisper='chứng' (35940-36260ms)  |  script='cho'
152: whisper='cho' (36260-36410ms)  |  script='thuyết'
153: whisper='thuyết' (36410-36760ms)  |  script='tiến'
154: whisper='tiên' (36760-36980ms)  |  script='hóa'
155: whisper='hòa,' (36980-37280ms)  |  script='Vừa'
156: whisper='vừa' (37280-37460ms)  |  script='nghiên'
157: whisper='nghiên' (37460-37770ms)  |  script='cứu'
158: whisper='cứu' (37770-37920ms)  |  script='khoa'
159: whisper='khoa' (37920-38040ms)  |  script='học'
160: whisper='học,' (38040-38280ms)  |  script='vừa'
161: whisper='vừa' (38280-38440ms)  |  script='dùng'
162: whisper='dùng' (38440-38600ms)  |  script='bữa'
163: whisper='bữa' (38600-38760ms)  |  script='với'
164: whisper='với' (38760-38960ms)  |  script='chính'
165: whisper='chính' (38960-39140ms)  |  script='đối'
166: whisper='đối' (39140-39310ms)  |  script='tượng'
167: whisper='tượng' (39310-39570ms)  |  script='nghiên'
168: whisper='nghiên' (39570-39790ms)  |  script='cứu'
169: whisper='cứu,' (39790-40080ms)  |  script='không'
170: whisper='không' (40080-40380ms)  |  script='ai'
171: whisper='ai' (40380-40480ms)  |  script='làm'
172: whisper='làm' (40480-40680ms)  |  script='điều'
173: whisper='điều' (40680-41030ms)  |  script='đó'
174: whisper='đó' (41030-41230ms)  |  script='tận'
175: whisper='tận' (41230-41480ms)  |  script='tâm'
176: whisper='tâm' (41480-41680ms)  |  script='hơn'
177: whisper='hơn' (41680-41880ms)  |  script='Darwin'
178: whisper='Darwin.' (41880-42200ms)  |  script='Ông'
179: whisper='Ông' (42200-42380ms)  |  script='còn'
180: whisper='còn' (42380-42570ms)  |  script='là'
181: whisper='là' (42570-42700ms)  |  script='người'
182: whisper='người' (42700-43090ms)  |  script='cực'
183: whisper='cực' (43090-43290ms)  |  script='kỳ'
184: whisper='kỳ' (43290-43460ms)  |  script='chi'
185: whisper='chi' (43460-43610ms)  |  script='tiết'
186: whisper='tiết' (43610-43900ms)  |  script='đến'
187: whisper='đến' (43900-44190ms)  |  script='mức'
188: whisper='mức' (44190-44400ms)  |  script='ám'
189: whisper='ám' (44400-44500ms)  |  script='ảnh'
190: whisper='ảnh.' (44500-45000ms)  |  script='Darwin'
191: whisper='Darwin' (45000-45310ms)  |  script='dành'
192: whisper='dành' (45310-45560ms)  |  script='tới'
193: whisper='tới' (45560-45820ms)  |  script='8'
194: whisper='8' (45820-46000ms)  |  script='năm'
195: whisper='năm' (46000-46180ms)  |  script='chỉ'
196: whisper='chỉ' (46180-46450ms)  |  script='để'
197: whisper='để' (46450-46700ms)  |  script='nghiên'
198: whisper='nghiên' (46700-47060ms)  |  script='cứu'
199: whisper='cứu.' (47060-47520ms)  |  script='một'
200: whisper='Một' (47520-47740ms)  |  script='loài'
201: whisper='loại' (47740-48010ms)  |  script='hà'
202: whisper='ha' (48010-48100ms)  |  script='biển'
203: whisper='biển' (48100-48460ms)  |  script='giống'
204: whisper='giống' (48460-48690ms)  |  script='như'
205: whisper='như' (48690-48870ms)  |  script='con'
206: whisper='con' (48870-49010ms)  |  script='hàu'
207: whisper='hậu' (49010-49230ms)  |  script='bám'
208: whisper='bám' (49230-49410ms)  |  script='trên'
209: whisper='trên' (49410-49640ms)  |  script='đá'
210: whisper='đã,' (49640-49960ms)  |  script='8'
211: whisper='8' (50080-50090ms)  |  script='năm'
212: whisper='năm' (50090-50260ms)  |  script='chỉ'
213: whisper='chỉ' (50260-50660ms)  |  script='để'
214: whisper='để' (50660-50710ms)  |  script='hiểu'
215: whisper='hiểu' (50710-50950ms)  |  script='tường'
216: whisper='tượng' (50950-51300ms)  |  script='tận'
217: whisper='tận' (51300-51510ms)  |  script='một'
218: whisper='một' (51510-51730ms)  |  script='sinh'
219: whisper='sinh' (51730-51900ms)  |  script='vật'
220: whisper='vật' (51900-52110ms)  |  script='bé'
221: whisper='bé' (52110-52240ms)  |  script='xíu'
222: whisper='siú' (52240-52440ms)  |  script='bám'
223: whisper='bám' (52440-52570ms)  |  script='vào'
224: whisper='vào' (52570-52740ms)  |  script='thành'
225: whisper='thành' (52740-53000ms)  |  script='tàu'
226: whisper='tàu,' (53000-53400ms)  |  script='trước'
227: whisper='trước' (53400-53740ms)  |  script='khi'
228: whisper='khi' (53740-53840ms)  |  script='dám'
229: whisper='giám' (53840-54040ms)  |  script='công'
230: whisper='công' (54040-54240ms)  |  script='bố'
231: whisper='bố' (54240-54450ms)  |  script='lý'
232: whisper='ly' (54450-54480ms)  |  script='thuyết'
233: whisper='thuyết' (54480-54800ms)  |  script='lớn'
234: whisper='lớn' (54800-55100ms)  |  script='về'
235: whisper='về' (55100-55210ms)  |  script='sự'
236: whisper='sự' (55210-55380ms)  |  script='sống'
237: whisper='sống' (55380-55640ms)  |  script='trên'
238: whisper='trên' (55640-55860ms)  |  script='toàn'
239: whisper='toàn' (55860-56110ms)  |  script='hành'
240: whisper='hành' (56110-56320ms)  |  script='tinh'
241: whisper='tinh.' (56320-56600ms)  |  script='Và'
242: whisper='Và' (56600-56760ms)  |  script='đây'
243: whisper='đây' (56760-57010ms)  |  script='là'
244: whisper='là' (57010-57160ms)  |  script='chi'
245: whisper='chi' (57160-57310ms)  |  script='tiết'
246: whisper='tiết' (57310-57760ms)  |  script='khiến'
247: whisper='khiến' (57760-57960ms)  |  script='ai'
248: whisper='ai' (57960-58060ms)  |  script='cũng'
249: whisper='cũng' (58060-58320ms)  |  script='bật'
250: whisper='bật' (58320-58570ms)  |  script='cười'
251: whisper='cười,' (58570-59000ms)  |  script='Darwin'
252: whisper='Darwin' (59000-59270ms)  |  script='sợ'
253: whisper='sợ' (59270-59440ms)  |  script='hãi'
254: whisper='hãi' (59440-59640ms)  |  script='việc'
255: whisper='việc' (59640-59880ms)  |  script='công'
256: whisper='công' (59880-60140ms)  |  script='bố'
257: whisper='bố' (60140-60270ms)  |  script='thuyết'
258: whisper='thuyết' (60270-60630ms)  |  script='tiến'
259: whisper='tiên' (60630-60850ms)  |  script='hóa'
260: whisper='hòa,' (60850-61200ms)  |  script='đến'
261: whisper='đến' (61200-61490ms)  |  script='mức'
262: whisper='mức' (61490-61730ms)  |  script='trì'
263: whisper='chỉ' (61730-61960ms)  |  script='hoãn'
264: whisper='hoạn' (61960-62240ms)  |  script='suốt'
265: whisper='xuất' (62240-62520ms)  |  script='20'
266: whisper='20' (62520-63000ms)  |  script='năm'
267: whisper='năm.' (63000-63200ms)  |  script='Ông'
268: whisper='Ông' (63200-63370ms)  |  script='có'
269: whisper='có' (63370-63470ms)  |  script='đầy'
270: whisper='đầy' (63470-63690ms)  |  script='đủ'
271: whisper='đủ' (63690-63880ms)  |  script='bằng'
272: whisper='bằng' (63880-64110ms)  |  script='chứng'
273: whisper='chứng,' (64110-64610ms)  |  script='đầy'
274: whisper='đầy' (64610-64780ms)  |  script='đủ'
275: whisper='đủ' (64780-65000ms)  |  script='lý'
276: whisper='lí' (65000-65130ms)  |  script='luận'
277: whisper='loại,' (65130-65440ms)  |  script='nhưng'
278: whisper='nhưng' (65440-65680ms)  |  script='cứ'
279: whisper='cứ' (65680-65840ms)  |  script='ngồi'
280: whisper='ngồi' (65840-66110ms)  |  script='im'
281: whisper='yên' (66110-66240ms)  |  script='vì'
282: whisper='vì' (66240-66350ms)  |  script='sợ'
283: whisper='sợ' (66350-66520ms)  |  script='phản'
284: whisper='phản' (66520-66760ms)  |  script='ứng'
285: whisper='ứng' (66760-66960ms)  |  script='dữ'
286: whisper='giữ' (66960-67160ms)  |  script='dội'
287: whisper='dội,' (67160-67440ms)  |  script='từ'
288: whisper='từ' (67440-67620ms)  |  script='tôn'
289: whisper='tôn' (67620-67790ms)  |  script='giáo'
290: whisper='giáo' (67790-68010ms)  |  script='và'
291: whisper='và' (68010-68140ms)  |  script='xã'
292: whisper='sã' (68140-68270ms)  |  script='hội'
293: whisper='hội' (68270-68490ms)  |  script='thời'
294: whisper='thời' (68490-68750ms)  |  script='đó'
295: whisper='đó.' (68750-69160ms)  |  script='Cuối'
296: whisper='Cuối' (69160-69450ms)  |  script='cùng'
297: whisper='cùng,' (69450-69910ms)  |  script='ông'
298: whisper='ông' (69910-69950ms)  |  script='chỉ'
299: whisper='chỉ' (69950-70190ms)  |  script='công'
300: whisper='công' (70190-70330ms)  |  script='bố'
301: whisper='bố' (70330-70470ms)  |  script='vội'
302: whisper='vội' (70470-70650ms)  |  script='vàng'
303: whisper='vàng' (70650-70830ms)  |  script='khi'
304: whisper='khi' (70830-70960ms)  |  script='phát'
305: whisper='phát' (70960-71120ms)  |  script='hiện'
306: whisper='hiện' (71120-71340ms)  |  script='một'
307: whisper='một' (71340-71530ms)  |  script='nhà'
308: whisper='nhà' (71530-71680ms)  |  script='khoa'
309: whisper='khoa' (71680-71820ms)  |  script='học'
310: whisper='học' (71820-72010ms)  |  script='khác'
311: whisper='khác,' (72010-72280ms)  |  script='Alfred'
312: whisper='Alfred' (72280-72620ms)  |  script='Russel'
313: whisper='Russell' (72620-72970ms)  |  script='Wallace'
314: whisper='Wallace' (72970-73340ms)  |  script='sắp'
315: whisper='sắp' (73340-73580ms)  |  script='công'
316: whisper='công' (73580-73910ms)  |  script='bố'
317: whisper='bố' (73910-74070ms)  |  script='ý'
318: whisper='ý' (74070-74180ms)  |  script='tưởng'
319: whisper='tưởng' (74180-74590ms)  |  script='gần'
320: whisper='gần' (74590-74860ms)  |  script='giống'
321: whisper='giống' (74860-75210ms)  |  script='hệt'
322: whisper='hết.' (75210-75600ms)  |  script='Về'
323: whisper='Vậy' (75640-75820ms)  |  script='đời'
324: whisper='đời' (75820-76090ms)  |  script='tư'
325: whisper='tư,' (76090-76560ms)  |  script='Darwin'
326: whisper='Darwin' (76560-76590ms)  |  script='kết'
327: whisper='kết' (76590-76810ms)  |  script='hôn'
328: whisper='hôn' (76810-77030ms)  |  script='với'
329: whisper='với' (77030-77220ms)  |  script='người'
330: whisper='người' (77220-77590ms)  |  script='em'
331: whisper='em' (77590-77680ms)  |  script='họ'
332: whisper='họ' (77680-77860ms)  |  script='của'
333: whisper='của' (77860-78090ms)  |  script='chính'
334: whisper='chính' (78090-78370ms)  |  script='mình'
335: whisper='mình,' (78370-78900ms)  |  script='và'
336: whisper='và' (78900-78910ms)  |  script='ông'
337: whisper='ông' (78910-79070ms)  |  script='lo'
338: whisper='lo' (79070-79130ms)  |  script='lắng'
339: whisper='lắng' (79130-79350ms)  |  script='đến'
340: whisper='đến' (79350-79580ms)  |  script='mức'
341: whisper='mức' (79580-79760ms)  |  script='viết'
342: whisper='viết' (79760-80010ms)  |  script='hẳn'
343: whisper='hành' (80010-80240ms)  |  script='một'
344: whisper='một' (80240-80400ms)  |  script='danh'
345: whisper='dành' (80400-80560ms)  |  script='sách'
346: whisper='sách' (80560-80720ms)  |  script='ưu'
347: whisper='yêu' (80720-80880ms)  |  script='và'
348: whisper='và' (80880-80990ms)  |  script='nhược'
349: whisper='nhật' (80990-81210ms)  |  script='điểm'
350: whisper='điểm' (81210-81460ms)  |  script='của'
351: whisper='của' (81460-81710ms)  |  script='việc'
352: whisper='việc' (81710-81850ms)  |  script='kết'
353: whisper='kết' (81850-82020ms)  |  script='hôn'
354: whisper='hôn' (82020-82160ms)  |  script='trước'
355: whisper='trước' (82160-82450ms)  |  script='khi'
356: whisper='khi' (82450-82560ms)  |  script='cầu'
357: whisper='cầu' (82560-82760ms)  |  script='hôn'
358: whisper='hôn,' (82760-83040ms)  |  script='như'
359: whisper='như' (83040-83200ms)  |  script='một'
360: whisper='một' (83200-83440ms)  |  script='bản'
361: whisper='bản' (83440-83600ms)  |  script='báo'
362: whisper='báo' (83600-83760ms)  |  script='cáo'
363: whisper='cáo' (83760-83920ms)  |  script='khoa'
364: whisper='khoa' (83920-84080ms)  |  script='học'
365: whisper='học' (84080-84290ms)  |  script='thực'
366: whisper='thực' (84290-84610ms)  |  script='thụ'
367: whisper='thụ,' (84610-84880ms)  |  script='cân'
368: whisper='cân' (84880-85060ms)  |  script='đo'
369: whisper='đò' (85060-85200ms)  |  script='đong'
370: whisper='đông' (85200-85440ms)  |  script='đếm'
371: whisper='đếm' (85440-85680ms)  |  script='cả'
372: whisper='cả' (85680-85840ms)  |  script='chuyện'
373: whisper='chuyện' (85840-86160ms)  |  script='tình'
374: whisper='tình' (86160-86360ms)  |  script='cảm'
375: whisper='cảm.' (86360-86720ms)  |  script='Người'
376: whisper='Người' (86720-87200ms)  |  script='đàn'
377: whisper='đàn' (87200-87460ms)  |  script='ông'
378: whisper='ông' (87460-87690ms)  |  script='ăn'
379: whisper='Anzua' (87690-87960ms)  |  script='rùa'
380: whisper='Galapagos' (87960-88510ms)  |  script='Galapagos'
381: whisper='dành' (88510-88740ms)  |  script='dành'
382: whisper='8' (88740-88910ms)  |  script='8'
383: whisper='năm' (88910-89140ms)  |  script='năm'
384: whisper='nhìn' (89140-89420ms)  |  script='nghiên'
385: whisper='kiếu' (89420-89760ms)  |  script='cứu'
386: whisper='con' (89760-89920ms)  |  script='con'
387: whisper='hà,' (89920-90240ms)  |  script='hà'
388: whisper='và' (90240-90410ms)  |  script='và'
389: whisper='chỉ' (90410-90570ms)  |  script='trì'
390: whisper='hoạn' (90570-90820ms)  |  script='hoãn'
391: whisper='công' (90820-91030ms)  |  script='công'
392: whisper='bố' (91030-91190ms)  |  script='bố'
393: whisper='phát' (91190-91440ms)  |  script='phát'
394: whisper='hiện' (91440-91690ms)  |  script='hiện'
395: whisper='lớn' (91690-91850ms)  |  script='lớn'
396: whisper='nhất' (91850-92100ms)  |  script='nhất'
397: whisper='đời' (92100-92350ms)  |  script='đời'
398: whisper='mình' (92350-92580ms)  |  script='mình'
399: whisper='xuất' (92580-92810ms)  |  script='suốt'
400: whisper='2' (92810-93010ms)  |  script='2'
401: whisper='thập' (93010-93180ms)  |  script='thập'
402: whisper='kỳ,' (93180-93560ms)  |  script='kỷ'
403: whisper='đó' (93560-93800ms)  |  script='đó'
404: whisper='chính' (93800-94160ms)  |  script='chính'
405: whisper='là' (94160-94360ms)  |  script='là'
406: whisper='Charles' (94360-94760ms)  |  script='Charles'
407: whisper='Darwin.' (94760-95320ms)  |  script='Darwin'
