  0: whisper='Isaac' (40-310ms)  |  script='Isaac'
 52: whisper='đầu' (13220-13530ms)  |  script='đầu'
 53: whisper='như' (13530-13630ms)  |  script='như'
 54: whisper='phim' (13630-13800ms)  |  script='phim'
 55: whisper='hoạt' (13800-14030ms)  |  script='hoạt'
 56: whisper='hình' (14030-14220ms)  |  script='hình'
 57: whisper='vẫn' (14220-14480ms)  |  script='vẫn'
 58: whisper='vẽ.' (14480-14780ms)  |  script='vẽ'
 59: whisper='Ông' (14780-15040ms)  |  script='Ông'
 60: whisper='ấy' (15040-15180ms)  |  script='ấy'
 61: whisper='chỉ' (15180-15430ms)  |  script='chỉ'
 62: whisper='đã' (15430-15630ms)  |  script='đang'
 63: whisper='ngồi' (15630-15930ms)  |  script='ngồi'
 64: whisper='suy' (15930-16080ms)  |  script='suy'
 65: whisper='nghĩ' (16080-16340ms)  |  script='nghĩ'
 66: whisper='vần' (16340-16580ms)  |  script='vẩn'
 67: whisper='vơ' (16580-17060ms)  |  script='vơ'
 68: whisper='thôi,' (17060-17170ms)  |  script='thôi'
 69: whisper='và' (17170-17350ms)  |  script='và'
 70: whisper='tự' (17350-17560ms)  |  script='tự'
 71: whisper='dự' (17560-17780ms)  |  script='dưng'
 72: whisper='nghĩ,' (17780-18240ms)  |  script='nghĩ'
 73: whisper='ơ,' (18240-18640ms)  |  script='Ơ'
 74: whisper='sao' (18640-18760ms)  |  script='sao'
 75: whisper='tảo' (18760-18960ms)  |  script='táo'
 76: whisper='lại' (18960-19170ms)  |  script='lại'
 77: whisper='dưới' (19170-19450ms)  |  script='rơi'
 78: whisper='xuống' (19450-19740ms)  |  script='xuống'
 79: whisper='mà' (19740-19860ms)  |  script='mà'
 80: whisper='không' (19860-20110ms)  |  script='không'
 81: whisper='bay' (20110-20310ms)  |  script='bay'
 82: whisper='ngang.' (20310-20620ms)  |  script='ngang'
 83: whisper='Câu' (20620-20820ms)  |  script='câu'
 84: whisper='hỏi' (20820-20980ms)  |  script='hỏi'
 85: whisper='tưởng' (20980-21310ms)  |  script='tưởng'
 86: whisper='ngửa' (21310-21550ms)  |  script='ngớ'
 87: whisper='ngần' (21550-21790ms)  |  script='ngẩn'
 88: whisper='này' (21790-22130ms)  |  script='này'
 89: whisper='lại' (22130-22150ms)  |  script='lại'
 90: whisper='đẻ' (22150-22350ms)  |  script='đẻ'
 91: whisper='ra' (22350-22430ms)  |  script='ra'
 92: whisper='cả' (22430-22590ms)  |  script='cả'
 93: whisper='một' (22590-22790ms)  |  script='một'
 94: whisper='định' (22790-23070ms)  |  script='định'
 95: whisper='luật' (23070-23340ms)  |  script='luật'
 96: whisper='thay' (23340-23470ms)  |  script='thay'
 97: whisper='đổi' (23470-23710ms)  |  script='đổi'
 98: whisper='vật' (23710-23910ms)  |  script='vật'
 99: whisper='lý' (23910-24020ms)  |  script='lý'
100: whisper='học,' (24020-24500ms)  |  script='học'
101: whisper='nhưng' (24500-24950ms)  |  script='Nhưng'
102: whisper='quan,' (24950-25260ms)  |  script='khoan'
103: whisper='Newton' (25350-25550ms)  |  script='Newton'
104: whisper='không' (25550-25820ms)  |  script='không'
105: whisper='chỉ' (25820-25990ms)  |  script='chỉ'
106: whisper='có' (25990-26140ms)  |  script='có'
107: whisper='mỗi' (26140-26330ms)  |  script='mỗi'
108: whisper='lực' (26330-26550ms)  |  script='lực'
109: whisper='khắp' (26550-26790ms)  |  script='hấp'
110: whisper='dẫn' (26790-27000ms)  |  script='dẫn'
111: whisper='đâu.' (27000-27420ms)  |  script='đâu'
112: whisper='Ông' (27420-27530ms)  |  script='Ông'
113: whisper='này' (27530-27670ms)  |  script='này'
114: whisper='còn' (27670-27840ms)  |  script='còn'
115: whisper='là' (27840-27970ms)  |  script='là'
116: whisper='một' (27970-28180ms)  |  script='một'
117: whisper='người' (28180-28630ms)  |  script='người'
118: whisper='cực' (28630-28730ms)  |  script='cực'
119: whisper='kỳ,' (28730-29010ms)  |  script='kỳ'
120: whisper='dành' (29010-29300ms)  |  script='rảnh'
121: whisper='theo' (29300-29350ms)  |  script='theo'
122: whisper='kiểu' (29350-29600ms)  |  script='kiểu'
123: whisper='bắt' (29600-29810ms)  |  script='bác'
124: whisper='học.' (29810-30300ms)  |  script='học'
125: whisper='Ông' (30300-30460ms)  |  script='Ông'
126: whisper='từng' (30460-30710ms)  |  script='từng'
127: whisper='tự' (30710-30890ms)  |  script='tự'
128: whisper='trọc' (30890-31130ms)  |  script='chọc'
129: whisper='một' (31130-31340ms)  |  script='một'
130: whisper='cây' (31340-31510ms)  |  script='cây'
131: whisper='kim' (31510-31650ms)  |  script='kim'
132: whisper='vào' (31650-31810ms)  |  script='vào'
133: whisper='mắt' (31810-32020ms)  |  script='mắt'
134: whisper='mình,' (32020-32350ms)  |  script='mình'
135: whisper='đúng' (32350-32560ms)  |  script='đúng'
136: whisper='nhiệm' (32560-32940ms)  |  script='nghĩa'
137: whisper='đen,' (32940-33400ms)  |  script='đen'
138: whisper='chỉ' (33400-33450ms)  |  script='chỉ'
139: whisper='để' (33450-33660ms)  |  script='để'
140: whisper='nghiên' (33660-33960ms)  |  script='nghiên'
141: whisper='cứu' (33960-34170ms)  |  script='cứu'
142: whisper='xem' (34170-34300ms)  |  script='xem'
143: whisper='áp' (34300-34420ms)  |  script='áp'
144: whisper='lực' (34420-34810ms)  |  script='lực'
145: whisper='lên' (34810-34820ms)  |  script='lên'
146: whisper='mắt' (34820-34990ms)  |  script='mắt'
147: whisper='ảnh' (34990-35180ms)  |  script='ảnh'
148: whisper='hưởng' (35180-35450ms)  |  script='hưởng'
149: whisper='thế' (35450-35630ms)  |  script='thế'
150: whisper='nào' (35630-35820ms)  |  script='nào'
151: whisper='đến' (35820-36050ms)  |  script='đến'
152: whisper='cách' (36050-36250ms)  |  script='cách'
153: whisper='con' (36250-36370ms)  |  script='con'
154: whisper='người' (36370-36680ms)  |  script='người'
155: whisper='nhìn' (36680-36870ms)  |  script='nhìn'
156: whisper='màu' (36870-37060ms)  |  script='màu'
157: whisper='xác.' (37060-37340ms)  |  script='sắc'
158: whisper='Không' (37340-37680ms)  |  script='Không'
159: whisper='ai' (37680-37720ms)  |  script='ai'
160: whisper='bảo' (37720-37950ms)  |  script='bảo'
161: whisper='ông' (37950-38140ms)  |  script='ông'
162: whisper='làm' (38140-38330ms)  |  script='làm'
163: whisper='cả,' (38330-38800ms)  |  script='cả'
164: whisper='ông' (38800-38840ms)  |  script='ông'
165: whisper='tự' (38840-38980ms)  |  script='tự'
166: whisper='nguyện,' (38980-39580ms)  |  script='nguyện'
167: whisper='và' (39580-39810ms)  |  script='Và'
168: whisper='đây' (39810-39820ms)  |  script='đây'
169: whisper='mới' (39820-40060ms)  |  script='mới'
170: whisper='là' (40060-40200ms)  |  script='là'
171: whisper='phần' (40200-40480ms)  |  script='phần'
172: whisper='hai' (40480-40620ms)  |  script='hài'
173: whisper='nhất,' (40620-41260ms)  |  script='nhất'
174: whisper='Newton' (41260-41380ms)  |  script='Newton'
175: whisper='dành' (41380-41580ms)  |  script='dành'
176: whisper='phần' (41580-41820ms)  |  script='phần'
177: whisper='lớn' (41820-42020ms)  |  script='lớn'
178: whisper='cuộc' (42020-42270ms)  |  script='cuộc'
179: whisper='đời' (42270-42500ms)  |  script='đời'
180: whisper='không' (42500-42740ms)  |  script='không'
181: whisper='phải' (42740-42980ms)  |  script='phải'
182: whisper='để' (42980-43180ms)  |  script='để'
183: whisper='nghiên' (43180-43460ms)  |  script='nghiên'
184: whisper='cứu' (43460-43660ms)  |  script='cứu'
185: whisper='vật' (43660-43900ms)  |  script='vật'
186: whisper='lý,' (43900-44170ms)  |  script='lý'
187: whisper='mà' (44170-44320ms)  |  script='mà'
188: whisper='để' (44320-44590ms)  |  script='để'
189: whisper='nghiên' (44590-45170ms)  |  script='nghiên'
190: whisper='cứu.' (45170-45260ms)  |  script='cứu'
191: whisper='Giả' (45260-45490ms)  |  script='giả'
192: whisper='kim' (45490-45630ms)  |  script='kim'
193: whisper='thuật,' (45630-46230ms)  |  script='thuật'
194: whisper='ông' (46230-46310ms)  |  script='Ông'
195: whisper='cực' (46310-46490ms)  |  script='cực'
196: whisper='kỳ' (46490-46670ms)  |  script='kỳ'
197: whisper='tin' (46670-46760ms)  |  script='tin'
198: whisper='vào' (46760-46950ms)  |  script='vào'
199: whisper='việc' (46950-47280ms)  |  script='việc'
200: whisper='biến' (47280-47500ms)  |  script='biến'
201: whisper='trì' (47500-47690ms)  |  script='chì'
202: whisper='thành' (47690-47960ms)  |  script='thành'
203: whisper='vàng,' (47960-48430ms)  |  script='vàng'
204: whisper='và' (48430-48520ms)  |  script='và'
205: whisper='viết' (48520-48790ms)  |  script='viết'
206: whisper='hàng' (48790-49010ms)  |  script='hàng'
207: whisper='ngàn' (49010-49230ms)  |  script='ngàn'
208: whisper='trang' (49230-49460ms)  |  script='trang'
209: whisper='ghi' (49460-49580ms)  |  script='ghi'
210: whisper='chú' (49580-49760ms)  |  script='chú'
211: whisper='bí' (49760-49890ms)  |  script='bí'
212: whisper='mật' (49890-50110ms)  |  script='mật'
213: whisper='về' (50110-50420ms)  |  script='về'
214: whisper='nó.' (50420-50620ms)  |  script='nó'
215: whisper='Bi' (50700-50740ms)  |  script='bí'
216: whisper='mật' (50740-50910ms)  |  script='mật'
217: whisper='đến' (50910-51170ms)  |  script='đến'
218: whisper='mức' (51170-51380ms)  |  script='mức'
219: whisper='mãi' (51380-51540ms)  |  script='mãi'
220: whisper='sau' (51540-51670ms)  |  script='sau'
221: whisper='khi' (51670-51800ms)  |  script='khi'
222: whisper='ông' (51800-51970ms)  |  script='ông'
223: whisper='chết,' (51970-52600ms)  |  script='chết'
224: whisper='người' (52600-52650ms)  |  script='người'
225: whisper='ta' (52650-52770ms)  |  script='ta'
226: whisper='mới' (52770-52950ms)  |  script='mới'
227: whisper='phát' (52950-53160ms)  |  script='phát'
228: whisper='hiện' (53160-53420ms)  |  script='hiện'
229: whisper='ra' (53420-53500ms)  |  script='ra'
230: whisper='ông' (53500-53670ms)  |  script='ông'
231: whisper='là' (53670-53800ms)  |  script='là'
232: whisper='một' (53800-54020ms)  |  script='một'
233: whisper='nhà' (54020-54190ms)  |  script='nhà'
234: whisper='giả' (54190-54400ms)  |  script='giả'
235: whisper='kim,' (54400-54780ms)  |  script='kim'
236: whisper='hơn' (54780-54910ms)  |  script='hơn'
237: whisper='là' (54910-54920ms)  |  script='là'
238: whisper='nhà' (54920-55080ms)  |  script='nhà'
239: whisper='khoa' (55080-55250ms)  |  script='khoa'
240: whisper='học,' (55250-55800ms)  |  script='học'
241: whisper='như' (55800-55960ms)  |  script='như'
242: whisper='sách' (55960-56170ms)  |  script='sách'
243: whisper='giáo' (56170-56390ms)  |  script='giáo'
244: whisper='khoa' (56390-56560ms)  |  script='khoa'
245: whisper='vẽ,' (56560-57010ms)  |  script='vẽ'
246: whisper='ông' (57010-57080ms)  |  script='Ông'
247: whisper='còn' (57080-57160ms)  |  script='còn'
248: whisper='từng' (57160-57380ms)  |  script='từng'
249: whisper='là' (57380-57490ms)  |  script='là'
250: whisper='giám' (57490-57670ms)  |  script='Giám'
251: whisper='đốc' (57670-57900ms)  |  script='đốc'
252: whisper='sở' (57900-58030ms)  |  script='Sở'
253: whisper='đúc' (58030-58280ms)  |  script='Đúc'
254: whisper='tiền' (58280-58430ms)  |  script='tiền'
255: whisper='hoàng' (58430-58650ms)  |  script='Hoàng'
256: whisper='giả' (58650-58830ms)  |  script='gia'
257: whisper='anh,' (58830-59230ms)  |  script='Anh'
258: whisper='và' (59230-59400ms)  |  script='và'
259: whisper='ở' (59400-59570ms)  |  script='ở'
260: whisper='vị' (59570-59830ms)  |  script='vị'
261: whisper='trí' (59830-60220ms)  |  script='trí'
262: whisper='đó,' (60220-60480ms)  |  script='đó'
263: whisper='Newton' (60480-60860ms)  |  script='Newton'
264: whisper='biến' (60860-61250ms)  |  script='biến'
265: whisper='thành.' (61250-61900ms)  |  script='thành'
266: whisper='Thượng' (61900-62300ms)  |  script='thợ'
267: whisper='xanh' (62300-62470ms)  |  script='săn'
268: whisper='tiền' (62470-62740ms)  |  script='tiền'
269: whisper='giả,' (62740-63220ms)  |  script='giả'
270: whisper='ông' (63220-63230ms)  |  script='Ông'
271: whisper='đích' (63230-63510ms)  |  script='đích'
272: whisper='thân' (63510-63720ms)  |  script='thân'
273: whisper='cải' (63720-63940ms)  |  script='cải'
274: whisper='trang' (63940-64160ms)  |  script='trang'
275: whisper='đi' (64160-64290ms)  |  script='đi'
276: whisper='điều' (64290-64600ms)  |  script='điều'
277: whisper='tra,' (64600-64860ms)  |  script='tra'
278: whisper='bắt' (64860-65060ms)  |  script='bắt'
279: whisper='tận' (65060-65260ms)  |  script='tận'
280: whisper='tay' (65260-65390ms)  |  script='tay'
281: whisper='và' (65390-65610ms)  |  script='và'
282: whisper='đưa' (65610-65780ms)  |  script='đưa'
283: whisper='nhiều' (65780-66050ms)  |  script='nhiều'
284: whisper='kẻ' (66050-66270ms)  |  script='kẻ'
285: whisper='làm' (66270-66400ms)  |  script='làm'
286: whisper='tiền' (66400-66670ms)  |  script='tiền'
287: whisper='giả' (66670-66890ms)  |  script='giả'
288: whisper='lên' (66890-67070ms)  |  script='lên'
289: whisper='giá' (67070-67250ms)  |  script='giá'
290: whisper='chau' (67250-67430ms)  |  script='treo'
291: whisper='cổ,' (67430-67970ms)  |  script='cổ'
292: whisper='từng' (67970-68040ms)  |  script='Từ'
293: whisper='người' (68040-68360ms)  |  script='người'
294: whisper='phát' (68360-68520ms)  |  script='phát'
295: whisper='mình' (68520-68700ms)  |  script='minh'
296: whisper='ra' (68700-68770ms)  |  script='ra'
297: whisper='lực,' (68770-69090ms)  |  script='lực'
298: whisper='hấp' (69090-69220ms)  |  script='hấp'
299: whisper='dẫn' (69220-69380ms)  |  script='dẫn'
300: whisper='đến' (69380-69600ms)  |  script='đến'
301: whisper='cảnh' (69600-69770ms)  |  script='cảnh'
302: whisper='sát' (69770-69900ms)  |  script='sát'
303: whisper='trưởng' (69900-70200ms)  |  script='trưởng'
304: whisper='và' (70200-70300ms)  |  script='phá'
305: whisper='án' (70300-70410ms)  |  script='án'
306: whisper='tiền' (70410-70570ms)  |  script='tiền'
307: whisper='giả,' (70570-71080ms)  |  script='giả'
308: whisper='sự' (71080-71140ms)  |  script='sự'
309: whisper='nghiệp' (71140-71350ms)  |  script='nghiệp'
310: whisper='của' (71350-71520ms)  |  script='của'
311: whisper='ông' (71520-71660ms)  |  script='ông'
312: whisper='đúng' (71660-71870ms)  |  script='đúng'
313: whisper='là' (71870-71970ms)  |  script='là'
314: whisper='không' (71970-72180ms)  |  script='không'
315: whisper='ai' (72180-72250ms)  |  script='ai'
316: whisper='đoán' (72250-72450ms)  |  script='đoán'
317: whisper='trước' (72450-72730ms)  |  script='trước'
318: whisper='được,' (72730-73140ms)  |  script='được'
319: whisper='và' (73290-73320ms)  |  script='Và'
320: whisper='có' (73320-73480ms)  |  script='có'
321: whisper='lẽ' (73480-73640ms)  |  script='lẽ'
322: whisper='câu' (73640-73840ms)  |  script='câu'
323: whisper='chuyện' (73840-74260ms)  |  script='chuyện'
324: whisper='hai' (74260-74450ms)  |  script='hài'
325: whisper='nhất' (74450-74770ms)  |  script='nhất'
326: whisper='về' (74770-74930ms)  |  script='về'
327: whisper='Newton' (74930-75380ms)  |  script='Newton'
328: whisper='là' (75380-75590ms)  |  script='là'
329: whisper='ông' (75590-75620ms)  |  script='ông'
330: whisper='chưa' (75620-75850ms)  |  script='chưa'
331: whisper='từng,' (75850-76410ms)  |  script='từng'
332: whisper='có' (76410-76670ms)  |  script='có'
333: whisper='bạn' (76670-76720ms)  |  script='bạn'
334: whisper='gái,' (76720-76970ms)  |  script='gái'
335: whisper='chưa' (76970-77230ms)  |  script='chưa'
336: whisper='từng' (77230-77590ms)  |  script='từng'
337: whisper='kết' (77590-77830ms)  |  script='kết'
338: whisper='hôn' (77830-78000ms)  |  script='hôn'
339: whisper='và' (78000-78150ms)  |  script='và'
340: whisper='được' (78150-78720ms)  |  script='được'
341: whisper='cho' (78720-78770ms)  |  script='cho'
342: whisper='là' (78770-78870ms)  |  script='là'
343: whisper='qua' (78870-79020ms)  |  script='qua'
344: whisper='đời' (79020-79330ms)  |  script='đời'
345: whisper='mà' (79330-79480ms)  |  script='mà'
346: whisper='vẫn' (79480-79740ms)  |  script='vẫn'
347: whisper='còn' (79740-80010ms)  |  script='còn'
348: whisper='chân' (80010-80200ms)  |  script='trinh'
349: whisper='trắng' (80200-80560ms)  |  script='trắng'
350: whisper='theo' (80560-80770ms)  |  script='theo'
351: whisper='ghi' (80770-80920ms)  |  script='ghi'
352: whisper='chép' (80920-81180ms)  |  script='chép'
353: whisper='lịch' (81180-81480ms)  |  script='lịch'
354: whisper='sử.' (81480-81980ms)  |  script='sử'
355: whisper='Nhưng' (81980-82350ms)  |  script='Nhưng'
356: whisper='buồn' (82350-82530ms)  |  script='bù'
357: whisper='lại,' (82530-82850ms)  |  script='lại'
358: whisper='ông' (82850-82860ms)  |  script='ông'
359: whisper='có' (82860-83190ms)  |  script='có'
360: whisper='mối' (83190-83450ms)  |  script='mối'
361: whisper='quan' (83450-83610ms)  |  script='quan'
362: whisper='hệ' (83610-83790ms)  |  script='hệ'
363: whisper='tình' (83790-84020ms)  |  script='tình'
364: whisper='cảm' (84020-84260ms)  |  script='cảm'
365: whisper='sau' (84260-84400ms)  |  script='sâu'
366: whisper='đậm' (84400-84670ms)  |  script='đậm'
367: whisper='nhất' (84670-84980ms)  |  script='nhất'
368: whisper='đời' (84980-85230ms)  |  script='đời'
369: whisper='mình' (85230-85470ms)  |  script='mình'
370: whisper='với,' (85470-85940ms)  |  script='với'
371: whisper='toán' (85940-86330ms)  |  script='toán'
372: whisper='học,' (86330-86940ms)  |  script='học'
373: whisper='vợi' (86940-87110ms)  |  script='Vậy'
374: whisper='lên' (87110-87280ms)  |  script='lần'
375: whisper='tới' (87280-87500ms)  |  script='tới'
376: whisper='khi' (87500-87640ms)  |  script='khi'
377: whisper='thấy' (87640-87910ms)  |  script='thấy'
378: whisper='quả' (87910-88100ms)  |  script='quả'
379: whisper='táo' (88100-88270ms)  |  script='táo'
380: whisper='rơi,' (88270-88670ms)  |  script='rơi'
381: whisper='đừng' (88670-88890ms)  |  script='đừng'
382: whisper='nghĩ' (88890-89160ms)  |  script='nghĩ'
383: whisper='tới' (89160-89330ms)  |  script='tới'
384: whisper='lực' (89330-89580ms)  |  script='lực'
385: whisper='hấp' (89580-89750ms)  |  script='hấp'
386: whisper='dẫn,' (89750-90150ms)  |  script='dẫn'
387: whisper='hãy' (90150-90280ms)  |  script='hãy'
388: whisper='nghĩ' (90280-90530ms)  |  script='nghĩ'
389: whisper='tới' (90530-90740ms)  |  script='tới'
390: whisper='một' (90740-90970ms)  |  script='một'
391: whisper='ông' (90970-91150ms)  |  script='ông'
392: whisper='giả' (91150-91410ms)  |  script='già'
393: whisper='thế' (91410-91600ms)  |  script='thế'
394: whisper='kỷ' (91600-91770ms)  |  script='kỷ'
395: whisper='17,' (91770-92180ms)  |  script='17'
396: whisper='vừa' (92180-92340ms)  |  script='vừa'
397: whisper='chóc' (92340-92570ms)  |  script='chọc'
398: whisper='kim' (92570-92660ms)  |  script='kim'
399: whisper='và' (92660-92780ms)  |  script='vào'
400: whisper='mắt' (92780-92980ms)  |  script='mắt'
401: whisper='mình,' (92980-93340ms)  |  script='mình'
402: whisper='vừa' (93340-93510ms)  |  script='vừa'
403: whisper='cố' (93510-93720ms)  |  script='cố'
404: whisper='biến' (93720-93930ms)  |  script='biến'
405: whisper='trì' (93930-94090ms)  |  script='chì'
406: whisper='thành' (94090-94360ms)  |  script='thành'
407: whisper='vàng,' (94360-94740ms)  |  script='vàng'
408: whisper='vừa' (94740-94920ms)  |  script='vừa'
409: whisper='đi' (94920-95050ms)  |  script='đi'
410: whisper='bắt' (95050-95360ms)  |  script='bắt'
411: whisper='tiền' (95360-95530ms)  |  script='tiền'
412: whisper='giả,' (95530-95900ms)  |  script='giả'
413: whisper='tất' (95900-96180ms)  |  script='tất'
414: whisper='cả' (96180-96350ms)  |  script='cả'
415: whisper='trong' (96350-96460ms)  |  script='trong'
416: whisper='cùng' (96460-96660ms)  |  script='cùng'
417: whisper='một' (96660-96860ms)  |  script='một'
418: whisper='cuộc' (96860-97120ms)  |  script='cuộc'
419: whisper='đời.' (97120-97500ms)  |  script='đời'
