  0: whisper='Charlie' (30-370ms)  |  script='Charlie'
253: whisper='Charlie' (60950-61290ms)  |  script='đời'
254: whisper='Chaplin' (61290-61600ms)  |  script='Charlie'
255: whisper='chứng' (61600-61920ms)  |  script='Chaplin'
256: whisper='minh,' (61920-62490ms)  |  script='chứng'
257: whisper='người' (62490-62620ms)  |  script='minh'
258: whisper='khiến' (62620-62900ms)  |  script='người'
259: whisper='cả' (62900-63060ms)  |  script='khiến'
260: whisper='thế' (63060-63260ms)  |  script='cả'
261: whisper='giới' (63260-63500ms)  |  script='thế'
262: whisper='cười' (63500-63980ms)  |  script='giới'
263: whisper='lại' (63980-63990ms)  |  script='cười'
264: whisper='sống' (63990-64220ms)  |  script='lại'
265: whisper='một' (64220-64480ms)  |  script='sống'
266: whisper='cuộc' (64480-64660ms)  |  script='một'
267: whisper='đời' (64660-64900ms)  |  script='cuộc'
268: whisper='chẳng' (64900-65180ms)  |  script='đời'
269: whisper='hề' (65180-65340ms)  |  script='chẳng'
270: whisper='dễ' (65340-65490ms)  |  script='hề'
271: whisper='dàng.' (65490-65840ms)  |  script='dễ'
272: whisper='---' (0-0ms)  |  script='dàng'
