  0: whisper='Napoleon' (40-450ms)  |  script='Napoleon'
106: whisper='vị' (26480-26680ms)  |  script='đơn'
107: whisper='đó' (26680-26880ms)  |  script='vị'
108: whisper='của' (26880-27230ms)  |  script='đo'
109: whisper='pháp' (27230-27410ms)  |  script='của'
110: whisper='vốn' (27410-27630ms)  |  script='Pháp'
111: whisper='giải' (27630-27930ms)  |  script='vốn'
112: whisper='hơn' (27930-28120ms)  |  script='dài'
113: whisper='đơn' (28120-28380ms)  |  script='hơn'
114: whisper='vị' (28380-28580ms)  |  script='đơn'
115: whisper='của' (28580-28750ms)  |  script='vị'
116: whisper='anh.' (28750-29100ms)  |  script='của'
117: whisper='Quý' (29190-29280ms)  |  script='Anh'
118: whisper='đổi' (29280-29540ms)  |  script='Quy'
119: whisper='ra' (29540-29640ms)  |  script='đổi'
120: whisper='thực' (29640-29920ms)  |  script='ra'
121: whisper='tế,' (29920-30370ms)  |  script='thực'
122: whisper='ông' (30370-30460ms)  |  script='tế'
123: whisper='cao' (30460-30500ms)  |  script='ông'
124: whisper='khoảng' (30500-30900ms)  |  script='cao'
125: whisper='1' (30900-31010ms)  |  script='khoảng'
126: whisper='mét' (31010-31190ms)  |  script='1'
127: whisper='68' (31190-31470ms)  |  script='mét'
128: whisper='đến' (31470-31750ms)  |  script='68'
129: whisper='1' (31750-31890ms)  |  script='đến'
130: whisper='mét' (31890-32070ms)  |  script='1'
131: whisper='70,' (32070-32440ms)  |  script='mét'
132: whisper='thậm' (32440-32710ms)  |  script='70'
133: whisper='chí' (32710-33070ms)  |  script='thậm'
134: whisper='còn' (33070-33140ms)  |  script='chí'
135: whisper='cao' (33140-33200ms)  |  script='còn'
136: whisper='hơn' (33200-33380ms)  |  script='cao'
137: whisper='mức' (33380-33600ms)  |  script='hơn'
138: whisper='chung' (33600-33830ms)  |  script='mức'
139: whisper='bình' (33830-34050ms)  |  script='trung'
140: whisper='của' (34050-34280ms)  |  script='bình'
141: whisper='đàn' (34280-34510ms)  |  script='của'
142: whisper='ông' (34510-34690ms)  |  script='đàn'
143: whisper='pháp' (34690-34920ms)  |  script='ông'
144: whisper='thời' (34920-35240ms)  |  script='Pháp'
145: whisper='bấy' (35240-35420ms)  |  script='thời'
146: whisper='giờ.' (35420-36200ms)  |  script='bấy'
147: whisper='Vậy' (36200-36410ms)  |  script='giờ'
148: whisper='tại' (36410-36640ms)  |  script='Vậy'
149: whisper='sao' (36640-36760ms)  |  script='tại'
150: whisper='ông' (36760-36930ms)  |  script='sao'
151: whisper='lại' (36930-37170ms)  |  script='ông'
152: whisper='trong' (37170-37370ms)  |  script='lại'
153: whisper='nhỏ' (37370-37580ms)  |  script='trông'
154: whisper='bé' (37580-37710ms)  |  script='nhỏ'
155: whisper='đến' (37710-37970ms)  |  script='bé'
156: whisper='thế?' (37970-38380ms)  |  script='đến'
157: whisper='Vì' (38380-38490ms)  |  script='thế'
158: whisper='những' (38490-38760ms)  |  script='Vì'
159: whisper='vệ' (38760-38910ms)  |  script='những'
160: whisper='binh' (38910-39050ms)  |  script='vệ'
161: whisper='đứng' (39050-39310ms)  |  script='binh'
162: whisper='cảnh' (39310-39530ms)  |  script='đứng'
163: whisper='ông' (39530-39680ms)  |  script='cạnh'
164: whisper='được' (39680-39990ms)  |  script='ông'
165: whisper='tuyển' (39990-40240ms)  |  script='được'
166: whisper='trọn' (40240-40510ms)  |  script='tuyển'
167: whisper='theo' (40510-40610ms)  |  script='chọn'
168: whisper='chiều' (40610-40940ms)  |  script='theo'
169: whisper='cao,' (40940-41040ms)  |  script='chiều'
170: whisper='ai' (41040-41170ms)  |  script='cao'
171: whisper='cũng' (41170-41300ms)  |  script='ai'
172: whisper='cao' (41300-41400ms)  |  script='cũng'
173: whisper='lớn' (41400-41580ms)  |  script='cao'
174: whisper='vừa' (41580-41810ms)  |  script='lớn'
175: whisper='chội.' (41810-42400ms)  |  script='vượt'
176: whisper='Đứng' (42400-42750ms)  |  script='trội'
177: whisper='cảnh' (42750-43260ms)  |  script='Đứng'
178: whisper='họ,' (43260-43360ms)  |  script='cạnh'
179: whisper='dù' (43360-43510ms)  |  script='họ'
180: whisper='là' (43510-43660ms)  |  script='dù'
181: whisper='ai' (43660-43760ms)  |  script='là'
182: whisper='cũng' (43760-44020ms)  |  script='ai'
183: whisper='sẽ' (44020-44220ms)  |  script='cũng'
184: whisper='chung' (44220-44470ms)  |  script='sẽ'
185: whisper='bé' (44470-44770ms)  |  script='trông'
186: whisper='đi,' (44770-45080ms)  |  script='bé'
187: whisper='nhưng' (45080-45180ms)  |  script='đi'
188: whisper='thủ' (45180-45430ms)  |  script='Nhưng'
189: whisper='phạm' (45430-45730ms)  |  script='thủ'
190: whisper='lớn' (45730-46080ms)  |  script='phạm'
191: whisper='nhất' (46080-46290ms)  |  script='lớn'
192: whisper='là' (46290-46440ms)  |  script='nhất'
193: whisper='báo' (46440-46640ms)  |  script='là'
194: whisper='chí' (46640-46990ms)  |  script='báo'
195: whisper='anh.' (46990-47300ms)  |  script='chí'
196: whisper='Các' (47300-47510ms)  |  script='Anh'
197: whisper='hoạ' (47510-47780ms)  |  script='Các'
198: whisper='sĩ' (47780-47930ms)  |  script='họa'
199: whisper='biếm' (47930-48290ms)  |  script='sĩ'
200: whisper='hoạ' (48290-48520ms)  |  script='biếm'
201: whisper='như' (48520-48770ms)  |  script='họa'
202: whisper='James' (48770-49010ms)  |  script='như'
203: whisper='Geuray' (49010-49460ms)  |  script='James'
204: whisper='đã' (49460-49540ms)  |  script='Gillray'
205: whisper='vẽ' (49540-49800ms)  |  script='đã'
206: whisper='ông' (49800-49970ms)  |  script='vẽ'
207: whisper='thành' (49970-50290ms)  |  script='ông'
208: whisper='Little' (50290-50620ms)  |  script='thành'
209: whisper='Bonny,' (50620-51290ms)  |  script='Little'
210: whisper='một' (51290-51370ms)  |  script='Boney'
211: whisper='chú' (51370-51580ms)  |  script='một'
212: whisper='lùn' (51580-51780ms)  |  script='chú'
213: whisper='nóng' (51780-52040ms)  |  script='lùn'
214: whisper='này,' (52040-52610ms)  |  script='nóng'
215: whisper='hay' (52610-52660ms)  |  script='nảy'
216: whisper='dội' (52660-53160ms)  |  script='hay'
217: whisper='và' (53160-53300ms)  |  script='dỗi'
218: whisper='hay' (53300-53540ms)  |  script='và'
219: whisper='cáo.' (53540-53920ms)  |  script='hay'
220: whisper='Những' (54000-54220ms)  |  script='cáu'
221: whisper='bức' (54220-54430ms)  |  script='Những'
222: whisper='trang' (54430-54640ms)  |  script='bức'
223: whisper='đó' (54640-54810ms)  |  script='tranh'
224: whisper='làn' (54810-54980ms)  |  script='đó'
225: whisper='chuyển' (54980-55320ms)  |  script='lan'
226: whisper='khắp' (55320-55650ms)  |  script='truyền'
227: whisper='châu' (55650-55780ms)  |  script='khắp'
228: whisper='Âu,' (55780-55980ms)  |  script='châu'
229: whisper='và' (55980-56110ms)  |  script='Âu'
230: whisper='hình' (56110-56320ms)  |  script='và'
231: whisper='ảnh' (56320-56530ms)  |  script='hình'
232: whisper='ấy' (56530-56870ms)  |  script='ảnh'
233: whisper='đã因' (56870-57000ms)  |  script='ấy'
234: whisper='sâu' (57000-57170ms)  |  script='đã'
235: whisper='vào' (57170-57340ms)  |  script='in'
236: whisper='chí' (57340-57500ms)  |  script='sâu'
237: whisper='nhớ' (57500-57710ms)  |  script='vào'
238: whisper='của' (57710-57930ms)  |  script='trí'
239: whisper='cả' (57930-58110ms)  |  script='nhớ'
240: whisper='nhân' (58110-58320ms)  |  script='của'
241: whisper='loại' (58320-58570ms)  |  script='cả'
242: whisper='xuất' (58570-58820ms)  |  script='nhân'
243: whisper='2' (58820-58950ms)  |  script='loại'
244: whisper='thế' (58950-59170ms)  |  script='suốt'
245: whisper='kỳ.' (59170-59680ms)  |  script='hai'
246: whisper='Chờ' (59680-59870ms)  |  script='thế'
247: whisper='châu' (59870-60060ms)  |  script='kỷ'
248: whisper='tai,' (60060-60250ms)  |  script='Trớ'
249: whisper='người' (60250-60640ms)  |  script='trêu'
250: whisper='đàn' (60640-60750ms)  |  script='thay'
251: whisper='ông' (60750-60950ms)  |  script='người'
252: whisper='chính' (60950-61150ms)  |  script='đàn'
253: whisper='phục' (61150-61370ms)  |  script='ông'
254: whisper='được' (61370-61680ms)  |  script='chinh'
255: whisper='gần' (61680-61870ms)  |  script='phục'
256: whisper='cả' (61870-62030ms)  |  script='được'
257: whisper='châu' (62030-62220ms)  |  script='gần'
258: whisper='Âu' (62220-62520ms)  |  script='cả'
259: whisper='lại' (62520-62520ms)  |  script='châu'
260: whisper='thuộc' (62520-62790ms)  |  script='Âu'
261: whisper='đúng' (62790-63020ms)  |  script='lại'
262: whisper='một' (63020-63220ms)  |  script='thua'
263: whisper='chận' (63220-63520ms)  |  script='đúng'
264: whisper='và' (63520-63570ms)  |  script='một'
265: whisper='là' (63570-63690ms)  |  script='trận'
266: whisper='chạy' (63690-63950ms)  |  script='và'
267: whisper='chuyên' (63950-64200ms)  |  script='là'
268: whisper='thông.' (64200-64720ms)  |  script='trận'
269: whisper='Cái' (64720-64960ms)  |  script='truyền'
270: whisper='thú' (64960-65040ms)  |  script='thông'
271: whisper='không' (65040-65280ms)  |  script='Kẻ'
272: whisper='cần' (65280-65480ms)  |  script='thù'
273: whisper='đánh' (65480-65720ms)  |  script='không'
274: whisper='bại' (65720-65920ms)  |  script='cần'
275: whisper='ông' (65920-66080ms)  |  script='đánh'
276: whisper='ngoài' (66080-66320ms)  |  script='bại'
277: whisper='chến' (66320-66560ms)  |  script='ông'
278: whisper='trường,' (66560-67010ms)  |  script='ngoài'
279: whisper='họ' (67010-67170ms)  |  script='chiến'
280: whisper='chỉ' (67170-67370ms)  |  script='trường'
281: whisper='cần' (67370-67610ms)  |  script='họ'
282: whisper='một' (67610-67770ms)  |  script='chỉ'
283: whisper='cây' (67770-67970ms)  |  script='cần'
284: whisper='bút' (67970-68090ms)  |  script='một'
285: whisper='và' (68090-68210ms)  |  script='cây'
286: whisper='một' (68210-68410ms)  |  script='bút'
287: whisper='tờ' (68410-68570ms)  |  script='và'
288: whisper='giấy' (68570-68930ms)  |  script='một'
289: whisper='để' (68930-69010ms)  |  script='tờ'
290: whisper='biến' (69010-69270ms)  |  script='giấy'
291: whisper='ông' (69270-69420ms)  |  script='để'
292: whisper='thành' (69420-69650ms)  |  script='biến'
293: whisper='trò' (69650-69850ms)  |  script='ông'
294: whisper='cười' (69850-70090ms)  |  script='thành'
295: whisper='mãi' (70090-70250ms)  |  script='trò'
296: whisper='mãi.' (70250-70760ms)  |  script='cười'
297: whisper='Còn' (70760-70910ms)  |  script='mãi'
298: whisper='một' (70910-71110ms)  |  script='mãi'
299: whisper='dây' (71110-71260ms)  |  script='Còn'
300: whisper='thoại' (71260-71530ms)  |  script='một'
301: whisper='vui' (71530-71640ms)  |  script='giai'
302: whisper='nữa,' (71640-71950ms)  |  script='thoại'
303: whisper='dù' (71950-72200ms)  |  script='vui'
304: whisper='chưa' (72200-72220ms)  |  script='nữa'
305: whisper='được' (72220-72530ms)  |  script='dù'
306: whisper='kiềm' (72530-72750ms)  |  script='chưa'
307: whisper='chứng' (72750-73020ms)  |  script='được'
308: whisper='chắc' (73020-73270ms)  |  script='kiểm'
309: whisper='chắn,' (73270-73910ms)  |  script='chứng'
310: whisper='trong' (73910-73920ms)  |  script='chắc'
311: whisper='một' (73920-74160ms)  |  script='chắn'
312: whisper='buổi' (74160-74440ms)  |  script='trong'
313: whisper='sân' (74440-74620ms)  |  script='một'
314: whisper='thỏ,' (74620-75090ms)  |  script='buổi'
315: whisper='những' (75090-75270ms)  |  script='săn'
316: whisper='con' (75270-75400ms)  |  script='thỏ'
317: whisper='thỏ' (75400-75640ms)  |  script='những'
318: whisper='được' (75640-75980ms)  |  script='con'
319: whisper='chuẩn' (75980-76280ms)  |  script='thỏ'
320: whisper='bị' (76280-76500ms)  |  script='được'
321: whisper='sẵn' (76500-76670ms)  |  script='chuẩn'
322: whisper='là' (76670-76800ms)  |  script='bị'
323: whisper='thỏ' (76800-77020ms)  |  script='sẵn'
324: whisper='nuôi,' (77020-77540ms)  |  script='là'
325: whisper='nên' (77540-77630ms)  |  script='thỏ'
326: whisper='thay' (77630-77830ms)  |  script='nuôi'
327: whisper='vì' (77830-77990ms)  |  script='nên'
328: whisper='bỏ' (77990-78200ms)  |  script='thay'
329: whisper='chạy.' (78200-78600ms)  |  script='vì'
330: whisper='Chúng' (78690-78870ms)  |  script='bỏ'
331: whisper='lao' (78870-79000ms)  |  script='chạy'
332: whisper='thẳng' (79000-79310ms)  |  script='chúng'
333: whisper='về' (79310-79550ms)  |  script='lao'
334: whisper='phía' (79550-79710ms)  |  script='thẳng'
335: whisper='Napoleon' (79710-80070ms)  |  script='về'
336: whisper='và' (80070-80200ms)  |  script='phía'
337: whisper='doanh' (80200-80480ms)  |  script='Napoleon'
338: whisper='tuy' (80480-80550ms)  |  script='và'
339: whisper='tùng,' (80550-80860ms)  |  script='đoàn'
340: whisper='như' (80860-81040ms)  |  script='tùy'
341: whisper='một' (81040-81470ms)  |  script='tùng'
342: whisper='đội' (81470-81520ms)  |  script='như'
343: whisper='quân' (81520-81740ms)  |  script='một'
344: whisper='nhỏ,' (81740-82050ms)  |  script='đội'
345: whisper='vị' (82050-82270ms)  |  script='quân'
346: whisper='tướng' (82270-82580ms)  |  script='nhỏ'
347: whisper='từng' (82580-82850ms)  |  script='Vị'
348: whisper='khiến' (82850-83160ms)  |  script='tướng'
349: whisper='cả' (83160-83340ms)  |  script='từng'
350: whisper='châu' (83340-83560ms)  |  script='khiến'
351: whisper='Âu' (83560-83710ms)  |  script='cả'
352: whisper='xuân' (83710-83900ms)  |  script='châu'
353: whisper='sợ' (83900-84070ms)  |  script='Âu'
354: whisper='đã' (84070-84240ms)  |  script='run'
355: whisper='phải' (84240-84590ms)  |  script='sợ'
356: whisper='tháo' (84590-84740ms)  |  script='đã'
357: whisper='chạy' (84740-85000ms)  |  script='phải'
358: whisper='trước' (85000-85360ms)  |  script='tháo'
359: whisper='1' (85360-85490ms)  |  script='chạy'
360: whisper='bây' (85490-85660ms)  |  script='trước'
361: whisper='thỏ.' (85660-86280ms)  |  script='một'
362: whisper='Người' (86280-86600ms)  |  script='bầy'
363: whisper='đàn' (86600-86800ms)  |  script='thỏ'
364: whisper='ông' (86800-86980ms)  |  script='Người'
365: whisper='từng' (86980-87200ms)  |  script='đàn'
366: whisper='đánh' (87200-87440ms)  |  script='ông'
367: whisper='bại' (87440-87640ms)  |  script='từng'
368: whisper='hết' (87640-87840ms)  |  script='đánh'
369: whisper='đội' (87840-88080ms)  |  script='bại'
370: whisper='quân' (88080-88280ms)  |  script='hết'
371: whisper='này' (88280-88440ms)  |  script='đội'
372: whisper='đến' (88440-88680ms)  |  script='quân'
373: whisper='đội' (88680-89000ms)  |  script='này'
374: whisper='quân' (89000-89190ms)  |  script='đến'
375: whisper='khác,' (89190-89460ms)  |  script='đội'
376: whisper='nhưng' (89460-89640ms)  |  script='quân'
377: whisper='lại' (89640-89840ms)  |  script='khác'
378: whisper='không' (89840-90080ms)  |  script='nhưng'
379: whisper='thắng' (90080-90360ms)  |  script='lại'
380: whisper='nổi' (90360-90560ms)  |  script='không'
381: whisper='một' (90560-90760ms)  |  script='thắng'
382: whisper='chiến' (90760-91040ms)  |  script='nổi'
383: whisper='dịch' (91040-91280ms)  |  script='một'
384: whisper='bôi' (91280-91440ms)  |  script='chiến'
385: whisper='nhỏ' (91440-91760ms)  |  script='dịch'
386: whisper='và' (91760-91880ms)  |  script='bôi'
387: whisper='1' (91880-91920ms)  |  script='nhọ'
388: whisper='bây' (91920-92040ms)  |  script='và'
389: whisper='thỏ,' (92040-92320ms)  |  script='một'
390: whisper='đó' (92320-92480ms)  |  script='bầy'
391: whisper='chính' (92480-92740ms)  |  script='thỏ'
392: whisper='là' (92740-92840ms)  |  script='đó'
393: whisper='Napoleon.' (92840-93440ms)  |  script='chính'
394: whisper='---' (0-0ms)  |  script='là'
395: whisper='---' (0-0ms)  |  script='Napoleon'
